Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
0,0,2019-20,SHB 1059,1059,,,,,2019-03-11,0,0,SHB 1059,2nd substitute bill substituted.,0,H subst for,0,0,2019-02-05,AN ACT Relating to extending the business and occupation tax return filing due date for annual filers;,0,Extending the business and occupation tax return filing due date for annual filers.,House,20757,H-1437.1,0,0,0,0,B&O return filing due date,Bill,B,(Van Werven),0,1
1,0,2019-20,2SHB 1059,1059,,,,,2019-04-19,0,0,2SHB 1059,Effective date 7/28/2019.,0,C 63 L 19,0,0,2019-02-26,AN ACT Relating to extending the business and occupation tax return filing due date for annual filers;,1,Extending the business and occupation tax return filing due date for annual filers.,House,20757,H-2128.1,0,0,0,0,B&O return filing due date,Bill,B,(Van Werven),1,2
1,0,2019-20,HB 1060,1060,,,,,2020-01-13,0,0,HB 1060,"By resolution, reintroduced and retained in present status.",0,H HC/Wellness,0,0,2019-01-14,AN ACT Relating to the administration of marijuana to students for medical purposes;,0,Concerning the administration of marijuana to students for medical purposes.,House,8317,H-0361.1,0,0,0,0,Medical marijuana/students,Bill,B,(Blake),0,0
1,0,2019-20,HB 1061,1061,,,,,2020-03-12,0,0,HB 1061,"By resolution, returned to House Rules Committee for third reading.",0,H Rules 3C,0,0,2019-01-14,AN ACT Relating to designating the Pacific razor clam as the state clam;,0,Designating the Pacific razor clam as the state clam.,House,8317,H-0257.1,0,0,0,0,State clam,Bill,B,(Blake),0,0
1,0,2019-20,HB 1062,1062,,,,,2019-04-30,0,0,HB 1062,Effective date 7/28/2019.,0,C 200 L 19,0,0,2019-01-14,AN ACT Relating to expanding access to commercial fishing opportunities;,0,Expanding access to commercial fishing opportunities.,House,8317,H-0004.2,0,0,0,0,Commercial fishing access,Bill,B,(Blake),1,0
1,0,2019-20,HB 1063,1063,,,,,2020-01-13,0,0,HB 1063,"By resolution, reintroduced and retained in present status.",0,H Rules R,0,0,2019-01-14,AN ACT Relating to authorizing seventeen year olds to participate in primary elections;,1,Authorizing seventeen year olds to participate in primary elections.,House,17227,H-0369.3,0,0,0,0,Primary elections/age 17,Bill,B,(Bergquist),1,0
1,0,2019-20,SHB 1063,1063,,,,,2020-01-13,0,0,SHB 1063,"By resolution, reintroduced and retained in present status.",0,H Rules R,0,0,2019-02-08,AN ACT Relating to authorizing seventeen year olds to participate in primary elections;,0,Authorizing seventeen year olds to participate in primary elections.,House,17227,H-1617.1,0,0,0,0,Primary elections/age 17,Bill,B,(Bergquist),0,1
0,0,2019-20,HB 1064,1064,,2019-20,SB 5029,SRules X,2019-01-24,0,0,HB 1064,1st substitute bill substituted.,0,H subst for,0,0,2019-01-14,AN ACT Relating to law enforcement;,1,Concerning law enforcement.,House,11999,H-0244.2,0,0,0,0,Law enforcement,Bill,B,(Goodman),1,0
1,0,2019-20,SHB 1064,1064,,,,,2019-02-05,0,0,SHB 1064,Effective date 2/4/2019.,0,C 4 L 19,0,0,2019-01-15,AN ACT Relating to law enforcement;,1,Concerning law enforcement.,House,11999,H-0490.1,0,0,0,0,Law enforcement,Bill,B,(Goodman),1,1
0,0,2019-20,HB 1065,1065,,2019-20,SB 5031,SHealth & Long,2019-03-04,0,0,HB 1065,2nd substitute bill substituted.,0,H subst for,0,0,2019-01-14,AN ACT Relating to protecting consumers from charges for out-of-network health care services;,0,Protecting consumers from charges for out-of-network health care services.,House,1543,Z-0195.2,0,0,0,1,Out-of-network health care,Bill,B,(Cody),1,0
