Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2025-26,HB 1743,1743,,,,,2025-02-21,0,0,HB 1743,Referred to Appropriations.,0,H Approps,0,0,2025-01-30,AN ACT Relating to enhancing opportunities for community-based providers to provide health care services in carceral settings;,1,Enhancing opportunities for community-based providers to provide health care services in carceral settings.,House,31527,H-0751.1,0,0,0,0,Health providers/carceral,Bill,B,(Simmons),1,0
1,0,2025-26,HB 1744,1744,,2025-26,SB 5644,SLaw & Justice,2025-01-30,0,0,HB 1744,"First reading, referred to Community Safety.",0,H Community Safe,0,0,2025-01-30,AN ACT Relating to deterring criminal conduct involving gift cards;,0,Deterring criminal conduct involving gift cards.,House,35464,H-0814.1,0,0,0,0,Gift card criminal conduct,Bill,B,(Obras),0,0
1,0,2025-26,HB 1745,1745,,,,,2025-01-30,0,0,HB 1745,"First reading, referred to State Government & Tribal Relations.",0,H State Govt & Tr,0,0,2025-01-30,AN ACT Relating to ensuring election integrity at the county level;,1,Ensuring election integrity at the county level.,House,31521,H-0749.1,0,0,0,0,Election audits,Bill,B,(Chase),1,0
1,0,2025-26,HB 1746,1746,,,,,2025-01-30,0,0,HB 1746,"First reading, referred to Appropriations.",0,H Approps,0,0,2025-01-30,AN ACT Relating to local effort assistance for public schools;,0,Providing local effort assistance for public schools.,House,10039,H-0643.1,0,0,0,0,School local effort assist.,Bill,B,(Springer),1,0
0,0,2025-26,HB 1747,1747,,,,,0001-01-01,0,0,HB 1747,,0,H 2nd Reading,0,0,2025-01-30,AN ACT Relating to expanding protections for applicants and employees under the Washington fair chance act;,0,Expanding protections for applicants and employees under the Washington fair chance act.,House,18546,,0,0,0,0,Job applicants and employees,Bill,B,(Ortiz-Self),1,0
1,0,2025-26,EHB 1747,1747,,2025-26,SB 5549,SLabor & Comm,2025-04-21,0,1,EHB 1747,Effective date 7/27/2025.,0,C 71 L 25,0,1,2025-01-30,AN ACT Relating to expanding protections for applicants and employees under the Washington fair chance act;,0,Expanding protections for applicants and employees under the Washington fair chance act.,House,18546,H-0855.1,0,0,0,0,Job applicants and employees,Bill,B,(Ortiz-Self),1,0
1,0,2025-26,HB 1748,1748,,2025-26,SB 5589,SRules 3,2025-01-30,0,0,HB 1748,"First reading, referred to Consumer Protection & Business.",0,H ConsPro&Bus,0,0,2025-01-30,"AN ACT Relating to conducting a study of credit history, credit-based insurance scores, and other rate factors that may disparately impact Washington residents, in making rates for personal insurance;",0,"Conducting a study of credit history, credit-based insurance scores, and other rate factors in making rates for personal insurance.",House,35655,Z-0340.1,0,0,0,1,Insurance & credit study,Bill,B,(Salahuddin),1,0
1,0,2025-26,HB 1749,1749,,,,,2025-01-30,0,0,HB 1749,"First reading, referred to Environment & Energy.",0,H Env & Energy,0,0,2025-01-30,"AN ACT Relating to ensuring consideration of climate change, carbon sequestration, environmental health disparities, and treaty-protected and cultural resources in the state environmental policy act;",0,"Ensuring consideration of climate change, carbon sequestration, environmental health disparities, and treaty-protected and cultural resources in the state environmental policy act.",House,16596,H-0947.1,0,0,0,0,SEPA considerations,Bill,B,(Pollet),0,0
1,0,2025-26,HB 1750,1750,,,,,2025-02-28,0,0,HB 1750,Referred to Rules 2 Review.,0,H Rules R,0,0,2025-01-30,AN ACT Relating to creating guidelines for voter suppression and vote dilution claims under the Washington voting rights act;,1,Creating guidelines for voter suppression and vote dilution claims under the Washington voting rights act.,House,35429,H-0939.2,0,0,0,0,Voting rights act claims,Bill,B,(Hill),1,0
1,0,2025-26,SHB 1750,1750,,,,,2025-02-28,0,1,SHB 1750,Referred to Rules 2 Review.,0,H Rules R,0,0,2025-02-11,AN ACT Relating to creating guidelines for voter suppression and vote dilution claims under the Washington voting rights act;,1,Creating guidelines for voter suppression and vote dilution claims under the Washington voting rights act.,House,35429,H-1318.1,0,0,0,0,Voting rights act claims,Bill,B,SGOV(Hill),1,1
