Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2009-10,SB 6435,6435,,,,,2010-03-15,0,0,SB 6435,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-14,AN ACT Relating to electric vehicle infrastructure;,0,Requiring the building code council to adopt rules for installing outlets to charge vehicles.,Senate,1577,S-3783.1,0,0,0,0,Electric vehicles/charging,Bill,B,(Honeyford),0,0
1,1,2009-10,SB 6436,6436,,,,,2010-03-15,0,0,SB 6436,"By resolution, reintroduced and retained in present status.",0,S Env/Water/Ener,0,0,2010-01-14,AN ACT Relating to limitations on withdrawing various waters from additional appropriations;,0,Concerning limitations on withdrawing various waters from additional appropriations.,Senate,1577,S-3781.1,0,0,0,0,Water withdrawal limits,Bill,B,(Honeyford),0,0
1,0,2009-10,SB 6437,6437,,,,,2010-03-15,0,0,SB 6437,"By resolution, reintroduced and retained in present status.",0,S Env/Water/Ener,0,0,2010-01-14,AN ACT Relating to renewable energy;,0,"Modifying definitions applicable to chapter 19.285 RCW, the energy independence act.",Senate,1577,S-3796.1,0,0,0,0,Renewable energy definitions,Bill,B,(Honeyford),0,0
1,0,2009-10,SB 6438,6438,,,,,2010-03-15,0,0,SB 6438,"By resolution, reintroduced and retained in present status.",0,S Lab/Comm/CP,0,0,2010-01-14,AN ACT Relating to the prevailing rate of wage on public works;,0,Regarding the prevailing rate of wage on public works.,Senate,1577,S-3701.1,0,0,0,0,Prevailing wage rate/pub wrk,Bill,B,(Honeyford),0,0
1,0,2009-10,SB 6439,6439,,,,,2010-03-15,0,0,SB 6439,"By resolution, reintroduced and retained in present status.",0,S Env/Water/Ener,0,0,2010-01-14,AN ACT Relating to outdoor wood-fired boilers;,0,Authorizing the use of outdoor wood-fired boilers.,Senate,1577,S-3797.1,0,0,0,0,Outdoor wood-fired boilers,Bill,B,(Honeyford),0,0
1,0,2009-10,SB 6440,6440,,,,,2010-03-15,0,0,SB 6440,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-14,AN ACT Relating to adding fire protection services to the seller disclosure form;,0,Adding fire protection services to the seller disclosure form.,Senate,1577,S-3741.1,0,0,0,0,Seller disclosure form,Bill,B,(Honeyford),0,0
1,0,2009-10,SB 6441,6441,,,,,2010-03-15,0,0,SB 6441,"By resolution, reintroduced and retained in present status.",0,S Env/Water/Ener,0,0,2010-01-14,AN ACT Relating to the energy independence act;,0,Modifying the energy independence act.,Senate,295,S-3853.1,0,0,0,0,Energy independence act,Bill,B,(Morton),0,0
1,0,2009-10,SB 6442,6442,,,,,2010-03-15,0,0,SB 6442,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-01-14,AN ACT Relating to eliminating the prevent or reduce owner-occupied foreclosure program account;,0,Eliminating the prevent or reduce owner-occupied foreclosure program account.,Senate,6765,S-3791.1,0,0,0,0,Owner-occupied foreclosure,Bill,B,(Berkey),0,0
1,0,2009-10,SB 6443,6443,,,,,2010-03-15,0,0,SB 6443,"By resolution, reintroduced and retained in present status.",0,S Ways & Means,0,0,2010-01-14,AN ACT Relating to the taxation of cigarettes and other tobacco products;,0,Concerning the taxation of cigarettes and other tobacco products.,Senate,1950,S-3773.1,0,0,0,0,Cigarette & tobacco taxation,Bill,B,(Keiser),1,0
0,1,2009-10,SB 6444,6444,,2009-10,HB 2824,HRules R,2010-02-27,0,0,SB 6444,1st substitute bill substituted.,0,S subst for,0,0,2010-01-14,AN ACT Relating to fiscal matters;,0,Making 2010 operating supplemental appropriations.,Senate,337,Z-1104.3,0,0,1,0,Operating supp budget 2010,Bill,B,(Prentice),0,0
