group,groupDesc,longDesc,passedId,num,ver,status.cat,status.comm,status.first,status.chamber,actionLine,active,sponsor,intro,action,fn,req,approp,current,prefiled,rcws
"1000","Controlled subst. violations","Expanding the circumstances that may constitute a major violation of the uniform controlled substances act.","","1000","HB 1000","COMMITTEE","CS","true","H","First reading, referred to Community Safety.","1","Walsh","2025-01-13","2025-01-13","","","0","0","0",""
"1001","Fire protection projects","Concerning capital projects for the provision of fire protection services.","","1001","HB 1001","COMMITTEE","CAP","true","H","First reading, referred to Capital Budget.","1","Abbarno","2025-01-13","2025-01-13","SFN,Loc","","0","0","0",""
"1002","PTSD/coroners & examiners","Recognizing posttraumatic stress disorder as an occupational disease for county coroners, examiners, and investigative personnel.","","1002","HB 1002","RULES","","","H","Returned to Rules Committee for second reading.","1","Abbarno","2025-01-13","2025-03-19","SFN,Loc","","0","0","0",""
"1003","Service of notice/tenants","Addressing service of notice by mail in cases involving forcible entry and forcible and unlawful detainer.","HB 1003","1003","HB 1003","ENACTED","","","","Effective date 7/27/2025.","1","Abbarno","2025-01-13","2025-04-11","","","0","0","0",""
"1004","Property tax exemption","Increasing the personal property tax exemption.","","1004","HB 1004","RULES","","","H","Referred to Rules 2 Review.","1","Leavitt","2025-01-13","2025-01-27","SFN,Loc","","0","0","0","84.36.110|84.36.120|84.48.065"
"1005 / 5016","Prearrang. funeral services","Concerning prearrangement funeral services.","","1005","HB 1005","RULES","","","H","Referred to Rules 2 Review.","1","Ryu","2025-01-13","2025-01-23","","","0","0","0","18.39.010|18.39.250"
"1005 / 5016","Prearrang. funeral services","Concerning prearrangement funeral services.","","1005","SB 5016","RULES","","","S","By resolution, returned to Senate Rules Committee for third reading.","1","Lovick","2025-01-13","2025-04-27","SFN","","0","0","0","18.39.010|18.39.250"
"1006 / 5108","Service contracts","Regulating service contracts and protection product guarantees.","HB 1006","1006","HB 1006","ENACTED","","","","Effective date 7/27/2025.","1","Ryu","2025-01-13","2025-04-16","SFN","","0","0","0","48.110.020|48.110.050|48.110.055|48.110.060|48.110.073|48.110.075|48.110.110|48.110.140"
"1006 / 5108","Service contracts","Regulating service contracts and protection product guarantees.","HB 1006","1006","SB 5108","RULES","","","S","By resolution, returned to Senate Rules Committee for third reading.","1","Kauffman","2025-01-13","2025-04-27","SFN","","0","0","0","48.110.020|48.110.050|48.110.055|48.110.060|48.110.073|48.110.075|48.110.110|48.110.140"
"1007 / 5132","Small claims actions notice","Concerning requisites of notice in small claims actions.","HB 1007","1007","HB 1007","ENACTED","","","","Effective date 7/27/2025.","1","Low","2025-01-13","2025-04-11","","","0","0","0",""
"1007 / 5132","Small claims actions notice","Concerning requisites of notice in small claims actions.","HB 1007","1007","SB 5132","COMMITTEE","L&J","true","S","First reading, referred to Law & Justice.","1","Wagoner","2025-01-13","2025-01-13","","","0","0","0",""
"1008","County local roads","Concerning county local roads.","","1008","HB 1008","COMMITTEE","LG","true","H","First reading, referred to Local Government.","1","Low","2025-01-13","2025-01-13","","","0","0","0",""
"1009","Pharmacy commission members","Adjusting the membership of the pharmacy quality assurance commission.","HB 1009","1009","HB 1009","ENACTED","","","","Effective date 7/27/2025.","1","Low","2025-01-13","2025-05-12","SFN","","0","0","0",""
"1010","Rural area ADUs","Authorizing accessory dwelling units in rural areas.","","1010","HB 1010","COMMITTEE","HSG","true","H","First reading, referred to Housing.","1","Low","2025-01-13","2025-01-13","","","0","0","0","36.70a|36.70a.130|36.70a.177|36.70a.210|36.70a.696"
"1011","School safety capital grants","Creating a school safety capital grant program.","","1011","HB 1011","COMMITTEE","CAP","true","H","First reading, referred to Capital Budget.","1","Jacobsen","2025-01-13","2025-01-13","SFN","","0","0","0",""
"1012","Women's commission/gifts","Authorizing the women's commission to solicit gifts, grants, and endowments from public or private sources.","HB 1012","1012","HB 1012","ENACTED","","","","Effective date 7/27/2025.","1","Taylor","2025-01-13","2025-04-29","","O","0","0","0",""
"1013","DSHS civil service","Concerning exemption of certain personnel of the department of social and health services from civil service.","HB 1013","1013","HB 1013","ENACTED","","","","Effective date 7/27/2025.","1","Schmidt","2025-01-13","2025-04-21","","D","0","0","0",""
"1014","Child support schedule","Implementing recommendations of the 2023 child support schedule work group.","EHB 1014","1014","HB 1014","FLOOR","","","H","","0","Schmidt","2025-01-13","","SFN,Loc","","0","0","0","26.09|26.09.004|26.09.170|26.19.020|26.19.065|26.19.071|26.19.080|26.23.050|74.20a.055|74.20a.056|74.20a.059"
"1014","Child support schedule","Implementing recommendations of the 2023 child support schedule work group.","EHB 1014","1014","EHB 1014","ENACTED","","","","Effective date 7/27/2025*.","1","Schmidt","2025-01-13","2025-05-13","SFN,Loc","","0","0","0","26.09|26.09.004|26.09.170|26.19.020|26.19.065|26.19.071|26.19.080|26.23.050|74.20a.055|74.20a.056|74.20a.059"
"1015","Energy labeling/residential","Concerning energy labeling of residential buildings.","","1015","HB 1015","RULES","","","H","Returned to Rules Committee for second reading.","1","Duerr","2025-01-13","2025-03-19","SFN,Loc","","0","0","0","19.27a|43.21f"
"1015","Energy labeling/residential","Concerning energy labeling of residential buildings.","","1015","SHB 1015","RULES","","","H","Returned to Rules Committee for second reading.","1","Duerr","2025-01-24","2025-03-19","SFN,Loc","","0","0","0","19.27a|43.21f"
"1016","Veterans/employer incentives","Providing employer tax incentives for the support of veterans and military families.","","1016","HB 1016","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Abbarno","2025-01-13","2025-01-13","SFN,Loc","","0","0","0","82.04|82.16"
"1017","Kimchi day","Designating kimchi day.","","1017","HB 1017","RULES","","","H","Referred to Rules 2 Review.","1","Ryu","2025-01-13","2025-01-20","","","0","0","0",""
"1018 / 5241","Fusion energy facilities","Adding fusion energy to facilities that may obtain site certification for the purposes of chapter 80.50 RCW.","HB 1018","1018","HB 1018","ENACTED","","","","Effective date 7/27/2025.","1","Shavers","2025-01-13","2025-05-13","SFN","D","0","0","0","80.50.010|80.50.020|80.50.060|80.50.300"
"1018 / 5241","Fusion energy facilities","Adding fusion energy to facilities that may obtain site certification for the purposes of chapter 80.50 RCW.","HB 1018","1018","SB 5241","RULES","","","S","Senate Rules ""X"" file.","1","Liias","2025-01-14","2025-03-17","SFN","O","0","0","0","80.50.020|80.50.060"
"1019","Tax incentives for farmers","Concerning tax incentives for farmers.","","1019","HB 1019","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Shavers","2025-01-13","2025-01-13","SFN,Loc","","0","0","0",""
"1020","Academic reengagement","Increasing the accessibility of academic reengagement opportunities for eligible students.","","1020","HB 1020","COMMITTEE","ED","true","H","First reading, referred to Education.","1","Shavers","2025-01-13","2025-01-13","","","0","0","0","28a.175.100|28a.175.105|28a.175.115"
"1021","Military families/education","Promoting educational stability for children of military families.","","1021","HB 1021","COMMITTEE","ED","true","H","First reading, referred to Education.","1","Shavers","2025-01-13","2025-01-13","","","0","0","0","28a.225|28a.225.216|28a.225.220"
"1022","Homes for heroes program","Creating a homes for heroes program.","","1022","HB 1022","COMMITTEE","CAP","false","H","Referred to Capital Budget.","1","Connors","2025-01-13","2025-01-20","SFN","","0","0","0",""
"1022","Homes for heroes program","Creating a homes for heroes program.","","1022","SHB 1022","COMMITTEE","CAP","false","H","Referred to Capital Budget.","1","Connors","2025-01-16","2025-01-20","SFN","","0","0","0",""
"1023","Cosmetology compact","Adopting the cosmetology licensure compact.","SHB 1023","1023","HB 1023","SUBSTITUTED","","","H","1st substitute bill substituted.","0","Ryu","2025-01-13","2025-03-07","SFN","","0","0","0",""
"1023","Cosmetology compact","Adopting the cosmetology licensure compact.","SHB 1023","1023","SHB 1023","ENACTED","","","","Effective date 6/1/2028.","1","Ryu","2025-02-05","2025-05-12","SFN","","0","0","0","18.16|42.56.250"
"1024 / 5300","St. Edward state park","Concerning the leasing authority of the state parks and recreation commission at St. Edward State Park.","","1024","HB 1024","SUBSTITUTED","","","H","2nd substitute bill substituted.","0","Kloba","2025-01-13","2025-03-03","SFN","O","0","0","0","79a.05.025|79a.05.030"
"1024 / 5300","St. Edward state park","Concerning the leasing authority of the state parks and recreation commission at St. Edward State Park.","","1024","SB 5300","SUBSTITUTED","","","S","1st substitute bill substituted.","0","Stanford","2025-01-16","2025-02-28","SFN","O","0","0","0","79a.05.025|79a.05.030"
"1024","St. Edward state park","Concerning the leasing authority of the state parks and recreation commission at St. Edward State Park.","2SHB 1024","1024","SHB 1024","SUBSTITUTED","","","H","2nd substitute bill substituted.","0","Kloba","2025-01-27","2025-03-03","","O","0","0","0","79a.05.025|79a.05.030"
"1024","St. Edward state park","Concerning the leasing authority of the state parks and recreation commission at St. Edward State Park.","2SHB 1024","1024","2SHB 1024","ENACTED","","","","Effective date 7/27/2025.","1","Kloba","2025-02-20","2025-04-07","","O","0","0","0","79a.05.025|79a.05.030"
"1025","LTSS trust exemptions","Reopening the exemption from the long-term services and supports trust program for employees who have purchased long-term care insurance.","","1025","HB 1025","COMMITTEE","ELHS","true","H","First reading, referred to Early Learning & Human Services.","1","Abbarno","2025-01-13","2025-01-13","","","0","0","0",""
"1026","LTSS trust spousal benefits","Protecting spouses by allowing the sharing of benefits under the long-term services and supports trust program.","","1026","HB 1026","COMMITTEE","ELHS","true","H","First reading, referred to Early Learning & Human Services.","1","Abbarno","2025-01-13","2025-01-13","","","0","0","0",""
"1027","Housing of inmates","Concerning housing of inmates in state correctional facilities.","","1027","HB 1027","COMMITTEE","CS","true","H","First reading, referred to Community Safety.","1","Jacobsen","2025-01-13","2025-01-13","","","0","0","0",""
"1028","Child exposure to violence","Addressing child exposure to violence.","HB 1028","1028","HB 1028","ENACTED","","","","Effective date 7/27/2025.","1","Goodman","2025-01-13","2025-04-21","SFN,Loc","","0","0","0","26.44|26.44.020"
"1029","3D-printed buildings","Concerning 3D-printed building construction.","","1029","HB 1029","COMMITTEE","LG","true","H","First reading, referred to Local Government.","1","Shavers","2025-01-13","2025-01-13","SFN,Loc","","0","0","0",""
"1030","Counted ballot audits","Concerning the conduct of limited audits of counted ballots during the election certification period.","","1030","HB 1030","RULES","","","H","Returned to Rules Committee for second reading.","1","Low","2025-01-13","2025-03-19","SFN,Loc","D","0","0","0","29a.04.611|29a.60|29a.60.125|29a.60.170|29a.60.185"
"1031","School facility temperatures","Mitigating the impact of rising school facility temperatures resulting from climate change.","","1031","HB 1031","COMMITTEE","ED","true","H","First reading, referred to Education.","1","Reeves","2025-01-13","2025-01-13","","","0","0","0","28a.150|28a.150.290"
"1032","School district elections","Concerning school district elections.","","1032","HB 1032","COMMITTEE","ED","true","H","First reading, referred to Education.","1","Stonier","2025-01-13","2025-01-13","SFN","","0","0","0","28a.315.285|28a.530.020|28a.535.020|28a.535.050|39.36.020|84.52.056"
"1033","Child care local licensing","Authorizing local licensing and regulation of child care providers.","","1033","HB 1033","COMMITTEE","ELHS","true","H","First reading, referred to Early Learning & Human Services.","1","Couture","2025-01-13","2025-01-13","SFN,Loc","","0","0","0","43.216|43.216.010|43.216.695"
"1034","Nonopioid drugs for pain","Concerning nonopioid drugs for the treatment of pain.","","1034","HB 1034","COMMITTEE","HCW","true","H","First reading, referred to Health Care & Wellness.","1","Ortiz-Self","2025-01-13","2025-01-13","SFN","","0","0","0","41.05|43.7|48.43|48.43.400|74.09"
"1035","Higher ed. traumatic stress","Creating policies and resources to address secondary traumatic stress in the higher education workforce.","","1035","HB 1035","COMMITTEE","PEW","true","H","First reading, referred to Postsecondary Education & Workforce.","1","Ortiz-Self","2025-01-13","2025-01-13","SFN","","0","0","0","28b.35|28b.50"
"1036","Labor trustees/colleges","Adding labor trustees to college boards.","","1036","HB 1036","RULES","","","H","Referred to Rules 2 Review.","1","Ortiz-Self","2025-01-13","2025-01-31","","","0","0","0","28b.35.100|28b.50.100"
"1036","Labor trustees/colleges","Adding labor trustees to college boards.","","1036","SHB 1036","RULES","","","H","Referred to Rules 2 Review.","1","Ortiz-Self","2025-01-28","2025-01-31","","","0","0","0","28b.35.100|28b.40.100|28b.50.100"
"1037 / 5053","PFD formation","Concerning public facilities district formation.","","1037","HB 1037","RULES","","","H","Returned to Rules Committee for second reading.","1","Dent","2025-01-13","2025-03-19","SFN,Loc","","0","0","0","35.57.010|36.100.010"
"1037 / 5053","PFD formation","Concerning public facilities district formation.","","1037","SB 5053","COMMITTEE","WM","false","S","Referred to Ways & Means.","1","Warnick","2025-01-13","2025-02-21","SFN,Loc","","0","0","0","35.57.010|36.100.010"
"1037","PFD formation","Concerning public facilities district formation.","","1037","SHB 1037","RULES","","","H","Returned to Rules Committee for second reading.","1","Dent","2025-01-24","2025-03-19","SFN,Loc","","0","0","0","35.57.010|36.100.010"
"1037","PFD formation","Concerning public facilities district formation.","","1037","2SHB 1037","RULES","","","H","Returned to Rules Committee for second reading.","1","Dent","2025-02-26","2025-03-19","","","0","0","0","36.100.010|36.100.020"
"1038","Gender/health providers","Prohibiting puberty blocking medications, cross-sex hormones, and gender transition surgeries for minors.","","1038","HB 1038","COMMITTEE","HCW","true","H","First reading, referred to Health Care & Wellness.","1","Jacobsen","2025-01-13","2025-01-13","","","0","0","0",""
"1039 / 5301","Gov. services/tribal lands","Concerning extending governmental services from cities to tribal lands.","HB 1039","1039","HB 1039","ENACTED","","","","Effective date 7/27/2025.","1","Abbarno","2025-01-13","2025-05-13","SFN,Loc","","0","0","0","36.70a|36.70a.110"
"1039 / 5301","Gov. services/tribal lands","Concerning extending governmental services from cities to tribal lands.","HB 1039","1039","SB 5301","RULES","","","S","Senate Rules ""X"" file.","1","Braun","2025-01-16","2025-03-17","","","0","0","0","36.70a|36.70a.110"
"1040","Rental income/property tax","Concerning rental income received by people eligible for certain property tax exemption programs.","","1040","HB 1040","RULES","","","H","Referred to Rules 2 Review.","1","Doglio","2025-01-13","2025-02-13","SFN,Loc","","0","0","0",""
"1041","Replacement tires","Improving choices of replacement tires for consumers.","","1041","HB 1041","COMMITTEE","E&E","true","H","First reading, referred to Environment & Energy.","1","Walsh","2025-01-13","2025-01-13","SFN,Loc","","0","0","0","19|70a.05|70a.30.010|70a.45"
"1042","County treasurer costs","Authorizing cost recovery for county treasurers.","","1042","HB 1042","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Wylie","2025-01-13","2025-01-13","SFN,Loc","","0","0","0","84.69|84.69.180"
"1043","Commute trip reduction","Extending the commute trip reduction tax credit.","","1043","HB 1043","SUBSTITUTED","","","H","1st substitute bill substituted.","0","Wylie","2025-01-13","2025-04-17","SFN","","0","0","0","82.70.020|82.70.040|82.70.900"
"1043","Commute trip reduction","Extending the commute trip reduction tax credit.","","1043","SHB 1043","RULES","","","H","By resolution, returned to House Rules Committee for third reading.","1","Wylie","2025-02-26","2025-04-27","SFN","","0","0","0","82.70.020|82.70.040|82.70.900"
"1044","County REET admin. fees","Concerning county fees for administration of the real estate excise tax.","","1044","HB 1044","RULES","","","H","Referred to Rules 2 Review.","1","Wylie","2025-01-13","2025-02-28","SFN,Loc","","0","0","0","36.33|36.4|82.45.180"
"1045 / 5040","Uniformed personnel","Expanding the definition of uniformed personnel to all law enforcement officers employed by a city, town, or county.","","1045","HB 1045","COMMITTEE","LWS","true","H","First reading, referred to Labor & Workplace Standards.","1","Bronoske","2025-01-13","2025-01-13","SFN,Loc","","0","0","0",""
"1045 / 5040","Uniformed personnel","Expanding the definition of uniformed personnel to all law enforcement officers employed by a city, town, or county.","","1045","SB 5040","SUBSTITUTED","","","S","1st substitute bill substituted.","0","Stanford","2025-01-13","2025-02-25","SFN,Loc","","0","0","0",""
"1046","Motor vehicle damage/rescue","Protecting the vulnerable by providing immunity from civil liability for damage to a motor vehicle arising from the rescue of vulnerable persons or domestic animals.","HB 1046","1046","HB 1046","ENACTED","","","","Effective date 7/27/2025.","1","Leavitt","2025-01-13","2025-04-30","","","0","0","0",""
"1047","Fire district equip. taxes","Creating a sales tax exemption for equipment purchased by fire districts in rural counties.","","1047","HB 1047","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Dent","2025-01-13","2025-01-13","SFN,Loc","","0","0","0","82.08|82.12"
"1048","Rangeland fire pilot","Concerning a rangeland fire protection association pilot project.","","1048","HB 1048","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Dent","2025-01-13","2025-02-11","SFN,Loc","","0","0","0",""
"1048","Rangeland fire pilot","Concerning a rangeland fire protection association pilot project.","","1048","SHB 1048","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Dent","2025-02-07","2025-02-11","","","0","0","0",""
"1049","Sexual assault nurses","Increasing the availability of sexual assault nurse examiners.","","1049","HB 1049","COMMITTEE","APP","true","H","First reading, referred to Appropriations.","1","Shavers","2025-01-13","2025-01-13","SFN","","0","0","0",""
"1050","Naval Academy license plates","Creating United States Naval Academy special license plates.","","1050","HB 1050","COMMITTEE","TRAN","true","H","First reading, referred to Transportation.","1","Shavers","2025-01-13","2025-01-13","SFN","","0","0","0","43.60a.140|46.04|46.17.220|46.18.200|46.68.425"
"1051","IEP team meetings/recording","Permitting the recording of individualized education program team meetings.","","1051","HB 1051","COMMITTEE","ED","true","H","First reading, referred to Education.","1","Walsh","2025-01-13","2025-01-13","SFN","","0","0","0","28a.155|9.73.030"
"1052","Hate crime offense","Clarifying a hate crime offense.","","1052","HB 1052","FLOOR","","","H","","0","Ryu","2025-01-13","","SFN","","0","0","0",""
"1052 / 5038","Hate crime offense","Clarifying a hate crime offense.","EHB 1052","1052","EHB 1052","ENACTED","","","","Effective date 7/27/2025.","1","Ryu","2025-01-13","2025-05-12","SFN","","0","0","0",""
"1052 / 5038","Hate crime offense","Clarifying a hate crime offense.","EHB 1052","1052","SB 5038","COMMITTEE","L&J","true","S","First reading, referred to Law & Justice.","1","Dhingra","2025-01-13","2025-01-13","","","0","0","0",""
"1053","Juvenile access to attorney","Concerning juvenile access to an attorney.","","1053","HB 1053","COMMITTEE","CRJ","true","H","First reading, referred to Civil Rights & Judiciary.","1","Low","2025-01-13","2025-01-13","","","0","0","0",""
"1054","County ferry contracts","Concerning county ferry maintenance and repair contracts.","HB 1054","1054","HB 1054","ENACTED","","","","Effective date 7/27/2025.","1","Leavitt","2025-01-13","2025-04-11","Loc","","0","0","0",""
"1055","Transparency ombuds study","Enhancing access to public records.","","1055","HB 1055","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Abbarno","2025-01-13","2025-02-11","SFN","","0","0","0",""
"1056 / 5066","Law enf. misconduct","Concerning law enforcement and local corrections agency misconduct through investigations and legal actions.","","1056","HB 1056","COMMITTEE","CRJ","true","H","First reading, referred to Civil Rights & Judiciary.","1","Farivar","2025-01-13","2025-01-13","SFN,Loc","","0","0","0",""
"1056 / 5066","Law enf. misconduct","Concerning law enforcement and local corrections agency misconduct through investigations and legal actions.","","1056","SB 5066","COMMITTEE","WM","false","S","Referred to Ways & Means.","1","Hansen","2025-01-13","2025-02-07","SFN,Loc","","0","0","0",""
"1057","Access to federal funds","Promoting economic development by increasing support for local communities to access federal funds.","","1057","HB 1057","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Barnard","2025-01-13","2025-01-23","SFN","","0","0","0","43.33|43.330.088|43.330.260"
"1057","Access to federal funds","Promoting economic development by increasing support for local communities to access federal funds.","","1057","SHB 1057","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Barnard","2025-01-21","2025-01-23","SFN","","0","0","0","43.33|43.330.260"
"1058 / 5063","Freight railroad infra.","Providing incentives to improve freight railroad infrastructure.","","1058","HB 1058","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Barkis","2025-01-13","2025-02-05","SFN,Loc","","0","0","0","82.04|82.08|82.12|82.16"
"1058 / 5063","Freight railroad infra.","Providing incentives to improve freight railroad infrastructure.","","1058","SB 5063","COMMITTEE","WM","true","S","First reading, referred to Ways & Means.","1","Stanford","2025-01-13","2025-01-13","SFN,Loc","","0","0","0","82.04|82.08|82.12|82.16"
"1059 / 5463","Industrial insurance/duties","Concerning the duties of industrial insurance self-insured employers and third-party administrators.","SB 5463","1059","HB 1059","COMMITTEE","LWS","true","H","First reading, referred to Labor & Workplace Standards.","1","Alvarado","2025-01-13","2025-01-13","SFN,Loc","","0","0","0","51.14.080|51.14.180"
"1059 / 5463","Industrial insurance/duties","Concerning the duties of industrial insurance self-insured employers and third-party administrators.","SB 5463","1059","SB 5463","ENACTED","","","","Effective date 1/1/2026.","1","Alvarado","2025-01-23","2025-05-17","SFN,Loc","","0","0","0","51.14.080|51.14.180"
"1060 / 5458","Newspaper tax preference","Concerning newspapers and eligible digital content.","HB 1060","1060","HB 1060","ENACTED","","","","Effective date 7/27/2025.","1","Santos","2025-01-13","2025-04-07","SFN","","0","0","0","82.04.759|82.04.759"
"1060 / 5458","Newspaper tax preference","Concerning newspapers and eligible digital content.","HB 1060","1060","SB 5458","RULES","","","S","By resolution, returned to Senate Rules Committee for third reading.","1","Frame","2025-01-23","2025-04-27","SFN","","0","0","0","82.04.759|82.04.759"
"1061","Residential parking","Providing additional parking flexibility in residential neighborhoods.","SHB 1061","1061","HB 1061","SUBSTITUTED","","","H","1st substitute bill substituted.","0","Low","2025-01-13","2025-03-03","Loc","","0","0","0",""
"1061","Residential parking","Providing additional parking flexibility in residential neighborhoods.","SHB 1061","1061","SHB 1061","ENACTED","","","","Effective date 7/27/2025.","1","Low","2025-01-29","2025-04-22","","","0","0","0",""
"1062","Biomarker testing coverage","Providing coverage for biomarker testing.","","1062","HB 1062","COMMITTEE","HCW","true","H","First reading, referred to Health Care & Wellness.","1","Stonier","2025-01-13","2025-01-13","SFN","","0","0","0","41.05|48.43|74.09"
"1063 / 5328","Earned wage access services","Establishing a new chapter for the licensing and regulation of businesses providing earned wage access services.","","1063","HB 1063","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Reeves","2025-01-13","2025-02-18","SFN","","0","0","0",""
"1063 / 5328","Earned wage access services","Establishing a new chapter for the licensing and regulation of businesses providing earned wage access services.","","1063","SB 5328","SUBSTITUTED","","","S","1st substitute bill substituted.","0","Lovick","2025-01-17","2025-03-07","SFN","","0","0","0",""
"1063","Earned wage access services","Establishing a new chapter for the licensing and regulation of businesses providing earned wage access services.","","1063","SHB 1063","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Reeves","2025-02-14","2025-02-18","SFN","","0","0","0",""
"1064 / 5034","System improvement team","Eliminating the expiration of the interagency, multijurisdictional system improvement team.","HB 1064","1064","HB 1064","ENACTED","","","","Effective date 6/30/2025.","1","Abbarno","2025-01-13","2025-04-16","SFN","O","0","0","0",""
"1064 / 5034","System improvement team","Eliminating the expiration of the interagency, multijurisdictional system improvement team.","HB 1064","1064","SB 5034","RULES","","","S","By resolution, returned to Senate Rules Committee for third reading.","1","Boehnke","2025-01-13","2025-04-27","SFN","O","0","0","0",""
"1065","Family burial grounds","Concerning family burial grounds.","","1065","HB 1065","RULES","","","H","Returned to Rules Committee for second reading.","1","Walsh","2025-01-13","2025-03-19","SFN,Loc","","0","0","0","68|68.04|68.05.400|68.20.010|68.20.140|68.50.130"
"1066","Regulated substance use data","Creating a data dashboard to track use of regulated substances.","","1066","HB 1066","SUBSTITUTED","","","H","1st substitute bill substituted.","0","Reeves","2025-01-13","2025-02-12","SFN","","0","0","0",""
"1066","Regulated substance use data","Creating a data dashboard to track use of regulated substances.","","1066","SHB 1066","RULES","","","H","By resolution, returned to House Rules Committee for third reading.","1","Reeves","2025-01-29","2025-04-27","SFN","","0","0","0",""
"1067","Cannabis/dept of agriculture","Transferring certain cannabis licensing activities to the department of agriculture.","","1067","HB 1067","COMMITTEE","CPB","true","H","First reading, referred to Consumer Protection & Business.","1","Reeves","2025-01-13","2025-01-13","SFN","","0","0","0","69.5|69.50.101|69.50.325|69.50.326|69.50.331|69.50.334|69.50.335|69.50.339|69.50.342|69.50.345|69.50.348|69.50.351|69.50.363|69.50.366|69.50.372|69.50.395|69.50.530|69.50.540|69.50.564|69.50.565|69.50.580|69.50.585"
"1068 / 5039","DOC WMS employee arbitration","Removing the exclusion from interest arbitration of Washington management service employees at the department of corrections.","HB 1068","1068","HB 1068","ENACTED","","","","Effective date 7/27/2025.","1","Doglio","2025-01-13","2025-04-25","SFN","","0","0","0",""
"1068 / 5039","DOC WMS employee arbitration","Removing the exclusion from interest arbitration of Washington management service employees at the department of corrections.","HB 1068","1068","SB 5039","COMMITTEE","WM","false","S","Referred to Ways & Means.","1","Conway","2025-01-13","2025-02-03","SFN","","0","0","0",""
"1069 / 5044","Supp. retirement bargaining","Allowing collective bargaining over contributions for certain supplemental retirement benefits.","","1069","HB 1069","RULES","","","H","By resolution, returned to House Rules Committee for third reading.","1","Fosse","2025-01-13","2025-04-27","SFN","","0","0","0",""
"1069 / 5044","Supp. retirement bargaining","Allowing collective bargaining over contributions for certain supplemental retirement benefits.","","1069","SB 5044","COMMITTEE","WM","false","S","Referred to Ways & Means.","1","Ramos","2025-01-13","2025-02-04","SFN","","0","0","0",""
"1070 / 5043","PTSD/correctional workers","Concerning industrial insurance coverage for posttraumatic stress disorders affecting correctional facility workers.","","1070","HB 1070","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Davis","2025-01-13","2025-02-04","SFN,Loc","","0","0","0","51.08.142|51.32"
"1070 / 5043","PTSD/correctional workers","Concerning industrial insurance coverage for posttraumatic stress disorders affecting correctional facility workers.","","1070","SB 5043","COMMITTEE","WM","false","S","Referred to Ways & Means.","1","Dhingra","2025-01-13","2025-02-18","SFN,Loc","","0","0","0","51.08.142|51.32"
"1070","PTSD/correctional workers","Concerning industrial insurance coverage for posttraumatic stress disorders affecting correctional facility workers.","","1070","SHB 1070","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Davis","2025-01-31","2025-02-04","SFN,Loc","","0","0","0","51.08.142|51.32"
"1071 / 5058","Recycling rates","Implementing strategies to achieve higher recycling rates within Washington's existing solid waste management system.","","1071","HB 1071","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Fey","2025-01-13","2025-02-14","SFN,Loc","","0","0","0","43.21b.110|70a|70a.245|70a.245.010|70a.245.020|70a.245.030|81.77.195"
"1071 / 5058","Recycling rates","Implementing strategies to achieve higher recycling rates within Washington's existing solid waste management system.","","1071","SB 5058","COMMITTEE","EET","true","S","First reading, referred to Environment, Energy & Technology.","1","Chapman","2025-01-13","2025-01-13","SFN","","0","0","0","43.21b.110|70a|70a.245|70a.245.010|70a.245.020|70a.245.030|81.77.195"
"1071","Recycling rates","Implementing strategies to achieve higher recycling rates within Washington's existing solid waste management system.","","1071","SHB 1071","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Fey","2025-02-11","2025-02-14","SFN,Loc","","0","0","0","43.21b.110|70a|70a.245|70a.245.010|70a.245.020|70a.245.030|81.77.195"
"1072","Health care services","Preserving access to protected health care services.","","1072","HB 1072","COMMITTEE","HCW","true","H","First reading, referred to Health Care & Wellness.","1","Walen","2025-01-13","2025-01-13","SFN,Loc","","0","0","0","43.370.030|70"
"1073","National guard retention","Keeping our Washington national guard strong act.","","1073","HB 1073","COMMITTEE","APP","false","H","Referred to Appropriations.","1","Leavitt","2025-01-13","2025-01-22","SFN","","0","0","0",""
"1074","Hit & run/first-time waiver","Excluding any person who is convicted of a hit and run resulting in death from being eligible for a first-time offender waiver.","","1074","HB 1074","COMMITTEE","CS","true","H","First reading, referred to Community Safety.","1","Jacobsen","2025-01-13","2025-01-13","SFN,Loc","","0","0","0",""
"1075","Affordable housing financing","Expanding housing supply by supporting the ability of public housing authorities to finance affordable housing developments.","HB 1075","1075","HB 1075","ENACTED","","","","Effective date 7/27/2025.","1","Walen","2025-01-13","2025-04-11","","","0","0","0",""
"1076","Health technology assessment","Concerning the health technology assessment program.","","1076","HB 1076","RULES","","","H","Referred to Rules 2 Review.","1","Walen","2025-01-13","2025-02-04","SFN","","0","0","0","70.14.100|70.14.110"
