group,groupDesc,longDesc,passedId,num,ver,status.cat,status.comm,status.first,status.chamber,actionLine,active,sponsor,intro,action,fn,req,approp,current,prefiled,rcws
"2034","LEOFF 1 restatement","Concerning termination and restatement of plan 1 of the law enforcement officers' and firefighters' retirement system.","","2034","HB 2034","RULES","","","H","Referred to Rules 2 Review.","1","Ormsby","2025-03-07","2025-04-08","SFN,Loc","","0","0","0","2.10.155|26.09.138|28b.15.380|28b.15.520|35.21.935|35a.21.380|36.28a.010|41|41.04.205|41.04.270|41.04.350|41.04.393|41.04.400|41.04.440|41.04.450|41.04.803|41.05.011|41.05.320|41.16.020|41.16.060|41.16.145|41.18.015|41.18.104|41.18.210|41.20.010|41.20.170|41.20.175|41.24.400|41.26.005|41.26.010|41.26.030|41.26.035|41.26.040|41.26.045|41.26.046|41.26.047|41.26.061|41.26.075|41.26.080|41.26.090|41.26.100|41.26.105|41.26.110|41.26.115|41.26.120|41.26.125|41.26.130|41.26.135|41.26.140|41.26.150|41.26.160|41.26.161|41.26.162|41.26.164|41.26.170|41.26.190|41.26.192|41.26.194|41.26.195|41.26.197|41.26.199|41.26.200|41.26.211|41.26.221|41.26.240|41.26.250|41.26.260|41.26.270|41.26.281|41.26.291|41.26.3901|41.26.3902|41.26.3903|41.26.410|41.32.800|41.32.802|41.32.860|41.32.862|41.35.060|41.35.230|41.37.050|41.37.180|41.40.010|41.40.037|41.40.059|41.40.690|41.40.850|41.45.010|41.45.020|41.45.050|41.45.060|41.45.230|41.48.030|41.48.050|41.50.030|41.50.033|41.50.055|41.50.075|41.50.080|41.50.090|41.50.110|41.50.112|41.50.150|41.50.255|41.50.500|41.50.650|41.50.670|41.50.700|41.56.030|43.79a.040|43.84.092|46.52.130|49.44.160|51.08.142|51.32.050|51.32.185|6.15.020|72.72.060"
"2034","LEOFF 1 restatement","Concerning termination and restatement of plan 1 of the law enforcement officers' and firefighters' retirement system.","","2034","SHB 2034","RULES","","","H","Referred to Rules 2 Review.","1","Ormsby","2025-04-03","2025-04-08","SFN,Loc","","0","0","0","2.10.155|26.09.138|28b.15.380|28b.15.520|35.21.935|35a.21.380|36.28a.010|41|41.04.205|41.04.270|41.04.350|41.04.393|41.04.400|41.04.440|41.04.450|41.04.803|41.05.011|41.05.320|41.16.020|41.16.060|41.16.145|41.18.015|41.18.104|41.18.210|41.20.010|41.20.170|41.20.175|41.24.400|41.26.005|41.26.010|41.26.030|41.26.035|41.26.040|41.26.045|41.26.046|41.26.047|41.26.061|41.26.075|41.26.080|41.26.090|41.26.100|41.26.105|41.26.110|41.26.115|41.26.120|41.26.125|41.26.130|41.26.135|41.26.140|41.26.150|41.26.160|41.26.161|41.26.162|41.26.164|41.26.170|41.26.190|41.26.192|41.26.194|41.26.195|41.26.197|41.26.199|41.26.200|41.26.211|41.26.221|41.26.240|41.26.250|41.26.260|41.26.270|41.26.281|41.26.291|41.26.3901|41.26.3902|41.26.3903|41.26.410|41.32.800|41.32.802|41.32.860|41.32.862|41.35.060|41.35.230|41.37.050|41.37.180|41.40.010|41.40.037|41.40.059|41.40.690|41.40.850|41.45.010|41.45.020|41.45.050|41.45.060|41.45.230|41.48.030|41.48.050|41.50.030|41.50.033|41.50.055|41.50.075|41.50.080|41.50.090|41.50.110|41.50.112|41.50.150|41.50.255|41.50.500|41.50.650|41.50.670|41.50.700|41.56.030|43.79a.040|43.84.092|46.52.130|49.44.160|51.08.142|51.32.050|51.32.185|6.15.020|72.72.060"
"2035 / 5786","Liquor license fees","Increasing license, permit, and endorsement fees.","","2035","HB 2035","RULES","","","H","Referred to Rules 2 Review.","1","Lekanoff","2025-03-09","2025-03-25","SFN","","0","0","0","66.08|66.20.010|66.20.400|66.24.015|66.24.035|66.24.055|66.24.140|66.24.146|66.24.150|66.24.160|66.24.165|66.24.170|66.24.179|66.24.185|66.24.200|66.24.203|66.24.240|66.24.244|66.24.250|66.24.261|66.24.310|66.24.320|66.24.330|66.24.350|66.24.354|66.24.360|66.24.363|66.24.371|66.24.395|66.24.400|66.24.420|66.24.425|66.24.450|66.24.452|66.24.495|66.24.520|66.24.530|66.24.540|66.24.550|66.24.570|66.24.580|66.24.590|66.24.600|66.24.610|66.24.630|66.24.650|66.24.655|66.24.680|66.24.690|66.24.695"
"2035 / 5786","Liquor license fees","Increasing license, permit, and endorsement fees.","","2035","SB 5786","SUBSTITUTED","","","S","2nd substitute bill substituted.","0","Stanford","2025-03-11","2025-04-16","SFN","","0","0","0","66.08|66.20.010|66.20.400|66.24.015|66.24.035|66.24.055|66.24.140|66.24.146|66.24.150|66.24.160|66.24.165|66.24.170|66.24.179|66.24.185|66.24.200|66.24.203|66.24.240|66.24.244|66.24.250|66.24.261|66.24.310|66.24.320|66.24.330|66.24.350|66.24.354|66.24.360|66.24.363|66.24.371|66.24.395|66.24.400|66.24.420|66.24.425|66.24.450|66.24.452|66.24.495|66.24.520|66.24.530|66.24.540|66.24.550|66.24.570|66.24.580|66.24.590|66.24.600|66.24.610|66.24.630|66.24.650|66.24.655|66.24.680|66.24.690|66.24.695"
"2035","Liquor license fees","Increasing license, permit, and endorsement fees.","","2035","SHB 2035","RULES","","","H","Referred to Rules 2 Review.","1","Lekanoff","2025-03-20","2025-03-25","SFN","","0","0","0","66.08|66.08.180|66.20.010|66.20.400|66.24.015|66.24.035|66.24.055|66.24.140|66.24.146|66.24.150|66.24.160|66.24.165|66.24.170|66.24.179|66.24.185|66.24.200|66.24.203|66.24.240|66.24.244|66.24.250|66.24.261|66.24.310|66.24.320|66.24.330|66.24.350|66.24.354|66.24.360|66.24.363|66.24.371|66.24.395|66.24.400|66.24.420|66.24.425|66.24.450|66.24.452|66.24.495|66.24.520|66.24.530|66.24.540|66.24.550|66.24.570|66.24.580|66.24.590|66.24.600|66.24.610|66.24.630|66.24.650|66.24.655|66.24.680|66.24.690|66.24.695"
"2036","Violent firearm offenses","Concerning persons convicted of violent offenses with a firearm.","","2036","HB 2036","COMMITTEE","CS","true","H","First reading, referred to Community Safety.","1","Graham","2025-03-09","2025-03-09","","","0","0","0",""
"2037","Cannabis","Modernizing adult use cannabis laws.","","2037","HB 2037","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Morgan","2025-03-13","2025-03-13","SFN","","0","0","0","19.86.070|24.34.010|69.50.325|69.50.331|82.04"
"2038 / 5799","Youth behavioral health acc.","Establishing the youth behavioral health account and funding the account through the imposition of a business and occupation additional tax on the operation of social media platforms.","","2038","HB 2038","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Callan","2025-03-18","2025-03-18","SFN","","0","0","0",""
"2038 / 5799","Youth behavioral health acc.","Establishing the youth behavioral health account and funding the account through the imposition of a business and occupation additional tax on the operation of social media platforms.","","2038","SB 5799","COMMITTEE","WM","true","S","First reading, referred to Ways & Means.","1","Wilson, C.","2025-03-24","2025-03-24","SFN","","0","0","0",""
"2039","Child support pass through","Concerning child support pass through.","HB 2039","2039","HB 2039","ENACTED","","","","Effective date 7/27/2025.","1","Macri","2025-03-19","2025-05-20","SFN","","0","0","0",""
"2040","ABD assistance recovery","Concerning the recovery of the aged, blind, or disabled assistance program.","HB 2040","2040","HB 2040","ENACTED","","","","Effective date 7/27/2025.","1","Macri","2025-03-19","2025-05-20","SFN","","0","0","0",""
"2041","Postpartum coverage","Concerning postpartum coverage.","","2041","HB 2041","SUBSTITUTED","","","H","1st substitute bill substituted.","0","Macri","2025-03-20","2025-04-17","SFN","","0","0","0",""
"2041","Postpartum coverage","Concerning postpartum coverage.","","2041","SHB 2041","RULES","","","H","By resolution, returned to House Rules Committee for third reading.","1","Macri","2025-04-05","2025-04-27","SFN","","0","0","0",""
"2042 / 5767","Federal employee hiring pref","Providing hiring preferences for state employment to certain federal employees.","","2042","HB 2042","COMMITTEE","SGTR","true","H","First reading, referred to State Government & Tribal Relations.","1","Reed","2025-03-21","2025-03-21","","","0","0","0","41.04|41.04.010"
"2042 / 5767","Federal employee hiring pref","Providing hiring preferences for state employment to certain federal employees.","","2042","SB 5767","COMMITTEE","STATE GOVERNMENT, TRIBAL AFFAIRS & ELECTIONS","true","S","First reading, referred to State Government, Tribal Affairs & Elections.","1","Saldaña","2025-02-19","2025-02-19","","","0","0","0","41.04|41.04.010"
"2043","Transportation resources","Concerning transportation resources.","","2043","HB 2043","COMMITTEE","TRAN","true","H","First reading, referred to Transportation.","1","Fey","2025-03-21","2025-03-21","SFN,Loc","","0","0","0",""
"2044","Unexcused student absences","Addressing unexcused student absences.","","2044","HB 2044","FLOOR","","","H","","0","Ormsby","2025-03-24","","SFN,Loc","","0","0","0","2.56.140|28a.225.015|28a.225.020|28a.225.025|28a.225.0261|28a.225.030|28a.225.035|28a.225.090|28a.225.151|28a.225.900|28a.710|28a.715"
"2044","Unexcused student absences","Addressing unexcused student absences.","","2044","EHB 2044","RULES","","","H","By resolution, returned to House Rules Committee for third reading.","1","Ormsby","2025-03-24","2025-04-27","SFN,Loc","","0","0","0","2.56.140|28a.225.015|28a.225.020|28a.225.025|28a.225.0261|28a.225.030|28a.225.035|28a.225.090|28a.225.151|28a.225.900|28a.710|28a.715"
"2045","Business and occupation tax","Investing in Washington families by restructuring the business and occupation tax on high grossing businesses and financial institutions.","","2045","HB 2045","COMMITTEE","FIN","true","H","First reading, referred to Finance.","1","Fitzgibbon","2025-03-24","2025-03-24","SFN","","0","0","0","82.04|82.04.29004"
