Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2009-10,SB 5201,5201,,2009-10,HB 1155,C 73 L 09,2010-03-15,0,0,SB 5201,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to billing for medical services provided through special education programs;,0,Concerning billing for medical services provided through special education programs.,Senate,142,Z-0343.1,0,1,0,0,Spec ed prog medical billing,Bill,B,(Franklin),1,0
1,0,2009-10,SB 5202,5202,,2009-10,HB 1237,HHC/Wellness,2010-03-15,0,0,SB 5202,"By resolution, reintroduced and retained in present status.",0,S Hea/L-T Care,0,0,2009-01-16,"AN ACT Relating to modifying the implementation date, the benefit design, and the obligations of participating managed health care systems for nonsubsidized state health coverage for children by amending RCW 74.09.470(5)(b);",0,Changing the implementation date and benefit design of nonsubsidized state health coverage for children.,Senate,142,Z-0362.3,0,1,0,0,Children's health coverage,Bill,B,(Franklin),1,0
1,0,2009-10,SB 5203,5203,,2009-10,HB 1210,HHC/Wellness,2010-03-15,0,0,SB 5203,"By resolution, reintroduced and retained in present status.",0,S Hea/L-T Care,0,0,2009-01-16,AN ACT Relating to insurance coverage for autism spectrum disorders;,0,Regarding insurance coverage for autism spectrum disorders.,Senate,12072,S-0393.1,0,0,0,0,Autism disorders insurance,Bill,B,(Hobbs),1,0
1,0,2009-10,SB 5204,5204,,2009-10,HB 1350,HSGTribalAff,2010-03-15,0,0,SB 5204,"By resolution, reintroduced and retained in present status.",0,S GovtOp & Elect,0,0,2009-01-16,AN ACT Relating to electing the president of the United States by national popular vote;,0,Adopting the interstate agreement for the election of the president of the United States by national popular vote.,Senate,5141,S-0352.1,0,0,0,0,Electing US pres by pop vote,Bill,B,(McDermott),0,0
1,0,2009-10,SB 5205,5205,,2009-10,HB 1205,Hsubst for,2010-03-15,0,0,SB 5205,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to changing the number of court of appeals judges;,1,Adding one judge to division two of the court of appeals.,Senate,171,Z-0329.1,0,0,0,1,Court of appeals judges,Bill,B,(Hargrove),1,0
1,0,2009-10,SB 5206,5206,,,,,2010-03-15,0,0,SB 5206,"By resolution, reintroduced and retained in present status.",0,S Ways & Means,0,0,2009-01-16,AN ACT Relating to modifying the electrolytic processing business tax exemption;,0,Modifying the electrolytic processing business tax exemption.,Senate,173,S-0318.1,0,0,0,0,Electrolytic process tx exem,Bill,B,(Hatfield),1,0
1,0,2009-10,SB 5207,5207,,2009-10,HB 1281,C 138 L 09,2010-03-15,0,0,SB 5207,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,"AN ACT Relating to the rights of victims, survivors, and witnesses of crimes to be heard before the indeterminate sentence review board and clemency and pardons board;",0,"Addressing the rights of victims, survivors, and witnesses of crimes.",Senate,1595,Z-0075.2,0,0,0,0,Victim and witness rights,Bill,B,(Regala),1,0
1,0,2009-10,SB 5208,5208,,2009-10,HB 1220,HPub Safety,2010-03-15,0,0,SB 5208,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to punishment for domestic violence offenders;,1,Ensuring punishment for domestic violence offenders.,Senate,8159,Z-0150.3,0,1,0,0,Domestic violence offenders,Bill,B,(Brandland),1,0
1,0,2009-10,SSB 5208,5208,,,,,2010-03-15,0,0,SSB 5208,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-02-20,AN ACT Relating to punishment for domestic violence offenders;,1,Ensuring punishment for domestic violence offenders.,Senate,8159,S-1990.1,0,1,0,0,Domestic violence offenders,Bill,B,(Brandland),1,1
1,0,2009-10,2SSB 5208,5208,,,,,2010-03-15,0,0,2SSB 5208,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2010-02-01,AN ACT Relating to punishment for domestic violence offenders;,0,Ensuring punishment for domestic violence offenders.,Senate,8159,S-4196.1,0,1,0,0,Domestic violence offenders,Bill,B,WM(Brandland),0,2
1,0,2009-10,SB 5209,5209,,2009-10,HB 1221,Hsubst for,2010-03-15,0,0,SB 5209,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to the availability of crime victims' compensation funds for witnesses in civil commitment proceedings;,0,Concerning counseling for witnesses in civil commitment proceedings under chapter 71.09 RCW.,Senate,1595,Z-0187.1,0,1,0,0,Civil commitment witnesses,Bill,B,(Regala),1,0
1,0,2009-10,SSB 5209,5209,,,,,2010-03-15,0,1,SSB 5209,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-02-12,AN ACT Relating to the availability of crime victims' compensation funds for witnesses in civil commitment proceedings;,0,Authorizing mental health counseling using crime victims' compensation funds for witnesses in civil commitment proceedings.,Senate,1595,S-1434.1,0,1,0,0,Civil commitment witnesses,Bill,B,(Regala),0,1
1,0,2009-10,SB 5210,5210,,2009-10,HB 1192,HCommerce/Lab,2010-03-15,0,0,SB 5210,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to unsolicited goods and the promotional advertising of prizes;,0,Concerning unsolicited goods and the promotional advertising of prizes.,Senate,6765,Z-0264.1,0,1,0,0,Promotional prize advrtising,Bill,B,(Berkey),1,0
1,0,2009-10,SSB 5210,5210,,,,,2010-03-15,0,0,SSB 5210,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-02-25,AN ACT Relating to unsolicited goods and the promotional advertising of prizes;,0,Concerning unsolicited goods and the promotional advertising of prizes.,Senate,6765,S-1880.1,0,1,0,0,Promotional prize advrtising,Bill,B,(Berkey),0,1
1,0,2009-10,SB 5211,5211,,2009-10,HB 1286,Hsubst for,2010-03-15,0,0,SB 5211,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to false and defamatory statements about candidates for public office;,0,Prohibiting false and defamatory statements about candidates for public office.,Senate,394,Z-0183.1,0,0,0,1,Candidates for public office,Bill,B,(Sheldon),1,0
0,0,2009-10,SB 5212,5212,,2009-10,HB 1170,Hsubst for,2009-03-05,0,0,SB 5212,1st substitute bill substituted.,0,S subst for,0,0,2009-01-16,AN ACT Relating to the modification of parenting plans based on the military service of a parent;,0,Modifying parenting plans based on the military service of a parent.,Senate,10038,Z-0354.1,0,0,0,1,Parenting plan modification,Bill,B,(Kilmer),1,0
1,0,2009-10,SSB 5212,5212,,,,,2010-03-15,0,0,SSB 5212,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-02-12,AN ACT Relating to the modification of parenting plans based on the military service of a parent;,0,Modifying parenting plans based on the military service of a parent.,Senate,10038,S-1507.1,0,0,0,1,Parenting plan modification,Bill,B,(Kilmer),0,1
1,0,2009-10,SB 5213,5213,,,,,2010-03-15,0,0,SB 5213,"By resolution, reintroduced and retained in present status.",0,S GovtOp & Elect,0,0,2009-01-16,AN ACT Relating to voter registration;,0,Modifying voter registration provisions.,Senate,1586,S-0482.1,0,0,0,0,Voter registration,Bill,B,(Carrell),0,0
1,0,2009-10,SB 5214,5214,,,,,2010-03-15,0,0,SB 5214,"By resolution, reintroduced and retained in present status.",0,S GovtOp & Elect,0,0,2009-01-16,AN ACT Relating to military monuments;,0,Concerning military monuments.,Senate,1586,S-0422.1,0,0,0,0,Military monuments,Bill,B,(Carrell),1,0
1,0,2009-10,SB 5215,5215,,2009-10,HB 1991,HJudiciary,2010-03-15,0,0,SB 5215,"By resolution, reintroduced and retained in present status.",0,S Judiciary,0,0,2009-01-16,AN ACT Relating to the disclosure of vehicle owner information;,0,Removing the notice requirement when an attorney or private investigator requests vehicle owner information.,Senate,1586,S-0620.1,0,0,0,0,Vehicle owner information,Bill,B,(Carrell),0,0
1,0,2009-10,SB 5216,5216,,,,,2010-03-15,0,0,SB 5216,"By resolution, reintroduced and retained in present status.",0,S Judiciary,0,0,2009-01-16,AN ACT Relating to body armor;,1,Creating a sentence enhancement for body armor.,Senate,1586,S-0384.1,0,0,0,0,Body armor sent enhancement,Bill,B,(Carrell),1,0
1,0,2009-10,SB 5217,5217,,,,,2010-03-15,0,0,SB 5217,"By resolution, reintroduced and retained in present status.",0,S HumServ/Corr,0,0,2009-01-16,AN ACT Relating to expenditures for works of art;,0,Concerning expenditures for works of art.,Senate,1586,S-0421.3,0,0,0,0,Expenditures for art works,Bill,B,(Carrell),1,0
1,0,2009-10,SB 5218,5218,,,,,2010-03-15,0,1,SB 5218,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to controlling computer access by residents at the special commitment center and persons released to less restrictive alternatives;,0,Controlling computer access by residents at the special commitment center and persons released to less restrictive alternatives.,Senate,1586,S-0273.1,0,0,0,0,Sp commitment ctr computers,Bill,B,(Carrell),1,0
0,0,2009-10,SB 5219,5219,,,,,2009-03-12,0,0,SB 5219,1st substitute bill substituted.,0,S subst for,0,0,2009-01-16,"AN ACT Relating to housing for populations at risk of being homeless, including those suffering from mental illness, those with criminal backgrounds, and those who may have chemical or alcohol dependency issues;",0,Creating a legislative task force to address housing for individuals at a high risk of being homeless.,Senate,1586,S-0664.2,0,0,0,0,Housing task force/homeless,Bill,B,(Carrell),0,0
1,0,2009-10,SSB 5219,5219,,,,,2010-03-15,0,1,SSB 5219,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-02-23,"AN ACT Relating to housing for populations at risk of being homeless, including those suffering from mental illness, those with criminal backgrounds, and those who may have chemical or alcohol dependency issues;",1,Establishing a focus group to examine the need to provide housing for certain populations at risk of being homeless.,Senate,1586,S-1757.1,0,0,0,0,Housing focus group/homeless,Bill,B,(Carrell),1,1
1,0,2009-10,SB 5220,5220,,2009-10,HB 1357,Hsubst for,2010-03-15,0,0,SB 5220,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to protecting consumers by assuring persons using the title of social worker have graduated with a degree in social work from an educational program accredited by the council on social work education;,0,"Regarding the designation of ""social worker.""",Senate,142,S-0682.1,0,0,0,0,Social worker,Bill,B,(Franklin),1,0
1,0,2009-10,SSB 5220,5220,,,,,2010-03-15,0,0,SSB 5220,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-02-23,AN ACT Relating to protecting consumers by assuring persons using the title of social worker have graduated with a degree in social work from an educational program accredited by the council on social work education;,0,"Regarding the designation of ""social worker.""",Senate,142,S-1797.1,0,0,0,0,Social worker,Bill,B,(Franklin),0,1
1,0,2009-10,SB 5221,5221,,2009-10,HB 1132,HJudiciary,2009-03-25,0,1,SB 5221,Effective date 3/25/2009.,0,C 15 L 09,0,0,2009-01-16,AN ACT Relating to distressed property conveyances;,0,Regarding distressed property conveyances.,Senate,8214,Z-0460.1,0,0,0,1,Distressd proprty conveyance,Bill,B,(Tom),1,0
1,1,2009-10,SB 5222,5222,,2009-10,HB 1216,Hsubst for,2010-03-15,0,0,SB 5222,"By resolution, reintroduced and retained in present status.",0,S Ways & Means,0,0,2009-01-16,AN ACT Relating to the capital budget;,0,Adopting a 2009-2011 capital budget.,Senate,143,Z-0484.1,0,0,1,0,Capital budget 2009-2011,Bill,B,(Fraser),0,0
1,0,2009-10,SB 5223,5223,,2009-10,HB 1272,Hsubst for,2010-03-15,0,0,SB 5223,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-01-16,AN ACT Relating to state general obligation bonds and related accounts;,0,Concerning state general obligation bonds and related accounts.,Senate,143,Z-0348.3,0,1,0,0,State gen obligation bonds,Bill,B,(Fraser),1,0
1,0,2009-10,SSB 5223,5223,,,,,2010-03-15,0,0,SSB 5223,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2009-04-26,AN ACT Relating to state bonds and related accounts;,0,Concerning state bonds and related accounts.,Senate,143,S-3239.2,0,1,0,0,State bonds and accounts,Bill,B,WM(Fraser),0,1
1,0,2009-10,SB 5224,5224,,,,,2010-03-15,0,0,SB 5224,"By resolution, reintroduced and retained in present status.",0,S Judiciary,0,0,2009-01-16,AN ACT Relating to false claims against the government;,0,Regarding false claims against the government.,Senate,2304,S-0363.1,0,0,0,0,False claims against govt,Bill,B,(Kline),0,0
