Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2005-06,SB 6752,6752,,,,,2006-01-20,0,0,SB 6752,"First reading, referred to Ways & Means.",0,S Ways & Means,0,0,2006-01-20,AN ACT Relating to deferral of large property tax increases;,0,Deferring large property tax increases.,Senate,1586,S-4430.1,0,0,0,0,Property tax increases,Bill,B,(Carrell),1,0
1,0,2005-06,SB 6753,6753,,2005-06,HB 3002,HEconDevAgTr,2006-01-20,0,0,SB 6753,"First reading, referred to Water, Energy & Environment.",0,S Wtr/Ener/Env,0,0,2006-01-20,AN ACT Relating to intergovernmental water management;,0,Regarding collaborative intergovernmental solutions in water management.,Senate,143,S-4488.1,0,0,0,0,Water management,Bill,B,(Fraser),0,0
1,0,2005-06,SB 6754,6754,,,,,2006-02-24,0,0,SB 6754,"Senate Rules ""X"" file.",0,S Rules X,0,0,2006-01-20,AN ACT Relating to work performed by institutions of higher education;,0,Changing public works provisions for institutions of higher education.,Senate,564,S-4251.1,0,0,0,0,Higher ed public works,Bill,B,(McAuliffe),0,0
1,0,2005-06,SSB 6754,6754,,,,,2006-02-24,0,0,SSB 6754,"Senate Rules ""X"" file.",0,S Rules X,0,0,2006-02-03,AN ACT Relating to work performed by institutions of higher education;,0,Changing public works provisions for institutions of higher education.,Senate,564,S-5087.1,0,0,0,0,Higher ed public works,Bill,B,(McAuliffe),0,1
1,0,2005-06,SB 6755,6755,,,,,2006-01-20,0,0,SB 6755,"First reading, referred to Labor, Commerce, Research & Development.",0,S Lab/Comm/RD,0,0,2006-01-20,AN ACT Relating to collective bargaining contracts with state employees;,0,Modifying provisions relating to collective bargaining contracts with state employees.,Senate,1577,S-3964.2,0,0,0,0,Collective bargaining,Bill,B,(Honeyford),0,0
1,0,2005-06,SB 6756,6756,,,,,2006-01-20,0,0,SB 6756,"First reading, referred to Labor, Commerce, Research & Development.",0,S Lab/Comm/RD,0,0,2006-01-20,AN ACT Relating to providing for public disclosure of public sector unions' finances;,0,Providing for public disclosure of public sector unions' finances.,Senate,1577,S-3953.2,0,0,0,0,Public sector unions,Bill,B,(Honeyford),0,0
1,0,2005-06,SB 6757,6757,,2005-06,HB 3062,HFinance,2006-01-20,0,0,SB 6757,"First reading, referred to Ways & Means.",0,S Ways & Means,0,0,2006-01-20,AN ACT Relating to reducing the taxation of physical fitness services;,0,Reducing taxes imposed on the provision of physical fitness services.,Senate,1583,S-4394.1,0,0,0,0,Physical fitness services,Bill,B,(Benton),0,0
1,0,2005-06,SB 6758,6758,,,,,2006-01-20,0,0,SB 6758,"First reading, referred to Judiciary.",0,S Judiciary,0,0,2006-01-20,AN ACT Relating to aggravated first degree murder;,0,Including a child fourteen or younger in the aggravated first degree murder provisions.,Senate,1583,S-4393.1,0,0,0,0,First degree murder,Bill,B,(Benton),0,0
1,0,2005-06,SB 6759,6759,,,,,2006-02-02,0,0,SB 6759,Referred to Ways & Means.,0,S Ways & Means,0,0,2006-01-20,AN ACT Relating to the employment status of basic health plan and medical assistance recipients;,0,Requiring a report on the employment status of basic health plan and medical assistance recipients.,Senate,1950,S-4493.1,0,0,0,0,Basic health plan,Bill,B,(Keiser),1,0
1,0,2005-06,SSB 6759,6759,,,,,2006-02-02,0,0,SSB 6759,Referred to Ways & Means.,0,S Ways & Means,0,0,2006-02-01,AN ACT Relating to the employment status of basic health plan and medical assistance recipients;,0,Requiring a report on the employment status of basic health plan and medical assistance recipients.,Senate,1950,S-4946.1,0,0,0,0,Basic health plan,Bill,B,(Keiser),0,1
1,0,2005-06,SB 6760,6760,,,,,2006-01-20,0,0,SB 6760,"First reading, referred to Government Operations & Elections.",0,S Govt Op & El,0,0,2006-01-20,AN ACT Relating to mosquito control districts;,0,Regarding mosquito control district assessments.,Senate,2142,S-4403.2,0,0,0,0,Mosquito control districts,Bill,B,(Parlette),0,0
1,0,2005-06,SB 6761,6761,,2005-06,HB 2972,C 100 L 06,2006-01-20,0,0,SB 6761,"First reading, referred to Health & Long-Term Care.",0,S Hea/L-T Care,0,0,2006-01-20,AN ACT Relating to community rates for health benefit plans;,0,Determining community rates for health benefit plans.,Senate,2142,S-4305.1,0,0,0,0,Community rates/health plans,Bill,B,(Parlette),0,0
1,0,2005-06,SB 6762,6762,,2005-06,HB 2765,HRules 3C,2006-03-29,0,0,SB 6762,Effective date 6/7/2006.,0,C 331 L 06,0,0,2006-01-20,AN ACT Relating to limiting the posting of hazards to motorcycles to paved roadways;,0,Limiting the posting of hazards to motorcycles to paved roadways.,Senate,1590,S-4293.1,0,0,0,0,Hazards to motorcycles,Bill,B,(Mulliken),0,0
1,0,2005-06,SB 6763,6763,,,,,2006-01-20,0,0,SB 6763,"First reading, referred to Water, Energy & Environment.",0,S Wtr/Ener/Env,0,0,2006-01-20,AN ACT Relating to encouraging the use of hydroelectric power as a renewable energy resource;,0,Encouraging the use of hydroelectric power as a renewable energy resource.,Senate,2142,S-4285.1,0,0,0,0,Hydroelectric power,Bill,B,(Parlette),0,0
1,0,2005-06,SB 6764,6764,,2005-06,HB 2772,HFinance,2006-01-20,0,0,SB 6764,"First reading, referred to International Trade & Economic Development.",0,S Intl Trde/ED,0,0,2006-01-20,AN ACT Relating to the administration of tax incentive programs;,0,Streamlining the administration of tax incentive programs.,Senate,655,S-4441.1,0,0,0,0,Tax incentive programs,Bill,B,(Shin),1,0
1,0,2005-06,SB 6765,6765,,,,,2006-01-20,0,0,SB 6765,"First reading, referred to Government Operations & Elections.",0,S Govt Op & El,0,0,2006-01-20,AN ACT Relating to establishing the Washington clean elections act;,1,Creating the clean elections act.,Senate,2168,S-4467.2,0,0,0,0,Clean elections act,Bill,B,(Kastama),1,0
1,0,2005-06,SB 6766,6766,,,,,2006-03-15,0,0,SB 6766,Effective date 6/7/2006.,0,C 71 L 06,0,0,2006-01-23,AN ACT Relating to the national guard conditional scholarship;,0,Regarding the national guard conditional scholarship.,Senate,1592,S-4461.1,0,0,0,0,National guard scholarship,Bill,B,(Schmidt),1,0
1,0,2005-06,SB 6767,6767,,2005-06,HB 3109,Hsubst for,2006-02-03,0,0,SB 6767,"On motion, referred to Ways & Means.",0,S Ways & Means,0,0,2006-01-23,AN ACT Relating to government performance and accountability;,0,Addressing government performance and accountability.,Senate,1595,Z-1164.1,0,0,0,0,Government performance,Bill,B,(Regala),1,0
1,0,2005-06,SB 6768,6768,,,,,2006-01-23,0,0,SB 6768,"First reading, referred to Judiciary.",0,S Judiciary,0,0,2006-01-23,AN ACT Relating to minors with alcoholic beverages;,0,Revising penalties concerning minors with alcoholic beverages.,Senate,2304,S-4181.2,0,0,0,0,Minors with alcohol,Bill,B,(Kline),0,0
1,0,2005-06,SB 6769,6769,,,,,2006-01-23,0,0,SB 6769,"First reading, referred to Human Services & Corrections.",0,S HumServ/Corr,0,0,2006-01-23,AN ACT Relating to notification about sex offenders placed or living in long-term care facilities;,0,Providing information about sex offenders placed or living in long-term care facilities.,Senate,143,S-4492.1,0,0,0,0,Sex offenders/long-term care,Bill,B,(Fraser),0,0
1,0,2005-06,SB 6770,6770,,,,,2006-01-23,0,0,SB 6770,"First reading, referred to Government Operations & Elections.",0,S Govt Op & El,0,0,2006-01-23,AN ACT Relating to the population threshold for counties eligible to use the design-build procedure;,0,Changing the population threshold for counties eligible to use the design-build procedure.,Senate,143,S-4375.1,0,0,0,0,Population threshold,Bill,B,(Fraser),0,0
1,0,2005-06,SB 6771,6771,,2005-06,HB 3147,HRules C,2006-01-23,0,0,SB 6771,"First reading, referred to Judiciary.",0,S Judiciary,0,0,2006-01-23,AN ACT Relating to limitations on asbestos-related liabilities relating to certain mergers or consolidations occurring before 1972;,0,Creating provisions relating to asbestos liability.,Senate,337,S-4340.2,0,0,0,0,Asbestos liability,Bill,B,(Prentice),0,0
