Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
0,0,2001-02,HB 1000,1000,,,,,2001-02-20,0,0,HB 1000,1st substitute bill substituted.,0,H subst for,0,0,2001-01-08,"AN ACT Relating to the budget authority of the public works board, expenditures from the public works assistance account, and clarifying capital facility planning requirements;",0,Managing capital facility projects by the public works board.,House,1907,Z-0020.1,0,0,0,1,Public works board budget,Bill,B,(Murray),0,0
1,0,2001-02,SHB 1000,1000,,,,,2001-05-02,0,0,SHB 1000,Effective date 7/22/2001.,0,C 131 L 01,0,0,2001-02-01,"AN ACT Relating to the budget authority of the public works board, expenditures from the public works assistance account, and clarifying capital facility planning requirements;",0,Managing capital facility projects by the public works board.,House,1907,H-1408.1,0,0,0,1,Public works board budget,Bill,B,(Murray),0,1
0,0,2001-02,HB 1001,1001,,,,,2001-02-20,0,0,HB 1001,1st substitute bill substituted.,0,H subst for,0,0,2001-01-08,AN ACT Relating to authorization for projects recommended by the public works board;,0,Authorizing projects recommended by the public works board.,House,2157,Z-0268.1,0,0,0,1,Public works board projects,Bill,B,(Alexander),0,0
1,0,2001-02,SHB 1001,1001,,,,,2001-05-02,0,0,SHB 1001,Effective date 5/2/2001.,0,C 132 L 01,0,0,2001-02-01,AN ACT Relating to authorization for projects recommended by the public works board;,0,Authorizing projects recommended by the public works board.,House,2157,H-1409.1,0,0,0,1,Public works board projects,Bill,B,(Alexander),0,1
1,0,2001-02,HB 1002,1002,,,,,2001-04-19,0,0,HB 1002,Effective date 7/22/2001.,0,C 70 L 01,0,0,2001-01-08,AN ACT Relating to the public inspection and copying of residential addresses or residential phone numbers of public employees or volunteers of public agencies;,0,Limiting the public inspection and copying of residential addresses or residential phone numbers of public employees or volunteers of public agencies.,House,3482,H-0208.1,0,0,0,0,Pblc personnel files/privacy,Bill,B,(Ruderman),0,0
1,0,2001-02,HB 1003,1003,,2001-02,SB 5483,SEnv/Engy/Wat,2002-01-14,0,0,HB 1003,"By resolution, reintroduced and retained in present status.",0,H Ag & Ecology,0,0,2001-01-08,AN ACT Relating to solid waste disposal standards;,0,Modifying solid waste disposal standards.,House,619,H-0165.1,0,0,0,0,Solid waste disposal,Bill,B,(Campbell),0,0
0,0,2001-02,HB 1004,1004,,,,,2001-03-09,0,0,HB 1004,Committee recommendations adopted and the 1st substitute bill substituted.,0,H subst for,0,0,2001-01-08,AN ACT Relating to adjusting disability payments;,0,Adjusting disability payments.,House,2144,H-0377.1,0,0,0,0,Disability payments,Bill,B,(Morris),1,0
1,0,2001-02,SHB 1004,1004,,,,,2001-05-02,0,0,SHB 1004,Effective date 5/2/2001.,0,C 134 L 01,0,0,2001-02-21,AN ACT Relating to adjusting disability payments;,0,Adjusting disability payments.,House,2144,H-1950.1,0,0,0,0,Disability payments,Bill,B,WAYS(Morris),0,1
0,0,2001-02,HB 1005,1005,,,,,2002-02-15,0,0,HB 1005,1st substitute bill substituted.,0,H subst for,0,0,2001-01-08,AN ACT Relating to public utility rights-of-way on aquatic lands;,1,Allowing the granting of easements on state-owned aquatic lands for local public utility lines.,House,2144,H-0176.1,0,0,0,0,Public utility rights-of-way,Bill,B,(Morris),1,0
1,0,2001-02,ESHB 1005,1005,,,,,2002-03-26,0,0,ESHB 1005,Effective date 6/13/2002.,0,C 152 L 02,0,1,2002-02-05,AN ACT Relating to public utility rights of way on aquatic lands;,1,Allowing the granting of easements on state-owned aquatic lands for local public utility lines.,House,2144,H-4061.1,0,0,0,0,Public utility rights-of-way,Bill,B,(Morris),1,1
1,0,2001-02,HB 1006,1006,,,,,2002-01-14,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,"H Technology,",0,0,2001-01-08,AN ACT Relating to public utility rights-of-way on aquatic lands;,0,Allowing various entities to put public utility lines on state-owned aquatic lands.,House,2144,H-0175.1,0,0,0,0,Public utility rights-of-way,Bill,B,(Morris),1,0
