Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2021-22,HB 1000,1000,,,,,2022-01-10,0,0,HB 1000,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2021-01-11,"AN ACT Relating to establishing and expanding wellness, resiliency, and mental health support for law enforcement officers;",1,Expanding mental health support for law enforcement officers.,House,14115,H-0022.2,0,0,0,0,Law enf. mental health,Bill,B,(Maycumber),1,0
1,0,2021-22,HB 1001,1001,,,,,2021-04-16,0,0,HB 1001,Effective date 7/25/2021.,0,C 52 L 21,0,0,2021-01-11,AN ACT Relating to establishing a law enforcement professional development outreach grant program;,1,Establishing a law enforcement professional development outreach grant program.,House,14115,H-0074.1,0,0,0,0,Law enf. professional dev.,Bill,B,(Maycumber),1,0
1,0,2021-22,HB 1002,1002,,,,,2022-01-10,0,0,HB 1002,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,2021-01-11,AN ACT Relating to providing a business and occupation tax exemption for qualifying grants related to COVID-19 relief;,0,Providing a business and occupation tax exemption for qualifying grants related to COVID-19 relief.,House,29109,H-0053.2,0,0,0,0,COVID-19 grants/B&O tax,Bill,B,(Walen),0,0
1,0,2021-22,HB 1003,1003,,,,,2022-01-10,0,0,HB 1003,"By resolution, reintroduced and retained in present status.",0,H State Govt & Tr,0,0,2021-01-11,AN ACT Relating to requiring watermarks on mail-in ballots;,0,Requiring watermarks on mail-in ballots.,House,14207,H-0125.1,0,0,0,0,Mail-in ballot watermarks,Bill,B,(Klippert),0,0
1,0,2021-22,HB 1004,1004,,,,,2022-01-10,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,H State Govt & Tr,0,0,2021-01-11,AN ACT Relating to legislative oversight of health orders issued in response to a proclaimed state of emergency;,0,Concerning legislative oversight of emergency health orders.,House,14207,H-0002.1,0,0,0,0,Emergency health orders/leg.,Bill,B,(Klippert),0,0
1,0,2021-22,HB 1005,1005,,,,,2022-01-10,0,0,HB 1005,"By resolution, reintroduced and retained in present status.",0,H Labor & Workpla,0,0,2021-01-11,AN ACT Relating to the crime of blacklisting;,0,Concerning the crime of blacklisting.,House,14207,H-0093.1,0,0,0,0,Blacklisting,Bill,B,(Klippert),0,0
1,0,2021-22,HB 1006,1006,,,,,2022-01-10,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,H HC/Wellness,0,0,2021-01-11,AN ACT Relating to protecting the right of every Washington resident to decline an immunization or vaccination based on religion or conscience;,0,Protecting the right of every Washington resident to decline an immunization or vaccination based on religion or conscience.,House,14207,H-0111.1,0,0,0,0,"Immunization, declining",Bill,B,(Klippert),0,0
0,0,2021-22,HB 1007,1007,,,,,2021-01-22,0,0,HB 1007,1st substitute bill substituted.,0,H subst for,0,0,2021-01-11,AN ACT Relating to the completion of supervised experience through distance supervision;,0,Concerning the completion of supervised experience through distance supervision.,House,14207,H-0033.1,0,0,0,0,Supervised exp./distance,Bill,B,(Klippert),0,0
1,0,2021-22,SHB 1007,1007,,,,,2021-04-14,0,0,SHB 1007,"Chapter 21, 2021 Laws.",0,C 21 L 21,0,0,2021-01-14,AN ACT Relating to the completion of supervised experience through distance supervision;,0,Concerning the completion of supervised experience through distance supervision.,House,14207,H-0392.1,0,0,0,0,Supervised exp./distance,Bill,B,HCW(Klippert),1,1
1,0,2021-22,HB 1008,1008,,2021-22,SB 5416,SLaw & Justice,2022-01-10,0,0,HB 1008,"By resolution, reintroduced and retained in present status.",0,H HC/Wellness,0,0,2021-01-11,AN ACT Relating to prohibiting abortion on the basis of Down syndrome;,0,Prohibiting abortion on the basis of Down syndrome.,House,14207,H-0047.1,0,0,0,0,Down syndrome/abortion,Bill,B,(Klippert),0,0
1,0,2021-22,HB 1009,1009,,,,,2021-04-16,0,1,HB 1009,Effective date 7/25/2021.,0,C 53 L 21,0,0,2021-01-11,AN ACT Relating to student health plans;,0,Concerning student health plans.,House,29107,H-0107.1,0,0,0,0,Student health plans,Bill,B,(Thai),1,0
1,0,2021-22,HB 1010,1010,,,,,2022-01-10,0,0,HB 1010,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2021-01-11,AN ACT Relating to dedicating the state sales tax on motor vehicles for transportation;,0,Dedicating the state sales tax on motor vehicles for transportation.,House,17221,H-0025.1,0,0,0,0,Motor vehicle sales tax,Bill,B,(MacEwen),1,0
1,0,2021-22,HB 1011,1011,,,,,2022-01-10,0,0,HB 1011,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2021-01-11,AN ACT Relating to renewal dates for liquor licenses;,0,Concerning renewal dates for liquor licenses.,House,17221,H-0091.1,0,0,0,0,Liquor license renewal dates,Bill,B,(MacEwen),1,0
1,0,2021-22,SHB 1011,1011,,,,,2022-01-10,0,0,SHB 1011,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2021-02-05,AN ACT Relating to renewal dates for liquor licenses;,0,Concerning renewal dates for liquor licenses.,House,17221,H-0443.1,0,0,0,0,Liquor license renewal dates,Bill,B,(MacEwen),1,1
1,0,2021-22,HB 1012,1012,,,,,2022-01-10,0,0,HB 1012,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,2021-01-11,AN ACT Relating to providing a business and occupation tax credit to address the economic impacts of the COVID-19 pandemic on businesses in the state;,0,Providing a business and occupation tax credit to address the economic impacts of the COVID-19 pandemic on businesses in the state.,House,17221,H-0118.1,0,0,0,0,B&O tax credit/COVID-19,Bill,B,(MacEwen),1,0
1,0,2021-22,HB 1013,1013,,,,,2022-01-10,0,0,HB 1013,"By resolution, reintroduced and retained in present status.",0,H State Govt & Tr,0,0,2021-01-11,AN ACT Relating to limiting the duration of emergency rules;,0,Limiting the duration of emergency rules.,House,14207,H-0129.1,0,0,0,0,Emergency rule duration,Bill,B,(Klippert),0,0
1,0,2021-22,HB 1014,1014,,,,,2022-01-10,0,0,HB 1014,"By resolution, reintroduced and retained in present status.",0,H State Govt & Tr,0,0,2021-01-11,AN ACT Relating to election of the governor by county;,0,Concerning election of the governor by county.,House,14207,H-0130.1,0,0,0,0,Governor election by county,Bill,B,(Klippert),0,0
0,0,2021-22,HB 1015,1015,,,,,2021-03-09,0,0,HB 1015,2nd substitute bill substituted.,0,H subst for,0,0,2021-01-11,AN ACT Relating to creating the Washington equitable access to credit act;,0,Creating the Washington equitable access to credit act.,House,14115,H-0004.1,0,0,0,0,Equitable access to credit,Bill,B,(Maycumber),1,0
0,0,2021-22,SHB 1015,1015,,,,,2021-03-09,0,0,SHB 1015,2nd substitute bill substituted.,0,H subst for,0,0,2021-01-21,AN ACT Relating to creating the Washington equitable access to credit act;,0,Creating the Washington equitable access to credit act.,House,14115,H-0511.1,0,0,0,0,Equitable access to credit,Bill,B,CPB(Maycumber),1,1
1,0,2021-22,E2SHB 1015,1015,,,,,2022-03-30,1,1,E2SHB 1015,Effective date 6/9/2022.,0,C 189 L 22,0,1,2021-02-18,AN ACT Relating to creating the Washington equitable access to credit act;,0,Creating the Washington equitable access to credit act.,House,14115,H-1025.2,0,0,0,0,Equitable access to credit,Bill,B,FIN(Maycumber),1,2
0,0,2021-22,HB 1016,1016,,,,,2021-02-25,0,0,HB 1016,1st substitute bill substituted.,0,H subst for,0,0,2021-01-11,AN ACT Relating to making Juneteenth a legal holiday;,1,Making Juneteenth a legal holiday.,House,29103,H-0135.1,0,0,0,0,Juneteenth,Bill,B,(Morgan),1,0
1,0,2021-22,SHB 1016,1016,,,,,2021-05-13,0,0,SHB 1016,Effective date 7/25/2021.,0,C 295 L 21,0,0,2021-02-04,AN ACT Relating to making Juneteenth a legal holiday;,0,Making Juneteenth a legal holiday.,House,29103,H-0810.1,0,0,0,0,Juneteenth,Bill,B,APP(Morgan),0,1
1,0,2021-22,HB 1017,1017,,,,,2022-01-10,0,0,HB 1017,"By resolution, reintroduced and retained in present status.",0,H State Govt & Tr,0,0,2021-01-11,AN ACT Relating to legislative oversight of emergency orders issued during a proclaimed state of emergency;,0,Concerning legislative oversight of emergency orders.,House,14207,H-0140.1,0,0,0,0,Emergency order oversight,Bill,B,(Klippert),0,0
1,0,2021-22,HB 1018,1018,,,,,2022-01-10,0,0,HB 1018,"By resolution, reintroduced and retained in present status.",0,H Comm & Econ De,0,0,2021-01-11,AN ACT Relating to boater education;,0,Concerning boater education.,House,3476,H-0026.1,0,0,0,0,Boater education,Bill,B,(Lovick),1,0
1,0,2021-22,HB 1019,1019,,,,,2022-01-10,0,0,HB 1019,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2021-01-11,AN ACT Relating to residential marijuana agriculture;,0,Allowing residential marijuana agriculture.,House,26168,H-0021.1,0,0,0,0,Residential marijuana ag.,Bill,B,(Kloba),1,0
1,0,2021-22,SHB 1019,1019,,,,,2022-01-10,0,0,SHB 1019,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2021-01-22,AN ACT Relating to residential marijuana agriculture;,0,Allowing residential marijuana agriculture.,House,26168,H-0527.1,0,0,0,0,Residential marijuana ag.,Bill,B,(Kloba),1,1
1,0,2021-22,HB 1020,1020,,,,,2022-01-10,0,0,HB 1020,"By resolution, reintroduced and retained in present status.",0,H State Govt & Tr,0,0,2021-01-11,AN ACT Relating to the emergency powers of the governor;,0,Concerning the emergency powers of the governor.,House,14207,H-0138.1,0,0,0,0,Governor's emergency powers,Bill,B,(Klippert),0,0
1,0,2021-22,HB 1021,1021,,,,,2022-01-10,0,0,HB 1021,"By resolution, reintroduced and retained in present status.",0,H Labor & Workpla,0,0,2021-01-11,AN ACT Relating to relief of benefit charges when discharge is a result of a gubernatorial declaration of emergency or related executive order;,0,Concerning relief of benefit charges when discharge is a result of a gubernatorial declaration of emergency or related executive order.,House,17221,H-0134.1,0,0,0,0,Unemployment benefit charges,Bill,B,(MacEwen),0,0
1,0,2021-22,HB 1022,1022,,,,,2021-05-03,1,1,HB 1022,Effective date 7/25/2021.,0,C 149 L 21,0,0,2021-01-11,AN ACT Relating to Washington state horse racing commission provisions;,0,Modifying Washington state horse racing commission provisions.,House,17221,Z-0109.1,0,0,0,1,Horse racing commission,Bill,B,(MacEwen),1,0
1,0,2021-22,HB 1023,1023,,,,,2021-04-16,0,0,HB 1023,Effective date 7/25/2021.,0,C 54 L 21,0,0,2021-01-11,AN ACT Relating to predesign requirements and thresholds;,0,Concerning predesign requirements and thresholds.,House,10546,H-0095.1,0,0,0,0,Predesign requirements,Bill,B,(Steele),1,0
1,0,2021-22,HB 1024,1024,,,,,2022-01-10,0,0,HB 1024,"By resolution, reintroduced and retained in present status.",0,H State Govt & Tr,0,0,2021-01-11,AN ACT Relating to sunshine committee recommendations regarding juveniles;,0,Concerning sunshine committee recommendations regarding juveniles.,House,10039,H-0137.1,0,0,0,0,Sunshine committee/juveniles,Bill,B,(Springer),0,0
1,0,2021-22,HB 1025,1025,,2021-22,SB 5006,SWays & Means,2022-01-28,0,0,HB 1025,Referred to Rules 2 Review.,0,H Rules R,0,0,2021-01-11,AN ACT Relating to local parks funding options;,1,Concerning local parks funding options.,House,17373,H-0100.1,0,0,0,0,Local parks funding options,Bill,B,(Wicks),1,0
1,0,2021-22,SHB 1025,1025,,,,,2022-01-28,0,0,SHB 1025,Referred to Rules 2 Review.,0,H Rules R,0,0,2022-01-27,AN ACT Relating to local parks funding options;,1,Concerning local parks funding options.,House,17373,H-2365.1,0,0,0,0,Local parks funding options,Bill,B,FIN(Wicks),1,1
1,0,2021-22,HB 1026,1026,,,,,2022-01-10,0,0,HB 1026,"By resolution, reintroduced and retained in present status.",0,H Civil R & Judi,0,0,2021-01-11,AN ACT Relating to the restoration of the right to possess a firearm;,0,Concerning the restoration of the right to possess a firearm.,House,29109,H-0110.1,0,0,0,0,Firearm rights restoration,Bill,B,(Walen),0,0
1,0,2021-22,HB 1027,1027,,,,,2022-01-10,0,0,HB 1027,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2021-01-11,AN ACT Relating to reducing the administrative cost of state government during the 2021-2023 fiscal biennium;,0,Reducing the administrative cost of state government during the 2021-2023 fiscal biennium.,House,27181,H-0050.2,0,0,0,0,Administrative cost of state,Bill,B,(Walsh),0,0
0,0,2021-22,HB 1028,1028,,,,,2021-02-24,0,0,HB 1028,2nd substitute bill substituted.,0,H subst for,0,0,2021-01-11,AN ACT Relating to evaluation and recommendation of candidates for residency teacher certification;,0,Concerning evaluation and recommendation of candidates for residency teacher certification.,House,17227,H-0148.1,0,0,0,0,Residency teacher cert.,Bill,B,(Bergquist),1,0
0,0,2021-22,SHB 1028,1028,,,,,2021-02-24,0,0,SHB 1028,2nd substitute bill substituted.,0,H subst for,0,0,2021-01-28,AN ACT Relating to evaluation and recommendation of candidates for residency teacher certification;,0,Concerning evaluation and recommendation of candidates for residency teacher certification.,House,17227,H-0613.2,0,0,0,0,Residency teacher cert.,Bill,B,ED(Bergquist),0,1
1,0,2021-22,2SHB 1028,1028,,,,,2021-05-10,0,1,2SHB 1028,Effective date 5/5/2021.,0,C 198 L 21,0,0,2021-02-16,AN ACT Relating to evaluation and recommendation of candidates for residency teacher certification;,0,Concerning evaluation and recommendation of candidates for residency teacher certification.,House,17227,H-1009.1,0,0,0,0,Residency teacher cert.,Bill,B,APP(Bergquist),1,2
1,0,2021-22,HB 1029,1029,,,,,2022-01-10,0,0,HB 1029,"By resolution, reintroduced and retained in present status.",0,H State Govt & Tr,0,0,2021-01-11,AN ACT Relating to orders and rules during a state of emergency;,0,Concerning orders and rules during a state of emergency.,House,27181,H-0139.1,0,0,0,0,Emergency orders and rules,Bill,B,(Walsh),0,0
1,0,2021-22,HB 1030,1030,,2021-22,SB 5031,C 175 L 21,2022-01-10,0,0,HB 1030,"House Rules ""X"" file.",0,H Rules X,0,0,2021-01-11,AN ACT Relating to a community aviation revitalization loan program;,0,Concerning a community aviation revitalization loan program.,House,20761,H-0077.1,0,0,0,0,Aviation revital. loan prg,Bill,B,(Dent),1,0
1,0,2021-22,HB 1031,1031,,2021-22,SB 5072,SHealth & Long,2021-04-16,0,0,HB 1031,"Chapter 55, 2021 Laws.",0,C 55 L 21,0,0,2021-01-11,AN ACT Relating to the government issuance of a certificate of birth resulting in stillbirth;,1,Concerning the government issuance of a certificate of birth resulting in stillbirth.,House,29109,H-0006.2,0,0,0,0,"Birth cert., stillbirth",Bill,B,(Walen),1,0
1,0,2021-22,HB 1032,1032,,,,,2022-01-10,0,0,HB 1032,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2021-01-11,AN ACT Relating to early retirement options for members of the teachers' retirement system and school employees' retirement system plans 2 and 3;,0,Concerning early retirement options for members of the teachers' retirement system and school employees' retirement system plans 2 and 3.,House,15813,H-0036.1,0,0,0,0,TRS & SERS early retirement,Bill,B,(Harris),0,0
0,0,2021-22,HB 1033,1033,,,,,2021-03-03,0,0,HB 1033,2nd substitute bill substituted.,0,H subst for,0,0,2021-01-11,AN ACT Relating to the Washington customized employment training program;,0,Concerning the Washington customized employment training program.,House,29102,H-0168.2,0,0,0,0,Employment training program,Bill,B,(Leavitt),1,0
0,0,2021-22,SHB 1033,1033,,,,,2021-03-03,0,0,SHB 1033,2nd substitute bill substituted.,0,H subst for,0,0,2021-01-21,AN ACT Relating to the Washington customized employment training program;,0,Concerning the Washington customized employment training program.,House,29102,H-0510.1,0,0,0,0,Employment training program,Bill,B,CWD(Leavitt),1,1
1,0,2021-22,2SHB 1033,1033,,,,,2021-04-26,0,0,2SHB 1033,Effective date 7/1/2021.,0,C 116 L 21,0,0,2021-02-19,AN ACT Relating to the Washington customized employment training program;,0,Concerning the Washington customized employment training program.,House,29102,H-1073.1,0,0,0,0,Employment training program,Bill,B,FIN(Leavitt),1,2
1,0,2021-22,HB 1034,1034,,,,,2021-04-26,1,1,HB 1034,Effective date 7/25/2021.,0,C 117 L 21,0,0,2021-01-11,AN ACT Relating to park and recreation district levies;,1,Concerning park and recreation district levies.,House,13198,H-0115.1,0,0,0,0,Park & rec. district levies,Bill,B,(Fitzgibbon),1,0
1,0,2021-22,HB 1035,1035,,,,,2022-01-10,0,0,HB 1035,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,2021-01-11,AN ACT Relating to providing local governments with options to grant rent relief and preserve affordable housing in their communities;,1,Providing local governments with options to grant rent relief and preserve affordable housing in their communities.,House,26168,H-0029.1,0,0,0,0,Rent relief & housing,Bill,B,(Kloba),1,0
