Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2023-24,HB 1000,1000,,,,,2024-01-08,0,0,HB 1000,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,2023-01-09,AN ACT Relating to providing sales tax relief by expanding the working families' tax credit;,0,Providing sales tax relief by expanding the working families' tax credit.,House,20756,H-0113.1,0,0,0,0,Working families' tax credit,Bill,B,(Stokesbary),1,0
1,0,2023-24,HB 1001,1001,,2023-24,SB 5021,SHealth & Long,2023-04-13,0,0,HB 1001,Effective date 7/23/2023.,0,C 53 L 23,0,0,2023-01-09,AN ACT Relating to the audiology and speech-language pathology interstate compact;,0,Concerning the audiology and speech-language pathology interstate compact.,House,29102,H-0082.1,0,0,0,0,Audiology & speech compact,Bill,B,(Leavitt),1,0
1,0,2023-24,HB 1002,1002,,,,,2023-05-01,1,1,HB 1002,Effective date 7/23/2023.,0,C 196 L 23,0,0,2023-01-09,AN ACT Relating to increasing the penalty for hazing;,1,Increasing the penalty for hazing.,House,29102,H-0034.1,0,0,0,0,Hazing penalty,Bill,B,(Leavitt),1,0
1,0,2023-24,HB 1003,1003,,,,,2024-01-08,0,0,HB 1003,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2023-01-09,AN ACT Relating to expanding access to dual credit programs;,0,Expanding access to dual credit programs.,House,20756,H-0142.1,0,0,0,0,Dual credit program access,Bill,B,(Stokesbary),1,0
1,0,2023-24,SHB 1003,1003,,,,,2024-01-08,0,0,SHB 1003,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2023-02-07,AN ACT Relating to expanding access to dual credit programs;,0,Expanding access to dual credit programs.,House,20756,H-1151.1,0,0,0,0,Dual credit program access,Bill,B,ED(Stokesbary),1,1
1,0,2023-24,HB 1004,1004,,2023-24,SB 5478,SRules X,2023-04-13,0,0,HB 1004,Effective date 7/23/2023.,0,C 54 L 23,0,0,2023-01-09,AN ACT Relating to installing signs on or near bridges to provide information to deter jumping;,1,Installing signs on or near bridges to provide information to deter jumping.,House,31526,H-0031.1,0,0,0,0,Bridge jumping signs,Bill,B,(Abbarno),1,0
1,0,2023-24,HB 1005,1005,,,,,2024-01-08,0,1,HB 1005,"By resolution, reintroduced and retained in present status.",0,H Rules C,0,0,2023-01-09,AN ACT Relating to employer tax incentives for the support of veterans and military families;,0,Concerning employer tax incentives for the support of veterans and military families.,House,31526,H-0038.1,0,0,0,0,Military/employer tax incen.,Bill,B,(Abbarno),1,0
1,0,2023-24,HB 1006,1006,,,,,2024-01-08,0,0,HB 1006,"House Rules ""X"" file.",0,H Rules X,0,0,2023-01-09,AN ACT Relating to expanding access to drug testing equipment to promote community safety;,0,Expanding access to drug testing equipment.,House,14205,H-0105.1,0,0,0,0,Drug testing equipment,Bill,B,(Orwall),0,0
0,0,2023-24,HB 1007,1007,,2023-24,SB 5296,SRules X,2023-02-01,0,0,HB 1007,1st substitute bill substituted.,0,H subst for,0,0,2023-01-09,AN ACT Relating to interruptive military service credit for members of the state retirement systems;,0,Concerning interruptive military service credit for members of the state retirement systems.,House,29095,Z-0159.1,0,0,0,1,Military service credit,Bill,B,(Paul),1,0
1,0,2023-24,SHB 1007,1007,,,,,2023-04-06,0,0,SHB 1007,Effective date 7/23/2023.,0,C 18 L 23,0,0,2023-01-23,AN ACT Relating to interruptive military service credit for members of the state retirement systems;,0,Concerning interruptive military service credit for members of the state retirement systems.,House,29095,H-0799.1,0,0,0,1,Military service credit,Bill,B,APP(Paul),1,1
1,0,2023-24,HB 1008,1008,,2023-24,SB 5420,SWays & Means,2023-04-25,0,0,HB 1008,Effective date 1/1/2024.,0,C 164 L 23,0,0,2023-01-09,AN ACT Relating to participating in insurance plans and contracts by separated plan 2 members of certain retirement systems;,0,Concerning participating in insurance plans and contracts by separated plan 2 members of certain retirement systems.,House,31529,H-0128.1,0,0,0,0,Plan 2 members/insurance,Bill,B,(Bronoske),1,0
0,0,2023-24,HB 1009,1009,,,,,2023-02-15,0,0,HB 1009,2nd substitute bill substituted.,0,H subst for,0,0,2023-01-09,AN ACT Relating to military spouse employment;,0,Concerning military spouse employment.,House,29102,H-0110.1,0,0,0,0,Military spouse employment,Bill,B,(Leavitt),1,0
0,0,2023-24,SHB 1009,1009,,,,,2023-02-15,0,0,SHB 1009,2nd substitute bill substituted.,0,H subst for,0,0,2023-01-13,AN ACT Relating to military spouse employment;,0,Concerning military spouse employment.,House,29102,H-0550.1,0,0,0,0,Military spouse employment,Bill,B,TEDV(Leavitt),1,1
1,0,2023-24,2SHB 1009,1009,,,,,2023-04-25,1,1,2SHB 1009,Effective date 7/23/2023*.,0,C 165 L 23,0,0,2023-02-02,AN ACT Relating to military spouse employment;,0,Concerning military spouse employment.,House,29102,H-1053.1,0,0,0,0,Military spouse employment,Bill,B,APP(Leavitt),1,2
0,0,2023-24,HB 1010,1010,,,,,2023-03-03,0,0,HB 1010,2nd substitute bill substituted.,0,H subst for,0,0,2023-01-09,AN ACT Relating to the sanitary control of shellfish;,0,Concerning the sanitary control of shellfish.,House,26176,H-0169.1,0,0,0,0,Shellfish sanitary control,Bill,B,(Chapman),1,0
0,0,2023-24,SHB 1010,1010,,,,,2023-03-03,0,0,SHB 1010,2nd substitute bill substituted.,0,H subst for,0,0,2023-01-17,AN ACT Relating to the sanitary control of shellfish;,0,Concerning the sanitary control of shellfish.,House,26176,H-0610.1,0,0,0,0,Shellfish sanitary control,Bill,B,AGNR(Chapman),1,1
1,0,2023-24,2SHB 1010,1010,,,,,2024-02-20,0,0,2SHB 1010,"House Rules ""X"" file.",0,H Rules X,0,0,2023-02-02,AN ACT Relating to the sanitary control of shellfish;,0,Concerning the sanitary control of shellfish.,House,26176,H-1056.1,0,0,0,0,Shellfish sanitary control,Bill,B,APP(Chapman),1,2
1,0,2023-24,HB 1011,1011,,,,,2024-01-08,0,0,HB 1011,"By resolution, reintroduced and retained in present status.",0,H HC/Wellness,0,0,2023-01-09,AN ACT Relating to repealing the long-term services and supports trust program;,0,Repealing the long-term services and supports trust program.,House,31526,H-0124.1,0,0,0,0,Long-term care/repeal,Bill,B,(Abbarno),0,0
0,0,2023-24,HB 1012,1012,,,,,2023-02-28,0,0,HB 1012,1st substitute bill substituted.,0,H subst for,0,0,2023-01-09,AN ACT Relating to responding to extreme weather events;,1,Addressing the response to extreme weather events.,House,29102,H-0168.1,0,0,0,0,Extreme weather events,Bill,B,(Leavitt),1,0
1,0,2023-24,SHB 1012,1012,,,,,2024-03-19,1,1,SHB 1012,Effective date 6/6/2024.,0,C 172 L 24,0,0,2023-02-16,AN ACT Relating to responding to extreme weather events;,1,Addressing the response to extreme weather events.,House,29102,H-1379.1,0,0,0,0,Extreme weather events,Bill,B,APP(Leavitt),1,1
0,0,2023-24,HB 1013,1013,,,,,2023-03-02,0,0,HB 1013,2nd substitute bill substituted.,0,H subst for,0,0,2023-01-09,AN ACT Relating to establishing regional apprenticeship programs through educational service districts;,0,Establishing regional apprenticeship programs.,House,14115,H-0024.1,0,0,0,0,Regional apprenticeship prgs,Bill,B,(Maycumber),1,0
0,0,2023-24,SHB 1013,1013,,,,,2023-03-02,0,0,SHB 1013,2nd substitute bill substituted.,0,H subst for,0,0,2023-01-26,AN ACT Relating to establishing regional apprenticeship programs through educational service districts;,0,Establishing regional apprenticeship programs.,House,14115,H-0870.1,0,0,0,0,Regional apprenticeship prgs,Bill,B,ED(Maycumber),1,1
1,0,2023-24,2SHB 1013,1013,,,,,2023-04-20,0,0,2SHB 1013,Effective date 7/23/2023.,0,C 128 L 23,0,0,2023-02-23,AN ACT Relating to establishing regional apprenticeship programs through educational service districts;,0,Establishing regional apprenticeship programs.,House,14115,H-1546.1,0,0,0,0,Regional apprenticeship prgs,Bill,B,APP(Maycumber),1,2
1,0,2023-24,HB 1014,1014,,,,,2024-01-08,0,0,HB 1014,"By resolution, reintroduced and retained in present status.",0,H Cap Budget,0,0,2023-01-09,AN ACT Relating to capital projects for the provision of fire protection services;,1,Concerning capital projects for the provision of fire protection services.,House,31526,H-0012.1,0,0,0,0,Fire protection projects,Bill,B,(Abbarno),1,0
0,0,2023-24,HB 1015,1015,,2023-24,SB 5264,SEL/K-12,2023-02-02,0,0,HB 1015,1st substitute bill substituted.,0,H subst for,0,0,2023-01-09,AN ACT Relating to minimum employment requirements for paraeducators;,0,Concerning minimum employment requirements for paraeducators.,House,3483,Z-0060.1,0,0,0,1,Paraeducator requirements,Bill,B,(Santos),1,0
1,0,2023-24,SHB 1015,1015,,,,,2023-04-19,0,0,SHB 1015,Effective date 7/23/2023.,0,C 19 L 23,0,0,2023-01-26,AN ACT Relating to minimum employment requirements for paraeducators;,0,Concerning minimum employment requirements for paraeducators.,House,3483,H-0871.1,0,0,0,1,Paraeducator requirements,Bill,B,ED(Santos),1,1
1,0,2023-24,HB 1016,1016,,2023-24,SB 5007,SLabor & Comm,2024-01-08,0,0,HB 1016,"By resolution, reintroduced and retained in present status.",0,H Reg Subst & Ga,0,0,2023-01-09,AN ACT Relating to creating a wine retailer shipper's permit;,0,Establishing a wine retailer shipper's permit.,House,26176,H-0075.1,0,0,0,0,Wine retailer shippers,Bill,B,(Chapman),1,0
1,0,2023-24,HB 1017,1017,,2023-24,SB 5307,SLabor & Comm,2023-04-13,0,0,HB 1017,Effective date 7/23/2023.,0,C 55 L 23,0,0,2023-01-09,"AN ACT Relating to expediting licensure for cosmetologists, hair designers, barbers, manicurists, and estheticians;",0,"Expediting licensure for cosmetologists, hair designers, barbers, manicurists, and estheticians.",House,15736,H-0025.2,0,0,0,0,"Cosmetologists, etc/licenses",Bill,B,(Ryu),1,0
1,0,2023-24,HB 1018,1018,,2023-24,SB 5030,SWays & Means,2023-05-09,0,0,HB 1018,Effective date 7/23/2023.,0,C 341 L 23,0,0,2023-01-09,AN ACT Relating to changing the expiration date for the sales and use tax exemption of hog fuel to comply with the 2045 deadline for fossil fuel-free electrical generation in Washington state and to protect jobs with health care and retirement benefits in economically distressed communities;,0,Changing the expiration date for the sales and use tax exemption of hog fuel to comply with the 2045 deadline for fossil fuel-free electrical generation in Washington state and to protect jobs with health care and retirement benefits in economically distressed communities.,House,15816,H-0107.1,0,0,0,0,Hog fuel/tax exemption,Bill,B,(Tharinger),1,0
0,0,2023-24,HB 1019,1019,,,,,2023-03-07,0,0,HB 1019,1st substitute bill substituted.,0,H subst for,0,0,2023-01-09,AN ACT Relating to creating the pesticide advisory board;,0,Creating the pesticide advisory board.,House,20761,H-0072.1,0,0,0,0,Pesticide advisory board,Bill,B,(Dent),1,0
1,0,2023-24,ESHB 1019,1019,,,,,2023-05-09,1,1,ESHB 1019,Effective date 7/23/2023.,0,C 378 L 23,0,1,2023-01-27,AN ACT Relating to creating the pesticide advisory board;,0,Creating the pesticide advisory board.,House,20761,H-0800.1,0,0,0,0,Pesticide advisory board,Bill,B,AGNR(Dent),1,1
1,0,2023-24,HB 1020,1020,,,,,2023-05-04,1,1,HB 1020,Effective date 7/23/2023.,0,C 330 L 23,0,0,2023-01-09,AN ACT Relating to the state dinosaur;,0,Designating the Suciasaurus rex as the official dinosaur of the state of Washington.,House,29103,H-0117.1,0,0,0,0,State dinosaur,Bill,B,(Morgan),0,0
1,0,2023-24,HB 1021,1021,,2023-24,SB 5354,SHealth & Long,2024-01-08,0,0,HB 1021,"House Rules ""X"" file.",0,H Rules X,0,0,2023-01-09,AN ACT Relating to aligning social worker licensing requirements with national standards and requirements for other mental health professionals;,0,Aligning social worker licensing requirements.,House,29107,H-0047.2,0,0,0,0,Social worker licensing,Bill,B,(Thai),1,0
1,0,2023-24,HB 1022,1022,,,,,2024-02-20,0,1,HB 1022,"House Rules ""X"" file.",0,H Rules X,0,0,2023-01-09,AN ACT Relating to providing additional support and services for veterans' assistance and for persons with developmental disabilities or mental health needs;,1,Providing additional support and services for veterans' assistance and for persons with developmental disabilities or mental health needs.,House,26176,H-0172.1,0,0,0,0,Support & services levies,Bill,B,(Chapman),1,0
