Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2017-18,HI 940,940,,,,,2018-03-08,0,0,HI 940,Effective date 6/7/2018.,0,C 11 L 18,0,0,2018-01-18,,0,Law enforcement,House,5592,I-3478.1,0,0,0,0,Law enforcement,Initiative,I,(People of the State of Washington),1,0
1,0,2017-18,SI 940,940,,,,,2018-03-08,0,0,SI 940,Effective date 6/7/2018.,0,C 11 L 18,0,0,2018-01-26,,0,Law enforcement,Senate,5592,I-3478.1,0,0,0,0,Law enforcement,Initiative,I,(People of the State of Washington),1,0
1,0,2017-18,HB 1000,1000,,2017-18,SB 5000,SLAWw/o Rec,2018-01-08,0,0,HB 1000,"By resolution, reintroduced and retained in present status.",0,H Public Safety,0,0,2017-01-09,AN ACT Relating to the use of deadly force by law enforcement and corrections officers;,0,Concerning the use of deadly force by law enforcement and corrections officers.,House,26175,H-0360.1,0,0,0,0,Law enforcement deadly force,Bill,B,(Doglio),0,0
1,0,2017-18,HB 1001,1001,,,,,2017-04-17,0,0,HB 1001,Effective date 7/23/2017.,0,C 19 L 17,0,0,2017-01-09,AN ACT Relating to utility easements on state-owned aquatic lands;,0,Concerning utility easements on state-owned aquatic lands.,House,2144,H-0118.1,0,0,0,0,Utility esmts./aquatic lands,Bill,B,(Morris),1,0
1,0,2017-18,HB 1002,1002,,,,,2018-01-08,0,0,HB 1002,"By resolution, reintroduced and retained in present status.",0,H HC/Wellness,0,0,2017-01-09,AN ACT Relating to restricting public funds from being used for elective abortions;,0,Concerning public funds being used for elective abortions.,House,15006,H-0289.1,0,0,0,0,Abortions/public funds use,Bill,B,(Taylor),0,0
1,0,2017-18,HB 1003,1003,,,,,2018-01-08,0,0,HB 1003,"By resolution, reintroduced and retained in present status.",0,H HC/Wellness,0,0,2017-01-09,AN ACT Relating to requiring parental notification for abortion;,0,Establishing parental notification requirements for abortion.,House,14202,H-0240.1,0,0,0,0,"Abortion, notifying parents",Bill,B,(Shea),0,0
1,0,2017-18,HB 1004,1004,,,,,2018-01-08,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2017-01-09,AN ACT Relating to protecting the constitutionally guaranteed right to the lawful possession of firearms during a state of emergency;,0,Protecting the constitutionally guaranteed right to the lawful possession of firearms during a state of emergency.,House,14202,H-0401.1,0,0,0,0,Firearms/state of emergency,Bill,B,(Shea),0,0
1,0,2017-18,HB 1005,1005,,,,,2018-01-08,0,0,HB 1005,"By resolution, reintroduced and retained in present status.",0,"H State Govt, Ele",0,0,2017-01-09,AN ACT Relating to creating accountability in agency rule-making authority;,0,Creating accountability in agency rule-making authority.,House,15006,H-0166.2,0,0,0,0,Agency rule-making authority,Bill,B,(Taylor),1,0
1,0,2017-18,HB 1006,1006,,,,,2018-01-08,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,H Labor & Workpla,0,0,2017-01-09,AN ACT Relating to protecting the right to work;,0,Protecting the right to work.,House,14202,H-0116.1,0,0,0,0,The right to work,Bill,B,(Shea),0,0
1,0,2017-18,HB 1007,1007,,,,,2018-01-08,0,0,HB 1007,"By resolution, reintroduced and retained in present status.",0,H Labor & Workpla,0,0,2017-01-09,AN ACT Relating to accommodating the civil rights of religious objectors to mandatory payments to labor organizations;,0,Accommodating the civil rights of religious objectors to mandatory payments to labor organizations.,House,14202,H-0115.1,0,0,0,0,Religious objectors,Bill,B,(Shea),0,0
1,0,2017-18,HB 1008,1008,,,,,2018-01-08,0,0,HB 1008,"By resolution, reintroduced and retained in present status.",0,H Cap Budget,0,0,2017-01-09,AN ACT Relating to the acquisition of land by state natural resources agencies;,0,Concerning the acquisition of land by state natural resources agencies.,House,14202,H-0039.1,0,0,0,0,Nat. resources agencies/land,Bill,B,(Shea),1,0
1,0,2017-18,HB 1009,1009,,,,,2018-01-08,0,0,HB 1009,"By resolution, reintroduced and retained in present status.",0,H Environment,0,0,2017-01-09,AN ACT Relating to clarifying that the authority to mitigate environmental impacts under the state environmental policy act applies only to significant adverse environmental impacts;,0,Clarifying that the authority to mitigate environmental impacts under the state environmental policy act applies only to significant adverse environmental impacts.,House,14202,H-0439.1,0,0,0,0,Environ. impact mitigation,Bill,B,(Shea),0,0
0,0,2017-18,HB 1010,1010,,,,,2017-02-28,0,0,HB 1010,1st substitute bill substituted.,0,H subst for,0,0,2017-01-09,AN ACT Relating to directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements;,0,Directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements.,House,14202,H-0449.1,0,0,0,0,Dept. of ecology agreements,Bill,B,(Shea),1,0
1,0,2017-18,SHB 1010,1010,,,,,2017-04-19,0,0,SHB 1010,Effective date 7/23/2017.,0,C 47 L 17,0,0,2017-02-07,AN ACT Relating to directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements;,0,Directing the department of ecology to submit an annual report to the legislature detailing the department's participation in interagency agreements.,House,14202,H-1321.2,0,0,0,0,Dept. of ecology agreements,Bill,B,(Shea),1,1
