Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2003-04,EHB 1427,1427,,,,,2003-05-09,0,1,EHB 1427,Effective date 7/27/2003.,0,C 179 L 03,0,1,2003-01-27,AN ACT Relating to the admissibility of confessions and admissions in criminal and juvenile offense proceedings;,0,Allowing confessions and other admissions to be admitted into evidence if substantial independent evidence establishes the trustworthiness of the statement.,House,2159,H-0638.1,0,0,0,0,Evidence,Bill,B,(Lantz),0,0
0,0,2003-04,HB 1428,1428,,,,,2003-03-12,0,0,HB 1428,1st substitute bill substituted.,0,H subst for,0,0,2003-01-27,AN ACT Relating to electrical trainees;,0,Revising provisions for electrical trainees.,House,2166,H-0765.1,0,0,0,0,Electrical trainees,Bill,B,(Wood),0,0
1,0,2003-04,SHB 1428,1428,,,,,2004-01-12,0,0,SHB 1428,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,2003-02-24,AN ACT Relating to electrical trainees;,0,Revising provisions for electrical trainees.,House,2166,H-1323.1,0,0,0,0,Electrical trainees,Bill,B,(Wood),0,1
1,0,2003-04,HB 1429,1429,,,,,2004-01-12,0,0,HB 1429,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,2003-01-27,AN ACT Relating to property tax appeals;,1,Changing the burden of proof on property tax appeals.,House,2158,H-0289.1,0,0,0,0,Property tax appeal,Bill,B,(Bush),1,0
1,0,2003-04,HB 1430,1430,,2003-04,SB 5752,SGovt Op & El,2003-05-20,0,1,HB 1430,Governor vetoed.,0,Gov vetoed,1,0,2003-01-27,AN ACT Relating to housing;,1,Requiring state agencies to prepare housing impact statements.,House,3478,H-0914.1,0,0,0,0,Housing impact statements,Bill,B,(Miloscia),1,0
0,0,2003-04,HB 1431,1431,,2003-04,SB 5220,SGovt Op & El,2003-03-13,0,0,HB 1431,1st substitute bill substituted.,0,H subst for,0,0,2003-01-27,AN ACT Relating to the date of the primary;,1,Changing the primary to June.,House,5141,Z-0374.1,0,1,0,0,Date of primary,Bill,B,(McDermott),1,0
1,0,2003-04,ESHB 1431,1431,,,,,2004-01-14,0,1,ESHB 1431,"House Rules ""X"" file.",0,H Rules X,0,1,2003-02-27,AN ACT Relating to the date of the primary;,0,Changing the primary to June.  (REVISED FOR ENGROSSED:  Changing the date of the primary election.),House,5141,H-2103.1,0,1,0,0,Date of primary,Bill,B,(McDermott),0,1
1,0,2003-04,HB 1432,1432,,,,,2004-01-12,0,0,HB 1432,"By resolution, reintroduced and retained in present status.",0,H State Govt,0,0,2003-01-27,AN ACT Relating to making blank petitions available in electronic form;,0,Making blank petitions available in electronic form.,House,7671,H-0954.1,0,0,0,0,Blank petitions,Bill,B,(Nixon),0,0
1,0,2003-04,EHB 1433,1433,,,,,2004-03-31,1,1,EHB 1433,Effective date 6/10/2004.,0,C 232 L 04,0,1,2003-01-27,AN ACT Relating to designation of highways of statewide significance;,0,Designating highways of statewide significance.,House,2150,H-0978.1,0,0,0,0,Highways of significance,Bill,B,(Cooper),0,0
1,0,2003-04,HB 1434,1434,,,,,2004-01-12,0,0,HB 1434,"By resolution, reintroduced and retained in present status.",0,H Education,0,0,2003-01-27,AN ACT Relating to studying housing needs of nonsupervisory education employees;,0,Creating a task force to study the housing needs of nonsupervisory education employees.,House,5160,H-0777.1,0,0,0,0,Education employee housing,Bill,B,(Anderson),1,0
1,0,2003-04,HB 1435,1435,,,,,2003-04-14,0,0,HB 1435,Effective date 6/30/2003.,0,C 14 L 03,0,0,2003-01-27,AN ACT Relating to the fruit and vegetable district fund;,0,Concerning the fruit and vegetable district fund.,House,5161,H-0720.1,0,0,0,0,Fruit & vege district fund,Bill,B,(Armstrong),0,0
1,0,2003-04,HB 1436,1436,,,,,2004-01-12,0,0,HB 1436,"By resolution, reintroduced and retained in present status.",0,H Local Gov.,0,0,2003-01-27,AN ACT Relating to allowing rural counties to remove themselves from the requirements to plan under chapter 36.70A RCW;,0,Allowing rural counties to remove themselves from the requirements to plan under chapter 36.70A RCW.,House,5161,H-0913.1,0,0,0,0,Rural counties,Bill,B,(Armstrong),0,0
1,0,2003-04,HB 1437,1437,,2003-04,SB 5448,Ssubst for,2004-01-12,0,0,HB 1437,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,2003-01-27,AN ACT Relating to tuition-setting authority at institutions of higher education;,0,Changing tuition provisions for institutions of higher education.,House,2314,Z-0495.3,0,0,1,0,Higher edu tuition,Bill,B,(Kenney),1,0
1,0,2003-04,SHB 1437,1437,,,,,2004-01-12,0,0,SHB 1437,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,2003-03-05,AN ACT Relating to tuition-setting authority at institutions of higher education;,0,Changing tuition provisions for institutions of higher education.,House,2314,H-2321.1,0,0,1,0,Higher edu tuition,Bill,B,(Kenney),0,1
0,0,2003-04,HB 1438,1438,,2003-04,ESB 5450,C 353 L 03,2003-03-13,0,0,HB 1438,1st substitute bill substituted.,0,H subst for,0,0,2003-01-27,AN ACT Relating to providing incentives to reduce air pollution through the licensing and use of neighborhood electric vehicles;,1,Providing incentives to reduce air pollution through the use of neighborhood electric vehicles.,House,7240,H-0258.1,0,0,0,0,Electric vehicles,Bill,B,(Sullivan),1,0
1,0,2003-04,ESHB 1438,1438,,,,,2004-01-14,0,1,ESHB 1438,"House Rules ""X"" file.",0,H Rules X,0,1,2003-02-28,AN ACT Relating to providing incentives to reduce air pollution through the licensing and use of neighborhood electric vehicles;,0,Providing incentives to reduce air pollution through the use of neighborhood electric vehicles.,House,7240,H-2188.1,0,0,0,0,Electric vehicles,Bill,B,(Sullivan),0,1
1,0,2003-04,HB 1439,1439,,2003-04,SB 5453,SFinSer/Ins/H,2004-01-12,0,0,HB 1439,Referred to Commerce & Labor.,0,H Commerce/Lab,0,0,2003-01-27,AN ACT Relating to seller disclosure of the presence of uncertified wood stoves or uncertified fireplace inserts;,0,Requiring seller disclosure of the presence of uncertified wood stoves or uncertified fireplace inserts.,House,2314,H-0381.1,0,0,0,0,Wood stoves,Bill,B,(Kenney),0,0
0,0,2003-04,HB 1440,1440,,2003-04,SB 5413,C 201 L 03,2003-02-14,0,0,HB 1440,1st substitute bill substituted.,0,H subst for,0,0,2003-01-27,AN ACT Relating to allowing out-of-state licensees to practice commercial real estate;,0,Allowing out-of-state licensees to practice commercial real estate.,House,972,H-0347.2,0,0,0,0,Real estate licensees,Bill,B,(Conway),0,0
1,0,2003-04,SHB 1440,1440,,,,,2004-01-14,0,0,SHB 1440,"House Rules ""X"" file.",0,H Rules X,0,0,2003-02-10,AN ACT Relating to allowing out-of-state licensees to practice commercial real estate;,0,Allowing out-of-state licensees to practice commercial real estate.,House,972,H-1320.1,0,0,0,0,Real estate licensees,Bill,B,(Conway),0,1
