Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2011-12,SB 6218,6218,,,,,2012-03-29,0,0,SB 6218,Effective date 6/7/2012.,0,C 124 L 12,0,0,2012-01-16,AN ACT Relating to escrow licensing requirement exceptions;,0,Concerning escrow licensing requirement exceptions relating to the practice of law.,Senate,15821,Z-0716.1,0,0,0,1,Escrow licensing,Bill,B,(Frockt),0,0
1,0,2011-12,SB 6219,6219,,2011-12,HB 2467,HWays & Means,2012-04-11,0,0,SB 6219,"By resolution, reintroduced and retained in present status.",0,S Transportation,0,0,2012-01-16,AN ACT Relating to the member contribution rate for the Washington state patrol retirement system;,0,Changing the member contribution rate for the Washington state patrol retirement system.,Senate,174,S-3295.1,0,0,0,0,State patrol retirement syst,Bill,B,(Haugen),1,0
1,0,2011-12,SB 6220,6220,,,,,2012-04-11,0,0,SB 6220,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-01-16,AN ACT Relating to modifying the effective date of RCW 19.122.130 from 2011's underground utility damage prevention act;,0,"Regarding the effective date of RCW 19.122.130, from the underground utility damage prevention act.",Senate,13161,Z-0860.2,0,0,0,1,Undergr. utility damage act,Bill,B,(Nelson),0,0
1,0,2011-12,SB 6221,6221,,2011-12,HB 2356,C 221 L 12,2012-04-11,0,0,SB 6221,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-01-16,AN ACT Relating to state capital funding of health and safety improvements at agricultural fairs;,0,Concerning state capital funding of health and safety improvements at agricultural fairs.,Senate,174,S-3727.1,0,0,0,0,Agricultural fairs,Bill,B,(Haugen),1,0
1,0,2011-12,SB 6222,6222,,2011-12,HB 2393,C 109 L 12,2012-04-11,0,0,SB 6222,"By resolution, reintroduced and retained in present status.",0,S Rules 2,0,0,2012-01-16,AN ACT Relating to federal new hire reporting requirements;,0,Concerning employer reporting to the state support registry.,Senate,15778,Z-0802.1,0,1,0,0,New hire/support registry,Bill,B,(Harper),1,0
1,0,2011-12,SB 6223,6223,,2011-12,HB 2437,HRules R,2012-03-19,0,0,SB 6223,Effective date 6/7/2012.,0,C 57 L 12,0,0,2012-01-16,AN ACT Relating to repealing the early supplemental security income transition project;,0,Repealing the early supplemental security income transition project.,Senate,1595,Z-0895.1,0,1,0,0,Early supp security income,Bill,B,(Regala),0,0
1,0,2011-12,SB 6224,6224,,,,,2012-04-11,0,0,SB 6224,"By resolution, reintroduced and retained in present status.",0,S Energy/NatRes/,0,0,2012-01-16,AN ACT Relating to the designation of hydroelectric energy generation on irrigation district facilities as renewable;,0,Allowing hydroelectric energy generation on irrigation district facilities to qualify for renewable energy credit.,Senate,1574,S-3636.1,0,0,0,0,Hydroelectric generation,Bill,B,(Delvin),0,0
1,0,2011-12,SB 6225,6225,,2011-12,HB 2472,HPub Safety,2012-04-11,0,0,SB 6225,"By resolution, reintroduced and retained in present status.",0,S Judiciary,0,0,2012-01-16,AN ACT Relating to giving general law enforcement authority to natural resource investigators;,0,Giving general law enforcement authority to natural resource investigators.,Senate,2304,S-3344.1,0,0,0,0,Nat. resource investigators,Bill,B,(Kline),1,0
0,0,2011-12,SB 6226,6226,,,,,2012-02-09,0,0,SB 6226,1st substitute bill substituted.,0,S subst for,0,0,2012-01-16,AN ACT Relating to authorization periods for subsidized child care;,0,Concerning authorization periods for subsidized child care.,Senate,15821,S-3729.1,0,0,0,0,Subsidized child care,Bill,B,(Frockt),1,0
1,0,2011-12,SSB 6226,6226,,,,,2012-03-30,1,1,SSB 6226,Effective date 7/1/2012.,0,C 251 L 12,0,0,2012-02-03,AN ACT Relating to authorization periods for subsidized child care;,0,Concerning authorization periods for subsidized child care.,Senate,15821,S-4271.2,0,0,0,0,Subsidized child care,Bill,B,(Frockt),1,1
0,0,2011-12,SB 6227,6227,,,,,2012-02-09,0,0,SB 6227,1st substitute bill substituted.,0,S subst for,0,0,2012-01-16,AN ACT Relating to establishing a medicaid fraud hotline;,0,Establishing a medicaid fraud hotline.,Senate,972,S-3530.3,0,0,0,0,Medicaid fraud hotline,Bill,B,(Conway),1,0
1,0,2011-12,ESSB 6227,6227,,,,,2012-04-11,0,1,ESSB 6227,"By resolution, reintroduced and retained in present status.",0,S Rules 3,0,1,2012-01-31,AN ACT Relating to establishing a medicaid fraud hotline;,0,Establishing a medicaid fraud hotline.,Senate,972,S-4262.1,0,0,0,0,Medicaid fraud hotline,Bill,B,(Conway),1,1
1,0,2011-12,SB 6228,6228,,,,,2012-04-11,0,0,SB 6228,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-01-16,AN ACT Relating to employment status discrimination;,0,Making employment status discrimination an unfair labor practice.,Senate,1950,S-3512.1,0,0,0,0,Employment status,Bill,B,(Keiser),1,0
1,0,2011-12,SSB 6228,6228,,,,,2012-04-11,0,0,SSB 6228,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-02-03,AN ACT Relating to the employment status of job applicants;,0,Prohibiting certain practices concerning the employment status of job applicants.,Senate,1950,S-4144.2,0,0,0,0,Employment status,Bill,B,(Keiser),1,1
1,0,2011-12,SB 6229,6229,,2011-12,HB 2508,HLabor/Work Dev,2012-04-11,0,0,SB 6229,"By resolution, reintroduced and retained in present status.",0,S Lab/Comm/CP,0,0,2012-01-16,AN ACT Relating to establishing minimum standards for sick and safe leave from employment;,0,Establishing minimum standards for sick and safe leave from employment.,Senate,644,S-3801.1,0,0,0,0,Sick and safe leave,Bill,B,(Kohl-Welles),0,0
1,0,2011-12,SB 6230,6230,,2011-12,HB 2239,Hsubst for,2012-04-11,0,0,SB 6230,"By resolution, reintroduced and retained in present status.",0,S Judiciary,0,0,2012-01-16,AN ACT Relating to social purpose corporations;,0,Establishing social purpose corporations.,Senate,15821,Z-0644.5,0,0,0,1,Social purpose corporations,Bill,B,(Frockt),0,0
1,0,2011-12,SB 6231,6231,,2011-12,HB 2337,Hsubst for,2012-04-11,0,0,SB 6231,"By resolution, reintroduced and retained in present status.",0,S EL/K-12,0,0,2012-01-16,AN ACT Relating to open educational resources in K-12 education;,0,Regarding open educational resources in K-12 education.,Senate,564,S-3731.1,0,0,0,0,Open K-12 ed resources,Bill,B,(McAuliffe),1,0
0,0,2011-12,SB 6232,6232,,2011-12,HB 2483,Hsubst for,2012-02-10,0,0,SB 6232,2nd substitute bill substituted.,0,S subst for,0,0,2012-01-16,AN ACT Relating to increasing educational attainment;,0,Creating the office of the student achievement council.,Senate,10038,Z-0930.3,0,0,1,0,Student achievement council,Bill,B,(Kilmer),1,0
0,0,2011-12,SSB 6232,6232,,,,,2012-02-10,0,0,SSB 6232,2nd substitute bill substituted.,0,S subst for,0,0,2012-02-02,AN ACT Relating to higher education coordination;,0,Regarding higher education coordination.,Senate,10038,S-4293.2,0,0,1,0,Higher ed coordination,Bill,B,(Kilmer),0,1
1,0,2011-12,E2SSB 6232,6232,,,,,2012-04-11,0,1,E2SSB 6232,"By resolution, reintroduced and retained in present status.",0,S Rules 3,0,1,2012-02-07,AN ACT Relating to higher education coordination;,0,Regarding higher education coordination.,Senate,10038,S-4596.1,0,0,1,0,Higher ed coordination,Bill,B,WM(Kilmer),1,2
1,0,2011-12,SB 6233,6233,,2011-12,HB 2211,Hsubst for,2012-04-11,0,0,SB 6233,"By resolution, reintroduced and retained in present status.",0,S HumServ/Corr,0,0,2012-01-16,"AN ACT Relating to adoptees' access to information, including original birth certificates;",0,"Regarding adoptees' access to information, including original birth certificates.",Senate,10056,S-3704.1,0,0,0,0,Adoptee information access,Bill,B,(Pridemore),1,0
1,0,2011-12,SB 6234,6234,,,,,2012-04-11,0,0,SB 6234,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-01-16,AN ACT Relating to the involuntary medication of persons committed as criminally insane;,0,Concerning the involuntary medication of persons committed as criminally insane.,Senate,1577,S-3751.1,0,0,0,0,Criminally insane/medication,Bill,B,(Honeyford),1,0
1,0,2011-12,SB 6235,6235,,,,,2012-04-11,0,0,SB 6235,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-01-16,AN ACT Relating to the licensing of escrow agents;,0,Regulating the licensing of escrow agents.,Senate,12072,S-3609.1,0,0,0,0,Escrow agent licensing,Bill,B,(Hobbs),0,0
1,0,2011-12,SSB 6235,6235,,,,,2012-04-11,0,0,SSB 6235,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-02-01,AN ACT Relating to the licensing of escrow agents;,0,Regulating the licensing of escrow agents.,Senate,12072,S-4374.1,0,0,0,0,Escrow agent licensing,Bill,B,(Hobbs),0,1
1,0,2011-12,SB 6236,6236,,2011-12,HB 2306,C 100 L 12,2012-04-11,0,0,SB 6236,"By resolution, reintroduced and retained in present status.",0,S Hea/L-T Care,0,0,2012-01-16,AN ACT Relating to authorizing the presentation of claims for payment for pathology services to direct patient-provider primary care practices;,0,Authorizing the presentation of claims for payment for pathology services to direct patient-provider primary care practices.,Senate,14083,S-3688.1,0,0,0,0,Pathology services claims,Bill,B,(Becker),0,0
0,0,2011-12,SB 6237,6237,,,,,2012-02-09,0,1,SB 6237,1st substitute bill substituted.,0,S subst for,0,0,2012-01-16,AN ACT Relating to creating a career pathway for medical assistants;,0,Creating a career pathway for medical assistants.,Senate,1950,S-3666.1,0,0,0,0,Medical assistants,Bill,B,(Keiser),1,0
1,0,2011-12,ESSB 6237,6237,,,,,2012-03-29,1,1,ESSB 6237,Effective date 6/7/2012*.,0,C 153 L 12,0,1,2012-01-25,AN ACT Relating to creating a career pathway for medical assistants;,0,Creating a career pathway for medical assistants.,Senate,1950,S-4062.2,0,0,0,0,Medical assistants,Bill,B,(Keiser),1,1
1,0,2011-12,SB 6238,6238,,2011-12,HB 2422,Hsubst for,2012-04-11,0,0,SB 6238,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-01-16,AN ACT Relating to aviation biofuels production;,0,Revising provisions concerning regulation of aviation biofuels production.,Senate,618,S-3768.1,0,0,0,0,Aviation biofuels production,Bill,B,(Brown),1,0
1,0,2011-12,SSB 6238,6238,,,,,2012-04-11,0,0,SSB 6238,"By resolution, reintroduced and retained in present status.",0,S Rules X,0,0,2012-01-31,AN ACT Relating to aviation biofuels production;,0,Revising provisions concerning regulation of aviation biofuels production.,Senate,618,S-4356.1,0,0,0,0,Aviation biofuels production,Bill,B,(Brown),0,1
0,0,2011-12,SB 6239,6239,,2011-12,HB 2516,HRules R,2012-02-01,0,0,SB 6239,1st substitute bill substituted.,0,S subst for,0,0,2012-01-16,"AN ACT Relating to providing equal protection for all families in Washington by creating equality in civil marriage and changing the domestic partnership laws, while protecting religious freedom;",1,Concerning civil marriage and domestic partnerships.,Senate,1907,Z-0950.1,0,0,1,0,Marriage & dom. partnerships,Bill,B,(Murray),1,0
1,0,2011-12,ESSB 6239,6239,,,,,2012-02-13,0,1,ESSB 6239,Effective date 6/7/2012***.,0,C 3 L 12,0,1,2012-01-26,"AN ACT Relating to providing equal protection for all families in Washington by creating equality in civil marriage and changing the domestic partnership laws, while protecting religious freedom;",0,Concerning civil marriage and domestic partnerships.,Senate,1907,S-4079.1,0,0,1,0,Marriage & dom. partnerships,Bill,B,(Murray),0,1
0,0,2011-12,SB 6240,6240,,,,,2012-02-13,0,0,SB 6240,1st substitute bill substituted.,0,S subst for,0,0,2012-01-16,AN ACT Relating to orders of disposition for juveniles;,0,Modifying provisions relating to orders of disposition for juveniles.,Senate,1595,S-3769.1,0,0,0,0,Juvenile disposition orders,Bill,B,(Regala),0,0
1,0,2011-12,SSB 6240,6240,,,,,2012-03-29,1,1,SSB 6240,Effective date 6/7/2012.,0,C 177 L 12,0,0,2012-02-03,AN ACT Relating to orders of disposition for juveniles;,0,Modifying provisions relating to orders of disposition for juveniles.,Senate,1595,S-4051.1,0,0,0,0,Juvenile disposition orders,Bill,B,(Regala),0,1
1,0,2011-12,SB 6241,6241,,2011-12,HB 2435,HHC/Wellness,2012-04-11,0,0,SB 6241,"By resolution, reintroduced and retained in present status.",0,S Ways & Means,0,0,2012-01-16,AN ACT Relating to prescription drug benefits;,0,Limiting prescription drug cost-sharing obligations and out-of-pocket expenses.,Senate,10056,S-3783.1,0,0,0,0,Prescription drug benefits,Bill,B,(Pridemore),1,0
0,0,2011-12,SB 6242,6242,,2011-12,EHB 2457,HRules 3C,2012-02-14,0,0,SB 6242,1st substitute bill substituted.,0,S subst for,0,0,2012-01-16,AN ACT Relating to specialty producer licenses;,0,Addressing specialty producer licenses.,Senate,12072,S-3703.1,0,0,0,0,Specialty producer licenses,Bill,B,(Hobbs),1,0
1,0,2011-12,SSB 6242,6242,,,,,2012-03-29,1,1,SSB 6242,Effective date 6/7/2012.,0,C 154 L 12,0,0,2012-02-02,AN ACT Relating to specialty producer licenses;,0,Addressing specialty producer licenses.,Senate,12072,S-4449.1,0,0,0,0,Specialty producer licenses,Bill,B,(Hobbs),0,1
1,0,2011-12,SB 6243,6243,,2011-12,HB 2302,Hsubst for,2012-04-11,0,0,SB 6243,"By resolution, reintroduced and retained in present status.",0,S Judiciary,0,0,2012-01-16,AN ACT Relating to being under the influence with a child in the vehicle;,0,Concerning being under the influence with a child in the vehicle.,Senate,14074,Z-0653.3,0,1,0,0,Being under the influence,Bill,B,(Ranker),0,0
1,0,2011-12,SB 6244,6244,,2011-12,HB 2747,Hsubst for,2012-04-11,0,0,SB 6244,"By resolution, reintroduced and retained in present status.",0,S Ways & Means,0,0,2012-01-16,AN ACT Relating to modifying the use of funds in the fire service training account;,0,Modifying the use of funds in the fire service training account.,Senate,174,Z-0701.1,0,1,0,0,Fire service training acct,Bill,B,(Haugen),0,0
1,0,2011-12,SB 6245,6245,,2011-12,HB 2749,HTrans,2012-04-11,0,0,SB 6245,"By resolution, reintroduced and retained in present status.",0,S Transportation,0,0,2012-01-16,AN ACT Relating to unlawful ferry conduct;,0,Concerning unlawful ferry conduct.,Senate,14074,Z-0700.1,0,1,0,0,Unlawful ferry conduct,Bill,B,(Ranker),0,0
1,0,2011-12,SB 6246,6246,,2011-12,HB 2506,HEducation,2012-04-11,0,0,SB 6246,"By resolution, reintroduced and retained in present status.",0,S EL/K-12,0,0,2012-01-16,AN ACT Relating to strengthening categorical school programs based on the recommendations of the quality education council;,0,Strengthening categorical school programs based on the recommendations of the quality education council.,Senate,564,S-3812.1,0,0,0,0,Categorical school programs,Bill,B,(McAuliffe),1,0
