Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,1999-00,HB 1000,1000,,1999-00,SB 5747,SHea/L-T Care,2000-04-27,0,0,HB 1000,Made eligible to be placed on second reading.,0,H Rules C,0,0,1999-01-11,,0,Providing that communications between certified counselors and their clients are privileged.,House,1907,,0,0,0,0,Counselors/privileged commun,Bill,B,(Murray),1,0
1,0,1999-00,HB 1001,1001,,1999-00,SB 5025,SSt&Loc Govt,2000-04-27,0,0,HB 1001,Rules suspended.  Placed on Third Reading.,0,H 3rd Reading,0,0,1999-01-11,,0,Changing ethics in public service provisions.,House,2145,,0,0,0,0,Ethics in public service,Bill,B,(Constantine),0,0
1,0,1999-00,HB 1002,1002,,,,,2000-01-10,0,0,HB 1002,"By resolution, reintroduced and retained in present status.",0,H Natural Res,0,0,1999-01-11,,0,Removing the authority to allow auctions and raffles for big game and wild turkey hunts.,House,173,,0,0,0,0,Fish-wildlife auctions/raffl,Bill,B,(Hatfield),0,0
1,0,1999-00,HB 1003,1003,,,,,2000-01-10,0,0,HB 1003,"By resolution, reintroduced and retained in present status.",0,H Natural Res,0,0,1999-01-11,,0,Proposing a study of aspects of the natural area preserves program under chapter 79.70 RCW.,House,173,,0,0,0,0,Natural area preserves prgrm,Bill,B,(Hatfield),0,0
0,0,1999-00,HB 1004,1004,,,,,1999-05-17,0,0,HB 1004,1st substitute bill substituted.,0,H subst for,0,0,1999-01-11,,0,Requiring transient sex offenders to report regularly to the county sheriff.,House,617,,0,0,0,0,Transient sex offenders,Bill,B,(Ballasiotes),0,0
1,0,1999-00,ESHB 1004,1004,,,,,1999-06-07,1,0,ESHB 1004,Effective date 6/7/1999.,0,C 6 L 99 E1,0,1,1999-03-03,,0,Requiring transient sex offenders to report regularly to the county sheriff.,House,617,,0,0,0,0,Transient sex offenders,Bill,B,WAYS(Ballasiotes),0,1
1,0,1999-00,HB 1005,1005,,,,,2000-01-10,0,0,HB 1005,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,1999-01-11,,0,Allowing extension of a driver's license expiring while out of state.,House,617,,0,0,0,0,Driver's license expiration,Bill,B,(Ballasiotes),1,0
0,1,1999-00,HB 1006,1006,,,,,1999-03-11,0,0,HB 1006,2nd substitute bill substituted.,0,H subst for,0,0,1999-01-11,,1,Revising sentencing options for drug and alcohol offenders.,House,617,,0,0,0,0,Drug/alcohol crime sentencng,Bill,B,(Ballasiotes),1,0
0,1,1999-00,SHB 1006,1006,,,,,1999-03-11,0,0,SHB 1006,2nd substitute bill substituted.,0,H subst for,0,0,1999-02-17,,0,Revising sentencing options for drug and alcohol offenders.,House,617,,0,0,0,0,Drug/alcohol crime sentencng,Bill,B,(Ballasiotes),0,1
1,0,1999-00,E2SHB 1006,1006,,,,,1999-05-07,1,0,E2SHB 1006,Effective date 7/25/1999.,1,C 197 L 99,0,1,1999-03-03,,1,Revising sentencing options for drug and alcohol offenders.,House,617,,0,0,0,0,Drug/alcohol crime sentencng,Bill,B,WAYS(Ballasiotes),1,2
