Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,1991-92,SI 119,119,,,,,1991-01-21,0,0,SI 119,"First reading, referred to Health & Long-Term Care.",0,S Hea/L-T Care,0,0,1991-01-21,,0,Amending the natural death act.,Senate,5592,,0,0,0,0,Death with dignity,Initiative,I,(People of the State of Washington),0,0
1,0,1991-92,HI 119,119,,,,,1991-01-18,0,0,HI 119,"First reading, referred to Health Care.",0,H Health Care,0,0,1991-01-18,,0,Amending the natural death act.,House,5592,,0,0,0,0,Death with dignity,Initiative,I,(People of the State of Washington),0,0
1,0,1991-92,SI 120,120,,,,,1992-01-27,0,0,SI 120,"Chapter 1, 1992 Laws",0,C 1 L 92,0,0,1991-01-21,,0,Providing for reproductive privacy.,Senate,5592,,0,0,0,0,Reproductive privacy,Initiative,I,(People of the State of Washington),0,0
1,0,1991-92,HI 120,120,,,,,1992-01-27,0,0,HI 120,"Chapter 1, 1992 Laws",0,C 1 L 92,0,0,1991-01-18,,0,Providing for reproductive privacy.,House,5592,,0,0,0,0,Reproductive privacy,Initiative,I,(People of the State of Washington),0,0
1,0,1991-92,HI 134,134,,,,,1992-01-15,0,0,HI 134,"First reading, referred to State Government.",0,H State Govt,0,0,1992-01-15,,0,Regulation of political contributions and campaign expenditures.,House,5592,,0,0,0,0,Fair campaign practices act,Initiative,I,(People of the State of Washington),1,0
0,0,1991-92,HB 1001,1001,,,,,1991-02-22,0,0,HB 1001,1st substitute bill substituted.,0,H subst for,0,0,1991-01-14,,0,Requiring the top two vote getters in nonpartisan elections to appear on the general election ballot.,House,251,,0,0,0,0,Nonpartisans/gnrl elections,Bill,B,(Locke),1,0
1,0,1991-92,SHB 1001,1001,,,,,1992-01-13,0,0,SHB 1001,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,1991-01-30,,0,Requiring the top two vote getters in nonpartisan elections to appear on the general election ballot.,House,251,,0,0,0,0,Nonpartisans/gnrl elections,Bill,B,(Locke),1,1
1,0,1991-92,HB 1002,1002,,,,,1992-01-13,0,0,HB 1002,"By resolution, reintroduced and retained in present status.",0,H Revenue,0,0,1991-01-14,,0,Providing property tax relief for persons receiving home health care.,House,251,,0,0,0,0,Home health care tax relief,Bill,B,(Locke),1,0
0,0,1991-92,HB 1003,1003,,,,,1991-03-08,0,0,HB 1003,1st substitute bill substituted.,0,H subst for,0,0,1991-01-14,,0,Requiring pharmacists to provide information on prescription drugs.,House,311,,0,0,0,0,Prescription drug informatn,Bill,B,(O'Brien),1,0
1,0,1991-92,SHB 1003,1003,,,,,1992-03-12,0,0,SHB 1003,"By resolution, returned to House Rules committee for third reading.",0,H Rules 3C,0,0,1991-02-20,,0,Requiring practitioners to provide information on prescription drugs.,House,311,,0,0,0,0,Prescription drug informatn,Bill,B,(O'Brien),1,1
1,0,1991-92,HB 1004,1004,,,,,1992-01-13,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,H Revenue,0,0,1991-01-14,,0,Modifying property tax relief.,House,311,,0,0,0,0,Property tax relief/seniors,Bill,B,(O'Brien),1,0
1,0,1991-92,HB 1005,1005,,,,,1992-01-13,0,0,HB 1005,"By resolution, reintroduced and retained in present status.",0,H Human Serv,0,0,1991-01-14,,0,Specifying admission and release procedures for minors.,House,311,,0,0,0,0,Treatment of minors,Bill,B,(O'Brien),1,0
1,0,1991-92,HB 1006,1006,,,,,1992-01-13,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,H Cap Fac/Fin,0,0,1991-01-14,,0,Providing funding for the Georgetown steam plant.,House,311,,0,0,0,0,Georgetown steamplant museum,Bill,B,(O'Brien),0,0
1,1,1991-92,HB 1007,1007,,,,,1992-01-13,0,0,HB 1007,"By resolution, reintroduced and retained in present status.",0,H Human Serv,0,0,1991-01-14,,0,Providing for children in need of treatment.,House,311,,0,0,0,0,Child alcohol/drug abuse,Bill,B,(O'Brien),1,0
0,0,1991-92,HB 1008,1008,,,,,1991-03-19,0,0,HB 1008,1st substitute bill substituted.,0,H subst for,0,0,1991-01-14,,0,Establishing requirements for labels for over-the-counter medications.,House,311,,0,0,0,0,Over-the-counter meds labels,Bill,B,(O'Brien),1,0
1,0,1991-92,SHB 1008,1008,,,,,1991-05-03,0,0,SHB 1008,"Chapter 68, 1991 Laws",0,C 68 L 91,0,0,1991-02-20,,0,Evaluating labels for over-the-counter medications.,House,311,,0,0,0,0,Over-the-counter meds labels,Bill,B,(O'Brien),1,1
1,0,1991-92,HB 1009,1009,,,,,1992-01-13,0,0,HB 1009,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,1991-01-14,,1,Authorizing community councils for unincorporated areas.,House,174,,0,0,0,0,Community councils,Bill,B,(Haugen),0,0
1,0,1991-92,HB 1010,1010,,,,,1992-01-13,0,0,HB 1010,Referred to Fisheries & Wildlife.,0,H Fish/Wild,0,0,1991-01-14,,0,Creating an office of natural resource enforcement.,House,174,,0,0,0,0,Ntrl res enforcement office,Bill,B,(Haugen),1,0
1,0,1991-92,SHB 1010,1010,,,,,1992-01-13,0,0,SHB 1010,Referred to Fisheries & Wildlife.,0,H Fish/Wild,0,0,1991-01-31,,0,Creating an office of natural resource enforcement.,House,174,,0,0,0,0,Ntrl res enforcement office,Bill,B,(Haugen),1,1
1,0,1991-92,HB 1011,1011,,,,,1992-01-13,0,0,HB 1011,"By resolution, reintroduced and retained in present status.",0,H Fish/Wild,0,0,1991-01-14,,0,Creating the marine fish enhancement research program.,House,174,,0,0,0,0,Marine fish enhncmnt program,Bill,B,(Haugen),1,0
0,0,1991-92,HB 1012,1012,,,,,1991-03-20,0,0,HB 1012,1st substitute bill substituted.,0,H subst for,0,0,1991-01-14,,0,Providing a mechanism to recover lost fishing nets.,House,174,,0,0,0,0,Fishing nets recovery,Bill,B,(Haugen),1,0
1,1,1991-92,ESHB 1012,1012,,,,,1992-01-13,0,0,ESHB 1012,Referred to Fisheries & Wildlife.,0,H Fish/Wild,0,1,1991-02-05,,0,Providing a mechanism to recover lost fishing nets.,House,174,,0,0,0,0,Fishing nets recovery,Bill,B,(Haugen),1,1
1,0,1991-92,HB 1013,1013,,,,,1991-05-21,1,0,HB 1013,"Chapter 360, 1991 Laws PV",1,C 360 L 91,0,0,1991-01-14,,0,Changing provisions relating to newly incorporated cities and towns.,House,484,,0,0,0,0,Newly incorporated cities,Bill,B,(Zellinsky),0,0
1,0,1991-92,HB 1014,1014,,,,,1992-01-13,0,0,HB 1014,"By resolution, reintroduced and retained in present status.",0,H Local Govt,0,0,1991-01-14,,0,Providing an optional procedure for local improvement districts.,House,363,,0,0,0,0,LIDs/optional procedure,Bill,B,(Roland),0,0
0,0,1991-92,HB 1015,1015,,,,,1991-03-14,0,0,HB 1015,Committee recommendations adopted and the 1st substitute bill substituted.,0,H subst for,0,0,1991-01-14,,1,Creating a procedure for local government service agreements.,House,174,,0,0,0,0,Local govt service agreemnts,Bill,B,(Haugen),1,0
1,0,1991-92,SHB 1015,1015,,,,,1992-03-12,0,0,SHB 1015,"By resolution, returned to House Rules committee for third reading.",0,H Rules 3C,0,0,1991-03-04,,0,Creating a procedure for local government service agreements.,House,174,,0,0,0,0,Local govt service agreemnts,Bill,B,(Haugen),0,1
0,0,1991-92,HB 1016,1016,,,,,1991-02-18,0,0,HB 1016,1st substitute bill substituted.,0,H subst for,0,0,1991-01-14,,0,Changing eligibility requirements for concealed weapon permits.,House,234,,0,0,0,0,Concealed weapons permits,Bill,B,(Kremen),0,0
1,0,1991-92,SHB 1016,1016,,,,,1992-01-13,0,0,SHB 1016,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,1991-02-08,,0,Changing eligibility requirements for concealed weapon permits.,House,234,,0,0,0,0,Concealed weapons permits,Bill,B,(Kremen),0,1
1,0,1991-92,HB 1017,1017,,,,,1992-01-13,0,0,HB 1017,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,1991-01-14,,1,Establishing a citizens' review process for altering local governments.,House,132,,0,0,0,0,Citizens' review/lcl govmnts,Bill,B,(Ferguson),1,0
1,0,1991-92,HB 1018,1018,,,,,1992-01-13,0,0,HB 1018,"By resolution, reintroduced and retained in present status.",0,H Education,0,0,1991-01-15,,0,Authorizing additional transitional schools for highly capable students.,House,54,,0,0,0,0,Transition schools authorizd,Bill,B,(Brough),1,0
0,0,1991-92,HB 1019,1019,,,,,1991-03-06,0,0,HB 1019,1st substitute bill substituted.,0,H subst for,0,0,1991-01-15,,0,Allowing fees for efforts to prevent aquifer depletion.,House,54,,0,0,0,0,Aquifer depletion fees,Bill,B,(Brough),0,0
1,0,1991-92,SHB 1019,1019,,,,,1991-05-10,1,0,SHB 1019,"Chapter 151, 1991 Laws",0,C 151 L 91,0,0,1991-02-13,,0,Allowing fees for efforts to prevent aquifer depletion.,House,54,,0,0,0,0,Aquifer depletion fees,Bill,B,(Brough),0,1
1,0,1991-92,HB 1020,1020,,,,,1992-01-13,0,0,HB 1020,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1991-01-15,,0,Defining substitute teacher.,House,54,,0,0,0,0,Substitute teacher defined,Bill,B,(Brough),0,0
1,1,1991-92,HB 1021,1021,,,,,1992-01-13,0,0,HB 1021,"By resolution, reintroduced and retained in present status.",0,H Env. Affairs,0,0,1991-01-16,,0,Requiring parks and port districts to recycle.,House,442,,0,0,0,0,Recycling/parks/port dists,Bill,B,(Valle),0,0
0,0,1991-92,HB 1022,1022,,1991-92,SB 5245,Ssubst for,1991-03-20,0,0,HB 1022,1st substitute bill substituted.,0,H subst for,0,0,1991-01-16,,0,Directing the development of a state energy strategy and authorizing the implementation of conservation savings and sales by state agencies.,House,93,,0,0,1,0,State energy policy devlpmnt,Bill,B,(Cooper),0,0
