Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2015-16,HI 732,732,,,,,2016-01-22,0,0,HI 732,"First reading, referred to Finance (Not Officially read and referred until adoption of Introduction report).",0,H Finance,0,0,2016-01-22,,0,"Creating a carbon pollution tax on fossil fuels to fund a reduction in the state sales tax, a reduction in the business and occupation tax on manufacturing, and the implementation/enhancement of the working families' sales tax exemption.",House,5592,I-2986.1,0,0,0,0,Carbon pollution tax,Initiative,I,(People of the State of Washington),1,0
1,0,2015-16,SI 732,732,,,,,2016-01-22,0,0,SI 732,"First reading, referred to Energy, Environment & Telecommunications.",0,"S Energy, Enviro",0,0,2016-01-22,,0,"Creating a carbon pollution tax on fossil fuels to fund a reduction in the state sales tax, a reduction in the business and occupation tax on manufacturing, and the implementation/enhancement of the working families' sales tax exemption.",Senate,5592,I-2986.1,0,0,0,0,Carbon pollution tax,Initiative,I,(People of the State of Washington),1,0
1,0,2015-16,HI 735,735,,,,,2016-02-05,0,0,HI 735,Referred to Rules 2 Review.,0,H Rules R,0,0,2016-01-27,,0,Objecting to the influence of corporations and money in our political system.,House,5592,I-3155.1,0,0,0,0,Corporate & money influence,Initiative,I,(People of the State of Washington),0,0
1,0,2015-16,SI 735,735,,,,,2016-01-27,0,0,SI 735,"First reading, referred to Government Operations & Security.",0,S GovtOp&Sec,0,0,2016-01-27,,0,Objecting to the influence of corporations and money in our political system.,Senate,5592,I-3155.1,0,0,0,0,Corporate & money influence,Initiative,I,(People of the State of Washington),0,0
1,0,2015-16,HB 1000,1000,,,,,2016-03-10,0,0,HB 1000,"By resolution, reintroduced and retained in present status.",0,H Gen Govt & Info,0,0,2015-01-12,AN ACT Relating to water rights appurtenant to land managed by the department of fish and wildlife;,0,Concerning water rights appurtenant to land managed by the department of fish and wildlife.,House,8317,H-0112.1,0,0,0,0,"DFW land, water rights",Bill,B,(Blake),1,0
1,0,2015-16,SHB 1000,1000,,,,,2016-03-10,0,0,SHB 1000,"By resolution, reintroduced and retained in present status.",0,H Gen Govt & Inf,0,0,2015-02-10,AN ACT Relating to water rights appurtenant to land managed by the department of fish and wildlife;,0,Concerning water rights appurtenant to land managed by the department of fish and wildlife.,House,8317,H-1035.5,0,0,0,0,"DFW land, water rights",Bill,B,(Blake),1,1
1,0,2015-16,HB 1001,1001,,,,,2016-03-10,0,0,HB 1001,"By resolution, reintroduced and retained in present status.",0,H Approps,0,0,2015-01-12,AN ACT Relating to funding education first;,0,Funding education first.,House,17221,H-0110.1,0,0,0,0,Funding education first,Bill,B,(MacEwen),0,0
0,0,2015-16,HB 1002,1002,,,,,2015-03-02,0,0,HB 1002,1st substitute bill substituted.,0,H subst for,0,0,2015-01-12,AN ACT Relating to prohibiting unfair and deceptive dental insurance practices;,0,Prohibiting unfair and deceptive dental insurance practices.,House,2143,H-0266.2,0,0,0,0,Dental insurance practices,Bill,B,(DeBolt),1,0
1,0,2015-16,SHB 1002,1002,,,,,2015-04-17,0,0,SHB 1002,Effective date 1/1/2017.,0,C 9 L 15,0,0,2015-02-13,AN ACT Relating to prohibiting unfair and deceptive dental insurance practices;,0,Prohibiting unfair and deceptive dental insurance practices.,House,2143,H-1408.2,0,0,0,0,Dental insurance practices,Bill,B,(DeBolt),0,1
1,0,2015-16,EHB 1003,1003,,,,,2016-03-29,1,1,EHB 1003,Effective date 6/9/2016.,0,C 37 L 16,0,1,2015-01-12,AN ACT Relating to the development of a model policy on natural disaster school infrastructure recovery by the Washington state school directors' association;,0,Concerning the development of a model policy on natural disaster school infrastructure recovery.,House,2006,H-0163.1,0,0,0,0,"Schools, disaster recovery",Bill,B,(Hawkins),1,0
1,0,2015-16,HB 1004,1004,,2015-16,SB 5001,SRules X,2015-04-23,0,0,HB 1004,Effective date 7/24/2015.,0,C 59 L 15,0,0,2015-01-12,AN ACT Relating to alcohol tasting by students under twenty-one years of age;,0,Clarifying provisions that allow for the tasting of alcohol by students under twenty-one years of age.,House,10039,H-0144.1,0,0,0,0,Alcohol tasting by students,Bill,B,(Springer),1,0
1,0,2015-16,HB 1005,1005,,2015-16,SB 5011,C 289 L 15,2016-03-10,0,1,HB 1005,"By resolution, reintroduced and retained in present status.",0,H HC/Wellness,0,0,2015-01-12,AN ACT Relating to third-party payor release of health care information;,0,Addressing third-party payor release of health care information.,House,1543,H-0280.1,0,0,0,0,Health care info release,Bill,B,(Cody),0,0
1,0,2015-16,HB 1006,1006,,2015-16,SB 5568,SCommerce and L,2016-03-10,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,H Rules C,0,0,2015-01-12,AN ACT Relating to damages for wage violations;,0,Providing damages for wage violations.,House,17224,H-0358.1,0,0,0,0,"Wage violations, damages for",Bill,B,(Sawyer),0,0
1,0,2015-16,SHB 1006,1006,,,,,2016-03-10,0,1,SHB 1006,"By resolution, reintroduced and retained in present status.",0,H Rules C,0,0,2015-02-03,AN ACT Relating to damages for wage violations;,0,Providing damages for wage violations.,House,17224,H-1468.1,0,0,0,0,"Wage violations, damages for",Bill,B,(Sawyer),0,1
1,0,2015-16,HB 1007,1007,,2015-16,SB 5336,SRules X,2016-03-10,0,1,HB 1007,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,2015-01-12,"AN ACT Relating to limiting the use of automated traffic safety cameras to detect speed violations not in school zones to certain cities authorized by the Washington state legislature as a pilot project for at least one full year prior to January 1, 2015;",1,Limiting the use of automated traffic safety cameras to detect speed violations not in school zones to certain cities.,House,17241,H-0348.1,0,0,0,0,Traffic safety cameras,Bill,B,(Fey),0,0
1,0,2015-16,HB 1008,1008,,,,,2016-03-10,0,0,HB 1008,"By resolution, reintroduced and retained in present status.",0,H Gen Govt & Info,0,0,2015-01-12,AN ACT Relating to authorizing the state auditor to conduct audits of state government and local agencies' data storage and management practices thereby protecting privacy and securing personal information from computer hacking or misuse of data;,0,Authorizing the state auditor to conduct audits of state government and local agencies' data storage and management practices thereby protecting privacy and securing personal information from computer hacking or misuse of data.,House,13577,H-0304.2,0,0,0,0,Agency data practices audits,Bill,B,(Smith),1,0
1,0,2015-16,SHB 1008,1008,,,,,2016-03-10,0,0,SHB 1008,"By resolution, reintroduced and retained in present status.",0,H Gen Govt & Info,0,0,2015-02-13,AN ACT Relating to authorizing the state auditor to conduct audits of state government and local agencies' data storage and management practices thereby protecting privacy and securing personal information from computer hacking or misuse of data;,0,Authorizing the state auditor to conduct audits of state government and local agencies' data storage and management practices thereby protecting privacy and securing personal information from computer hacking or misuse of data.,House,13577,H-1686.3,0,0,0,0,Agency data practices audits,Bill,B,(Smith),0,1
1,0,2015-16,HB 1009,1009,,2015-16,SB 5000,SRules X,2016-03-10,0,0,HB 1009,"By resolution, reintroduced and retained in present status.",0,H Rules C,0,0,2015-01-12,AN ACT Relating to allowing rural counties providing emergency medical services to locations with a rural amphitheater to impose an additional admissions surcharge;,1,Allowing rural counties providing emergency medical services to locations with a rural amphitheater to impose an additional admissions surcharge.,House,17213,H-0127.1,0,0,0,0,Rural amphitheater surcharge,Bill,B,(Manweller),1,0
