Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,1997-98,HI 200,200,,,,,1998-01-12,0,0,HI 200,"First reading, referred to Law & Justice.",0,H Law & Just,0,0,1998-01-12,,0,,House,5592,,0,0,0,0,Eliminating preferences,Initiative,I,(People of the State of Washington),0,0
1,0,1997-98,HB 1000,1000,,,,,1998-01-12,0,0,HB 1000,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,1997-01-13,,0,Reducing the state property tax levy by 5 %.,House,660,,0,0,0,0,State property tax reduction,Bill,B,"(Thomas, B.)",1,0
1,0,1997-98,HB 1001,1001,,,,,1998-01-30,0,0,HB 1001,"House Rules ""X"" file.",0,H Rules X,0,0,1997-01-13,,1,Revising the rate of interest on certain tort judgments.,House,1370,,0,0,0,0,Tort judgment interest rate,Bill,B,"(Thomas, L.)",1,0
1,0,1997-98,HB 1002,1002,,,,,1997-04-21,0,0,HB 1002,Effective date 7/27/1997.,0,C 92 L 97,0,0,1997-01-13,,0,Clarifying submission of insurance antifraud plans.,House,1370,,0,0,0,0,Insurance antifraud plans,Bill,B,"(Thomas, L.)",0,0
0,0,1997-98,HB 1003,1003,,1997-98,SB 5023,SGovt Oper,1997-02-03,0,0,HB 1003,1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,"Redefining ""special assessment"" for the purposes of tax deferrals for senior citizens and disabled persons.",House,1591,,0,0,0,0,Sr/disabled property tax def,Bill,B,(Pennington),1,0
1,0,1997-98,SHB 1003,1003,,,,,1997-04-21,0,0,SHB 1003,Effective date 4/21/1997.,0,C 93 L 97,0,0,1997-01-16,,0,"Defining ""local government"" and ""special assessment"" for the purposes of tax deferrals for senior citizens and disabled persons.",House,1591,,0,0,0,0,Sr/disabled property tax def,Bill,B,(Pennington),1,1
1,0,1997-98,HB 1004,1004,,,,,1998-01-12,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,H Gov Admin,0,0,1997-01-13,,0,Regulating independent political advertising.,House,620,,0,0,0,0,Independnt political ads,Bill,B,(Carlson),0,0
0,0,1997-98,HB 1005,1005,,,,,1997-03-13,0,0,HB 1005,1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Creating the border county higher education opportunity pilot project.,House,620,,0,0,0,0,Border county higher ed proj,Bill,B,(Carlson),1,0
1,0,1997-98,SHB 1005,1005,,,,,1998-01-15,0,0,SHB 1005,Referred to Appropriations.,0,H Approp,0,0,1997-02-07,,0,Creating the border county higher education opportunity pilot project.,House,620,,0,0,0,0,Border county higher ed proj,Bill,B,(Carlson),1,1
1,0,1997-98,HB 1006,1006,,,,,1998-01-12,0,0,HB 1006,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1997-01-13,,0,Expanding incumbent's authority to send individual letters.,House,620,,0,0,0,0,Incumbent mailings,Bill,B,(Carlson),0,0
1,0,1997-98,SHB 1006,1006,,,,,1998-01-12,0,0,SHB 1006,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1997-02-07,,0,Revising restrictions on legislators' newsletters.,House,620,,0,0,0,0,Incumbent mailings,Bill,B,(Carlson),0,1
0,0,1997-98,HB 1007,1007,,1997-98,SB 5010,Ssubst for,1997-02-03,0,0,HB 1007,1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Expanding the duties of the director of the Washington state pollution liability insurance agency.,House,1370,,0,0,0,1,Pollution liability insuranc,Bill,B,"(Thomas, L.)",0,0
1,0,1997-98,SHB 1007,1007,,,,,1997-04-15,0,0,SHB 1007,Effective date 7/27/1997.,0,C 8 L 97,0,0,1997-01-27,,0,Expanding the duties of the director of the Washington state pollution liability insurance agency.,House,1370,,0,0,0,1,Pollution liability insuranc,Bill,B,"(Thomas, L.)",0,1
0,0,1997-98,HB 1008,1008,,,,,1997-02-12,0,0,HB 1008,1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Standardizing issuance of license plates.,House,1580,,0,0,0,0,License plate issuance,Bill,B,(Robertson),0,0
1,0,1997-98,SHB 1008,1008,,,,,1997-05-09,1,0,SHB 1008,Effective date 7/27/1997.,0,C 291 L 97,0,0,1997-01-29,,0,Standardizing issuance of license plates.,House,1580,,0,0,0,0,License plate issuance,Bill,B,(Robertson),1,1
1,0,1997-98,HB 1009,1009,,,,,1998-01-30,0,0,HB 1009,"House Rules ""X"" file.",0,H Rules X,0,0,1997-01-13,,0,Crediting the liability account with interest earnings.,House,1369,,0,0,0,0,Liability account interest,Bill,B,(Backlund),0,0
0,0,1997-98,HB 1010,1010,,,,,1997-03-07,0,0,HB 1010,1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Establishing procedures for federal transportation pass-through moneys.,House,286,,0,0,0,0,Federal transportatn moneys,Bill,B,(Mitchell),1,0
1,0,1997-98,SHB 1010,1010,,,,,1997-04-21,0,0,SHB 1010,Effective date 7/1/1997.,0,C 94 L 97,0,0,1997-01-16,,0,Establishing procedures for federal transportation pass-through moneys.,House,286,,0,0,0,0,Federal transportatn moneys,Bill,B,(Mitchell),1,1
0,0,1997-98,HB 1011,1011,,,,,1997-02-21,0,0,HB 1011,1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Exempting state and county ferry fuel sales and use tax.,House,376,,0,0,0,0,Ferry fuel sales and use tax,Bill,B,"(Schmidt, K.)",0,0
1,0,1997-98,ESHB 1011,1011,,,,,1997-05-09,0,0,ESHB 1011,Governor vetoed.,0,Gov vetoed,1,1,1997-02-04,,1,Exempting state and county ferry fuel sales and use tax.,House,376,,0,0,0,0,Ferry fuel sales and use tax,Bill,B,"(Schmidt, K.)",1,1
1,0,1997-98,HB 1012,1012,,,,,1998-03-12,0,0,HB 1012,Returned to House Rules 3.,0,H Rules 3C,0,0,1997-01-13,,0,Authorizing highway bonds.,House,1572,,0,0,0,0,Highway bonds,Bill,B,(Cairnes),1,0
1,0,1997-98,HB 1013,1013,,1997-98,SB 5177,Ssubst for,1998-01-15,0,0,HB 1013,Referred to Transportation Policy & Budget.,0,H Tr Pol & Bud,0,0,1997-01-13,,0,Facilitating smoother flow of traffic.,House,376,,0,0,0,0,Heavy vehicle lane travel,Bill,B,"(Schmidt, K.)",0,0
1,0,1997-98,HB 1014,1014,,,,,1998-01-12,0,0,HB 1014,"By resolution, reintroduced and retained in present status.",0,H Tr Pol & Bud,0,0,1997-01-13,,0,Depositing certain sales or use tax revenue into the transportation fund.,House,1585,,0,0,0,0,Transportation fund deposits,Bill,B,(Buck),1,0
1,0,1997-98,HB 1015,1015,,,,,1998-01-12,0,0,HB 1015,"By resolution, reintroduced and retained in present status.",0,H Tr Pol & Bud,0,0,1997-01-13,,0,Paying for services provided to general aviation by sales and use tax exemptions and increasing the aircraft fuel tax rate.,House,75,,0,0,0,0,General aviation funding,Bill,B,(Chandler),0,0
0,0,1997-98,HB 1016,1016,,1997-98,SB 5174,SRules X,1997-02-03,0,0,HB 1016,1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Transferring property to Washington State University Lind dryland research unit.,House,652,,0,0,0,1,Lind property transfr to WSU,Bill,B,(Schoesler),1,0
1,0,1997-98,SHB 1016,1016,,,,,1997-04-16,0,0,SHB 1016,Effective date 7/27/1997.,0,C 45 L 97,0,0,1997-01-24,,0,Transferring property to Washington State University Lind dryland research unit.,House,652,,0,0,0,1,Lind property transfr to WSU,Bill,B,(Schoesler),0,1
0,0,1997-98,HB 1017,1017,,1997-98,SB 5004,SNatRes/Parks,1997-02-28,0,0,HB 1017,1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Exchanging state-owned aquatic lands with privately owned lands.,House,653,,0,0,0,0,Aquatic lands exchanges,Bill,B,(Sehlin),1,0
1,0,1997-98,ESHB 1017,1017,,,,,1997-04-25,0,0,ESHB 1017,Effective date 4/25/1997.,0,C 209 L 97,0,1,1997-02-11,,0,Exchanging state-owned aquatic lands with privately owned lands.,House,653,,0,0,0,0,Aquatic lands exchanges,Bill,B,(Sehlin),0,1
1,0,1997-98,HB 1018,1018,,,,,1998-01-12,0,0,HB 1018,"By resolution, reintroduced and retained in present status.",0,H Natural Res,0,0,1997-01-13,,0,Requiring the department of natural resources to file information with county auditors concerning reforestation obligations.,House,1577,,0,0,0,0,Reforestation obligations,Bill,B,(Honeyford),1,0
1,1,1997-98,HB 1019,1019,,,,,1997-05-09,1,0,HB 1019,Effective date 5/9/1997.,1,C 292 L 97,0,0,1997-01-13,,0,Implementing the public works board's recommendations for project loans.,House,1577,,0,0,0,1,Public works project loans,Bill,B,(Honeyford),0,0
1,0,1997-98,HB 1020,1020,,,,,1998-01-12,0,0,HB 1020,"By resolution, reintroduced and retained in present status.",0,H Child & Fam,0,0,1997-01-13,,0,Creating the office of the inspector general within the department of social and health services.,House,1584,,0,0,0,0,DSHS inspector general offic,Bill,B,(Boldt),1,0
1,0,1997-98,HB 1021,1021,,,,,1998-01-12,0,0,HB 1021,"By resolution, reintroduced and retained in present status.",0,H Child & Fam,0,0,1997-01-13,,0,Suspending public assistance payments to persons providing false or misleading statements.,House,1584,,0,0,0,0,Public assistance suspension,Bill,B,(Boldt),1,0
0,0,1997-98,HB 1022,1022,,,,,1997-01-24,0,0,HB 1022,1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Prohibiting the department of natural resources from entering into certain agreements with the federal government without prior legislative and gubernatorial approval.,House,1585,,0,0,0,0,DNR agreements with fed govn,Bill,B,(Buck),0,0
1,0,1997-98,SHB 1022,1022,,,,,1997-05-19,1,0,SHB 1022,Governor vetoed.,0,Gov vetoed,1,0,1997-01-21,,0,Prohibiting the department of natural resources from entering into certain agreements with the federal government without prior legislative and gubernatorial approval.,House,1585,,0,0,0,0,DNR agreements with fed govn,Bill,B,(Buck),0,1
1,0,1997-98,HB 1023,1023,,,,,1997-04-21,0,0,HB 1023,Effective date 7/27/1997.,0,C 95 L 97,0,0,1997-01-13,,0,Clarifying qualifications for commuter ride sharing.,House,1585,,0,0,0,0,Commuter ride sharing,Bill,B,(Buck),0,0
0,0,1997-98,HB 1024,1024,,,,,1997-02-21,0,0,HB 1024,1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Shortening the notice time given by nursing homes to the department of health to convert beds back to nursing home beds.,House,631,,0,0,0,0,Nursing home bed conversions,Bill,B,(Dyer),0,0
1,0,1997-98,SHB 1024,1024,,,,,1997-04-25,0,0,SHB 1024,Effective date 7/27/1997.,0,C 210 L 97,0,0,1997-01-31,,0,Shortening the notice time given by nursing homes to the department of health to convert beds back to nursing home beds.,House,631,,0,0,0,0,Nursing home bed conversions,Bill,B,(Dyer),0,1
1,0,1997-98,HB 1025,1025,,,,,1998-01-12,0,0,HB 1025,"By resolution, reintroduced and retained in present status.",0,H Fin Inst/Ins,0,0,1997-01-13,,0,Encouraging the state investment board to limit any investments in businesses in Northern Ireland to businesses operating in accordance with the MacBride principles.,House,2149,,0,0,0,0,Northern Ireland investments,Bill,B,(O'Brien),1,0
1,0,1997-98,HB 1026,1026,,1997-98,SB 5076,SAgri/Envir,1998-01-12,0,0,HB 1026,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,1997-01-13,,0,Revising business and occupation tax on the cubing of hay or alfalfa for sale at wholesale.,House,652,,0,0,0,0,Hay or alfalfa B&O tax,Bill,B,(Schoesler),1,0
1,0,1997-98,SHB 1026,1026,,,,,1998-01-12,0,0,SHB 1026,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,1997-01-27,,0,Revising business and occupation tax on the cubing of hay or alfalfa for sale at wholesale.,House,652,,0,0,0,0,Hay or alfalfa B&O tax,Bill,B,(Schoesler),1,1
1,0,1997-98,2EHB 1027,1027,,,,,1998-03-12,0,0,2EHB 1027,"By resolution, returned to House Rules Committee for third reading.",0,H Rules 3C,0,2,1997-01-13,,0,Restricting mailings and public service broadcasts by state officials.,House,652,,0,0,0,0,State official mailng/broadc,Bill,B,(Schoesler),1,0
1,0,1997-98,HB 1028,1028,,,,,1998-01-30,0,0,HB 1028,"House Rules ""X"" file.",0,H Rules X,0,0,1997-01-13,,1,Exempting granges from property taxation.,House,654,,0,0,0,0,Granges/property tax exemptn,Bill,B,(Sheahan),1,0
1,0,1997-98,HB 1029,1029,,,,,1998-01-12,0,0,HB 1029,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,1997-01-13,,0,Modifying tax exemptions for nonprofit organizations.,House,652,,0,0,0,0,Nonprofit org tax exemptions,Bill,B,(Schoesler),1,0
1,0,1997-98,HB 1030,1030,,1997-98,SB 5022,SWays & Means,1998-01-12,0,0,HB 1030,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1997-01-13,,1,Increasing offender scoring while under supervision.,House,75,,0,0,0,0,Offender scoring,Bill,B,(Chandler),1,0
1,0,1997-98,HB 1031,1031,,,,,1997-03-18,0,0,HB 1031,Indefinitely postponed.,0,H indef postpd,0,0,1997-01-13,,0,Limiting late-term and partial-birth abortions.,House,1868,,0,0,0,0,Late-term abortions,Bill,B,(Sterk),0,0
1,0,1997-98,SHB 1031,1031,,,,,1997-03-18,0,0,SHB 1031,Indefinitely postponed.,0,H indef postpd,0,0,1997-01-24,,0,Limiting late-term and partial-birth abortions.,House,1868,,0,0,0,0,Late-term abortions,Bill,B,(Sterk),0,1
0,0,1997-98,HB 1032,1032,,,,,1997-02-07,0,0,HB 1032,2nd substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Implementing regulatory reform.,House,650,,0,0,0,0,Regulatory reform,Bill,B,(Reams),1,0
0,0,1997-98,SHB 1032,1032,,,,,1997-02-07,0,0,SHB 1032,2nd substitute bill substituted.,0,H subst for,0,0,1997-01-16,,0,Implementing regulatory reform.,House,650,,0,0,0,0,Regulatory reform,Bill,B,(Reams),1,1
1,0,1997-98,E2SHB 1032,1032,,,,,1997-05-19,1,0,E2SHB 1032,Effective date 7/27/1997*.,1,C 409 L 97,0,1,1997-01-30,,0,Implementing regulatory reform.,House,650,,0,0,0,0,Regulatory reform,Bill,B,WAYS(Reams),1,2
0,0,1997-98,HB 1033,1033,,,,,1997-03-05,0,0,HB 1033,Committee recommendations adopted and the 1st substitute bill substituted.,0,H subst for,0,0,1997-01-13,,0,Revising requirements for grain facilities under the Washington clean air act.,House,652,,0,0,0,0,Grain facility clean air req,Bill,B,(Schoesler),1,0
1,0,1997-98,SHB 1033,1033,,,,,1997-05-19,1,0,SHB 1033,Effective date 7/27/1997.,0,C 410 L 97,0,0,1997-01-27,,0,Revising requirements for grain facilities under the Washington clean air act.,House,652,,0,0,0,0,Grain facility clean air req,Bill,B,(Schoesler),1,1
1,0,1997-98,HB 1034,1034,,,,,1998-01-12,0,0,HB 1034,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1997-01-13,,0,Restoring parents' rights.,House,1590,,0,0,0,0,Parents' rights,Bill,B,(Mulliken),1,0
1,0,1997-98,SHB 1034,1034,,,,,1998-01-12,0,0,SHB 1034,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1997-03-05,,1,Restoring parents' rights.,House,1590,,0,0,0,0,Parents' rights,Bill,B,(Mulliken),1,1
1,0,1997-98,2SHB 1034,1034,,,,,1998-01-12,0,0,2SHB 1034,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1997-03-10,,0,Restoring parents' rights.,House,1590,,0,0,0,0,Parents' rights,Bill,B,WAYS(Mulliken),0,2
1,0,1997-98,HB 1035,1035,,,,,1998-01-12,0,0,HB 1035,"By resolution, reintroduced and retained in present status.",0,H Finance,0,0,1997-01-13,,0,Providing sales and use tax relief for flood victims.,House,1591,,0,0,0,0,Flood victims' tax relief,Bill,B,(Pennington),1,0
1,0,1997-98,HB 1036,1036,,,,,1998-01-12,0,0,HB 1036,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1997-01-13,,0,Requiring parental notification prior to performing abortions on unemancipated minors.,House,1584,,0,0,0,0,Abortion/parental notificatn,Bill,B,(Boldt),0,0
