Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,1993-94,ESHB 2071,2071,,,,,1993-05-18,1,0,ESHB 2071,"Chapter 507, 1993 Laws",0,C 507 L 93,0,1,1993-03-02,,1,Regulating access to tobacco.,House,641,,0,0,0,0,Access to tobacco,Bill,B,"(Johnson, L.)",1,1
1,0,1993-94,HB 2072,2072,,,,,1994-03-11,0,0,HB 2072,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-02-26,,0,Creating the department of human resources.,House,7,,0,0,0,0,Human resources department,Bill,B,(Anderson),0,0
1,0,1993-94,HB 2073,2073,,,,,1993-04-30,0,0,HB 2073,"Chapter 151, 1993 Laws",0,C 151 L 93,0,0,1993-02-26,,0,Modifying eligibility requirements for the nonprofit homes for the aging property tax exemption.,House,449,,0,0,0,0,Nonprofit homes for aging/tx,Bill,B,(Wang),1,0
1,1,1993-94,HB 2074,2074,,,,,1994-03-11,0,0,HB 2074,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-02-26,,0,Creating a career-initiative pilot project.,House,474,,0,0,0,0,Career-initiative program,Bill,B,(Wineberry),0,0
1,1,1993-94,SHB 2074,2074,,,,,1994-03-11,0,0,SHB 2074,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-03-02,,0,Creating a career initiative pilot project.,House,474,,0,0,0,0,Career-initiative program,Bill,B,(Wineberry),1,1
1,1,1993-94,HB 2075,2075,,,,,1994-03-11,0,0,HB 2075,"By resolution, reintroduced and retained in present status.",0,H Cap Budget,0,0,1993-02-26,,0,Funding a planning study for the Thomas Burke Memorial Washington State Museum.,House,207,,0,0,0,0,Burke museum planning study,Bill,B,(Jacobsen),0,0
0,0,1993-94,HB 2076,2076,,,,,1994-02-10,0,0,HB 2076,1st substitute bill substituted.,0,H subst for,0,0,1993-02-26,,0,Creating a process for maintenance and efficient operation of state agency and school district facilities.,House,207,,0,0,0,0,State/school facilty maintnc,Bill,B,(Jacobsen),1,0
1,0,1993-94,SHB 2076,2076,,,,,1994-03-11,0,0,SHB 2076,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,0,1994-01-26,,0,Creating a process for maintenance and efficient operation of state agency and school district facilities.,House,207,,0,0,0,0,State/school facilty maintnc,Bill,B,(Jacobsen),1,1
1,0,1993-94,HB 2077,2077,,,,,1994-03-11,0,0,HB 2077,"By resolution, reintroduced and retained in present status.",0,H Human Serv,0,0,1993-02-26,,0,Modifying enforcement of child care agency licensing.,House,359,,0,0,0,0,Child care agency licensing,Bill,B,(Riley),0,0
1,0,1993-94,HB 2078,2078,,,,,1994-03-11,0,0,HB 2078,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,1993-02-26,,0,Creating a distinct crime of motor vehicle theft.,House,294,,0,0,0,0,Motor vehicle theft,Bill,B,(Morris),1,0
1,0,1993-94,HB 2079,2079,,,,,1994-03-11,0,0,HB 2079,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,1993-03-01,,0,Increasing the penalty for unlawful possession of a pistol in a vehicle.,House,972,,0,0,0,0,Pistol in a vehicle penalty,Bill,B,(Conway),0,0
0,0,1993-94,HB 2080,2080,,,,,1994-02-09,0,0,HB 2080,1st substitute bill substituted.,0,H subst for,0,0,1993-03-01,,1,Exempting juvenile newspaper carriers from business and occupation tax.,House,17,,0,0,0,0,Juvenile newspaper carriers,Bill,B,(Ballard),1,0
1,0,1993-94,ESHB 2080,2080,,,,,1994-03-11,0,0,ESHB 2080,"By resolution, reintroduced and retained in present status.",0,H Rules 3C,0,1,1994-02-02,,1,Exempting juvenile newspaper carriers from business and occupation tax.,House,17,,0,0,0,0,Juvenile newspaper carriers,Bill,B,(Ballard),1,1
1,0,1993-94,HB 2081,2081,,,,,1994-03-11,0,0,HB 2081,"By resolution, reintroduced and retained in present status.",0,H Local Govt,0,0,1993-03-01,,0,Providing for facilities for visitors to Mt. St. Helens.,House,656,,0,0,0,0,Lodging tax/Cowlitz county,Bill,B,(Springer),0,0
1,0,1993-94,HB 2082,2082,,,,,1994-03-11,0,0,HB 2082,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-03-01,,0,Authorizing early retirement for certain persons under multi-year contracts.,House,328,,0,0,0,0,Teachers early retirement,Bill,B,(Peery),0,0
1,0,1993-94,HB 2083,2083,,,,,1994-03-11,0,0,HB 2083,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,1993-03-01,,0,Regarding eminent domain by cities.,House,645,,0,0,0,0,Eminent domain/cities,Bill,B,(Lemmon),0,0
1,0,1993-94,HB 2084,2084,,,,,1994-03-11,0,0,HB 2084,"By resolution, reintroduced and retained in present status.",0,H Local Govt,0,0,1993-03-01,,0,Changing provisions relating to property tax levies by port districts.,House,54,,0,0,0,0,Port district prop tax levy,Bill,B,(Brough),0,0
1,0,1993-94,HB 2085,2085,,,,,1994-03-11,0,0,HB 2085,"By resolution, reintroduced and retained in present status.",0,H Local Govt,0,0,1993-03-03,,0,Exempting from boundary review board review cities and towns that plan under the growth management act.,House,620,,0,0,0,0,Boundary review board review,Bill,B,(Carlson),0,0
1,0,1993-94,HB 2086,2086,,,,,1994-03-11,0,0,HB 2086,"By resolution, reintroduced and retained in present status.",0,H Approp,0,0,1993-03-03,,0,Adopting the budget.,House,658,,0,0,0,0,Budget adoption,Bill,B,(Talcott),0,0
1,0,1993-94,HB 2087,2087,,,,,1994-03-11,0,0,HB 2087,"By resolution, reintroduced and retained in present status.",0,H Revenue,0,0,1993-03-03,,0,Directing the department of revenue to examine tax system revisions.,House,629,,0,0,0,0,Tax system revision,Bill,B,(Cothern),0,0
1,0,1993-94,HB 2088,2088,,,,,1994-03-11,0,0,HB 2088,"By resolution, reintroduced and retained in present status.",0,H Trade/Ec/Ho,0,0,1993-03-03,,0,Reorganizing the departments of trade and economic development and community development.,House,474,,0,0,0,0,Commerce & community develpm,Bill,B,(Wineberry),0,0
1,1,1993-94,HB 2089,2089,,,,,1994-03-11,0,0,HB 2089,"By resolution, reintroduced and retained in present status.",0,H Cap Budget,0,0,1993-03-03,,0,Providing for a performing arts center in Enumclaw.,House,363,,0,0,0,0,Enumclaw performing arts cnt,Bill,B,(Roland),0,0
1,0,1993-94,HB 2090,2090,,,,,1994-03-11,0,0,HB 2090,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1993-03-03,,0,Limiting fees charged by pawnbrokers and second-hand dealers.,House,110,,0,0,0,0,Pawnbrokers/second-hand dlrs,Bill,B,(Dellwo),0,0
1,0,1993-94,SHB 2090,2090,,,,,1994-03-11,0,0,SHB 2090,"By resolution, reintroduced and retained in present status.",0,H Rules X,0,0,1994-01-26,,0,Regulating fees for pawn brokers and second-hand dealers.,House,110,,0,0,0,0,Pawnbrokers/second-hand dlrs,Bill,B,(Dellwo),0,1
1,0,1993-94,HB 2091,2091,,,,,1994-03-11,0,0,HB 2091,"By resolution, reintroduced and retained in present status.",0,H Commerce/Lab,0,0,1993-03-03,,0,Reforming public employment law.,House,180,,0,0,0,0,Collective bargaining/state,Bill,B,(Heavey),0,0
1,0,1993-94,HB 2092,2092,,,,,1994-03-11,0,0,HB 2092,"By resolution, reintroduced and retained in present status.",0,H Revenue,0,0,1993-03-03,,0,Limiting state revenues.,House,429,,0,0,0,0,State revenues limitations,Bill,B,(Tate),1,0
1,0,1993-94,HB 2093,2093,,,,,1994-03-11,0,0,HB 2093,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,1993-03-05,,0,Tying a drivers' license to school attendance.,House,17,,0,0,0,0,Driver's license/under 18,Bill,B,(Ballard),0,0
1,0,1993-94,HB 2094,2094,,,,,1994-03-11,0,0,HB 2094,"By resolution, reintroduced and retained in present status.",0,H Local Govt,0,0,1993-03-05,,0,Conferring police powers to transit police.,House,180,,0,0,0,0,Transit police powers,Bill,B,(Heavey),0,0
1,0,1993-94,HB 2095,2095,,,,,1994-03-11,0,0,HB 2095,"By resolution, reintroduced and retained in present status.",0,H Revenue,0,0,1993-03-05,,0,Imposing a tax on nursing homes.,House,442,,0,1,0,0,Nursing homes tax,Bill,B,(Valle),0,0
1,0,1993-94,HB 2096,2096,,,,,1994-03-11,0,0,HB 2096,"By resolution, reintroduced and retained in present status.",0,H State Govt,0,0,1993-03-05,,0,Concerning state veterans home.,House,630,,0,1,0,0,State veterans home,Bill,B,(Dunshee),0,0
1,0,1993-94,HB 2097,2097,,1993-94,SB 5957,Ssubst for,1994-03-11,0,0,HB 2097,"By resolution, reintroduced and retained in present status.",0,H Revenue,0,0,1993-03-05,,0,Changing the tax rate on intermediate care facilities for the mentally retarded.,House,630,,0,1,0,0,Intermediate care facilities,Bill,B,(Dunshee),0,0
0,0,1993-94,HB 2098,2098,,,,,1993-04-17,0,0,HB 2098,1st substitute bill substituted.,0,H subst for,0,0,1993-03-05,,1,Enhancing community options long-term care program.,House,442,,0,1,0,0,Long-term care options progr,Bill,B,(Valle),1,0
