Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2013-14,SI 517,517,,,,,2013-04-05,0,0,SI 517,"Senate Rules ""X"" file.",0,S Rules X,0,0,2013-01-16,,0,Initiative and referendum,Senate,5592,I-2634.1,0,0,0,0,Initiative and referendum,Initiative,I,(People of the State of Washington),0,0
1,0,2013-14,HI 517,517,,,,,2013-01-24,0,0,HI 517,"First reading, referred to Government Operations & Elections.",0,H Govt Operations,0,0,2013-01-24,,0,Initiative and referendum,House,5592,I-2634.1,0,0,0,0,Initiative and referendum,Initiative,I,(People of the State of Washington),0,0
1,0,2013-14,SI 522,522,,,,,2013-01-22,0,0,SI 522,"Referred to Agriculture, Water & Rural Economic Development.",0,S Ag/Water/RurEc,0,0,2013-01-16,,0,Genetically engineered foods,Senate,5592,I-2637.1,0,0,0,0,Genetically engineered foods,Initiative,I,(People of the State of Washington),1,0
1,0,2013-14,HI 522,522,,,,,2013-02-01,0,0,HI 522,"First reading, referred to Agriculture & Natural Resources.",0,H Ag & Nat Res,0,0,2013-02-01,,0,Genetically engineered foods,House,5592,I-2637.1,0,0,0,0,Genetically engineered foods,Initiative,I,(People of the State of Washington),1,0
1,0,2013-14,HI 591,591,,,,,2014-01-24,0,0,HI 591,"First reading, referred to Judiciary (Not Officially read and referred until adoption of Introduction report).",0,H Judiciary,0,0,2014-01-14,,0,Protect our gun rights,House,5592,I-2805.1,0,0,0,0,Protect our gun rights,Initiative,I,(People of the State of Washington),0,0
1,0,2013-14,SI 591,591,,,,,2014-01-13,0,0,SI 591,"First reading, referred to Law & Justice.",0,S Law & Justice,0,0,2014-01-13,,0,Protect our gun rights,Senate,5592,I-2805.1,0,0,0,0,Protect our gun rights,Initiative,I,(People of the State of Washington),0,0
1,0,2013-14,HI 594,594,,,,,2014-01-24,0,0,HI 594,"First reading, referred to Judiciary (Not Officially read and referred until adoption of Introduction report).",0,H Judiciary,0,0,2014-01-13,,1,Gun sales background check,House,5592,I-2806.1,0,0,0,0,Gun sales background check,Initiative,I,(People of the State of Washington),1,0
1,0,2013-14,SI 594,594,,,,,2014-01-13,0,0,SI 594,"First reading, referred to Law & Justice.",0,S Law & Justice,0,0,2014-01-13,,1,Gun sales background check,Senate,5592,I-2806.1,0,0,0,0,Gun sales background check,Initiative,I,(People of the State of Washington),1,0
0,0,2013-14,HB 1000,1000,,,,,2013-03-11,0,0,HB 1000,1st substitute bill substituted.,0,H subst for,0,0,2013-01-14,AN ACT Relating to immunity for health care providers following directions contained in a form developed pursuant to RCW 43.70.480;,0,Providing immunity for health care providers following directions contained in a form developed pursuant to RCW 43.70.480.,House,8212,H-0247.1,0,0,0,0,Healthcare provider immunity,Bill,B,(Moeller),0,0
1,0,2013-14,ESHB 1000,1000,,,,,2014-01-13,0,1,ESHB 1000,Referred to Judiciary.,0,H Judiciary,0,1,2013-01-29,AN ACT Relating to immunity for health care providers following directions contained in a form developed pursuant to RCW 43.70.480;,0,Providing immunity for health care providers following directions contained in a form developed pursuant to RCW 43.70.480.,House,8212,H-1026.1,0,0,0,0,Healthcare provider immunity,Bill,B,(Moeller),0,1
0,0,2013-14,HB 1001,1001,,2013-14,SB 5111,SCommerce and L,2013-03-05,0,0,HB 1001,1st substitute bill substituted.,0,H subst for,0,0,2013-01-14,AN ACT Relating to beer and wine theater licenses;,0,Creating a beer and wine theater license.,House,8212,H-0136.1,0,0,0,0,Beer & wine theater license,Bill,B,(Moeller),1,0
1,0,2013-14,SHB 1001,1001,,,,,2013-05-14,1,1,SHB 1001,Effective date 7/28/2013.,0,C 219 L 13,0,0,2013-01-29,AN ACT Relating to beer and wine theater licenses;,0,Concerning beer and wine theater licenses.,House,8212,H-1073.1,0,0,0,0,Beer & wine theater license,Bill,B,(Moeller),1,1
1,0,2013-14,HB 1002,1002,,,,,2014-01-13,0,0,HB 1002,"By resolution, reintroduced and retained in present status.",0,H Trans,0,0,2013-01-14,AN ACT Relating to establishing a yellow dot program for motor vehicles;,0,Establishing a yellow dot program for motor vehicles.,House,8212,H-0143.1,0,0,0,0,Vehicle yellow dot program,Bill,B,(Moeller),1,0
1,0,2013-14,HB 1003,1003,,,,,2013-05-01,0,0,HB 1003,Effective date 1/1/2014.,0,C 86 L 13,0,0,2013-01-14,AN ACT Relating to disciplinary actions against the health professions license of the subject of a department of social and health services' finding;,0,Concerning disciplinary actions against the health professions license of the subject of a department of social and health services' finding.,House,8212,H-0116.1,0,0,0,0,Health professions licensees,Bill,B,(Moeller),1,0
0,0,2013-14,HB 1004,1004,,,,,2013-03-13,0,0,HB 1004,1st substitute bill substituted.,0,H subst for,0,0,2013-01-14,AN ACT Relating to payment of property taxes;,1,Concerning payment of property taxes.,House,8212,H-0125.1,0,0,0,0,"Property taxes, payment",Bill,B,(Moeller),1,0
1,0,2013-14,ESHB 1004,1004,,,,,2014-01-13,0,1,ESHB 1004,Referred to Finance.,0,H Finance,0,1,2013-02-27,AN ACT Relating to payment of property taxes;,1,Concerning payment of property taxes.,House,8212,H-1480.1,0,0,0,0,"Property taxes, payment",Bill,B,(Moeller),1,1
0,0,2013-14,HB 1005,1005,,,,,2014-02-17,0,0,HB 1005,3rd substitute bill substituted.,0,H subst for,0,0,2013-01-14,AN ACT Relating to the public disclosure commission concerning responsibilities and funding;,1,Concerning responsibilities and funding of the public disclosure commission.,House,8212,H-0216.1,0,0,0,0,Public disclosure commission,Bill,B,(Moeller),1,0
0,0,2013-14,SHB 1005,1005,,,,,2014-02-17,0,0,SHB 1005,3rd substitute bill substituted.,0,H subst for,0,0,2013-02-12,AN ACT Relating to the public disclosure commission concerning responsibilities and funding;,1,Concerning responsibilities and funding of the public disclosure commission.,House,8212,H-1009.3,0,0,0,0,Public disclosure commission,Bill,B,(Moeller),1,1
