Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,2007-08,HB 1000,1000,,,,,2007-04-17,0,0,HB 1000,Effective date 7/22/2007.,1,C 44 L 07,0,0,2007-01-08,AN ACT Relating to adding porphyria to the list of disabilities for special parking privileges;,0,Adding porphyria to the list of disabilities for special parking privileges.,House,643,H-0135.1,0,0,0,0,Special parking privileges,Bill,B,(Kessler),1,0
0,0,2007-08,HB 1001,1001,,2007-08,SB 5038,SJudiciary,2007-03-13,0,0,HB 1001,3rd substitute bill substituted.,0,H subst for,0,0,2007-01-08,AN ACT Relating to auto theft;,1,Combating auto theft.,House,3476,H-0146.5,0,0,0,0,Auto theft,Bill,B,(Lovick),1,0
0,0,2007-08,SHB 1001,1001,,,,,2007-03-13,0,0,SHB 1001,3rd substitute bill substituted.,0,H subst for,0,0,2007-02-01,AN ACT Relating to auto theft;,1,Combating auto theft.,House,3476,H-0981.6,0,0,0,0,Auto theft,Bill,B,(Lovick),1,1
0,0,2007-08,2SHB 1001,1001,,,,,2007-03-13,0,0,2SHB 1001,3rd substitute bill substituted.,0,H subst for,0,0,2007-02-22,AN ACT Relating to auto theft;,1,Combating auto theft.,House,3476,H-2433.1,0,0,0,0,Auto theft,Bill,B,(Lovick),1,2
1,0,2007-08,E3SHB 1001,1001,,,,,2007-04-27,1,1,E3SHB 1001,Effective date 7/22/2007.,0,C 199 L 07,0,1,2007-03-03,AN ACT Relating to auto theft;,1,Combating auto theft.,House,3476,H-2780.1,0,0,0,0,Auto theft,Bill,B,WAYS(Lovick),1,3
0,0,2007-08,HB 1002,1002,,2007-08,SB 5007,SRules X,2007-03-12,0,0,HB 1002,1st substitute bill substituted.,0,H subst for,0,0,2007-01-08,AN ACT Relating to the sales and use taxation of vessels;,0,Modifying the sales and use taxation of vessels.,House,2149,H-0045.1,0,0,0,0,Sales & use tax on vessels,Bill,B,(O'Brien),1,0
1,0,2007-08,SHB 1002,1002,,,,,2007-04-10,0,1,SHB 1002,Effective date 7/1/2007.,0,C 22 L 07,0,0,2007-02-06,AN ACT Relating to the sales and use taxation of vessels;,1,Modifying the sales and use taxation of vessels.,House,2149,H-1443.1,0,0,0,0,Sales & use tax on vessels,Bill,B,(O'Brien),1,1
1,0,2007-08,HB 1003,1003,,,,,2008-01-14,0,0,HB 1003,"By resolution, reintroduced and retained in present status.",0,H HC/Wellness,0,0,2007-01-08,AN ACT Relating to sexually transmitted infections in correctional facilities;,0,Concerning sexually transmitted infections in correctional facilities.,House,5156,H-0310.1,0,0,0,0,Sex infections/corrections,Bill,B,(Darneille),0,0
1,0,2007-08,HB 1004,1004,,,,,2008-01-14,0,0,HB 1004,"By resolution, reintroduced and retained in present status.",0,H Judiciary,0,0,2007-01-08,AN ACT Relating to interest on legal financial obligations;,0,Modifying provisions affecting interest on legal financial obligations.,House,5156,H-0309.1,0,0,0,0,Legal financial obligations,Bill,B,(Darneille),1,0
1,0,2007-08,HB 1005,1005,,,,,2007-04-27,1,1,HB 1005,Effective date 7/22/2007.,0,C 195 L 07,0,0,2007-01-08,,0,Determining rates for the rental of county equipment.,House,643,H-0371.1,0,0,0,0,Rental of county equipment,Bill,B,(Kessler),0,0
