Active,Appropriations,Biennium,BillId,BillNumber,Companions,Companions.Companion.Biennium,Companions.Companion.BillId,Companions.Companion.Status,CurrentStatus.ActionDate,CurrentStatus.AmendedByOppositeBody,CurrentStatus.AmendmentsExist,CurrentStatus.BillId,CurrentStatus.HistoryLine,CurrentStatus.PartialVeto,CurrentStatus.Status,CurrentStatus.Veto,EngrossedVersion,IntroducedDate,LegalTitle,LocalFiscalNote,LongDescription,OriginalAgency,PrimeSponsorID,Request,RequestedByBudgetCommittee,RequestedByDepartment,RequestedByGovernor,RequestedByOther,ShortDescription,ShortLegislationType.LongLegislationType,ShortLegislationType.ShortLegislationType,Sponsor,StateFiscalNote,SubstituteVersion
1,0,1995-96,SI 159,159,,,,,1995-04-21,0,0,SI 159,"Chapter 129, 1995 Laws.",0,C 129 L 95,0,0,1995-01-26,,0,Increasing penalties for armed crimes.,Senate,5592,,0,0,0,0,Penalties for armed crimes,Initiative,I,(People of the State of Washington),1,0
1,0,1995-96,HI 159,159,,,,,1995-04-23,0,0,HI 159,"Chapter 129, 1995 Laws.",0,C 129 L 95,0,0,1995-01-09,,0,,House,5592,,0,0,0,0,Penalties for armed crimes,Initiative,I,(People of the State of Washington),1,0
1,0,1995-96,SI 164,164,,,,,1995-04-19,0,0,SI 164,"Chapter 98, 1995 Laws.",0,C 98 L 95,0,0,1995-02-14,,0,Relating to regulation of private property.,Senate,5592,,0,0,0,0,Private property regulation,Initiative,I,(People of the State of Washington),0,0
1,0,1995-96,HI 164,164,,,,,1995-04-19,0,0,HI 164,"Chapter 98, 1995 Laws.",0,C 98 L 95,0,0,1995-01-11,,0,,House,5592,,0,0,0,0,Private property regulation,Initiative,I,(People of the State of Washington),0,0
1,0,1995-96,SI 173,173,,,,,1996-02-08,0,0,SI 173,"First reading, referred to Education.",0,S Education,0,0,1996-02-08,,0,Choice in education.,Senate,5592,,0,0,0,0,Choice in education,Initiative,I,(People of the State of Washington),0,0
1,0,1995-96,HI 173,173,,,,,1996-01-08,0,0,HI 173,"First reading, referred to Education.",0,H Education,0,0,1996-01-08,,0,,House,5592,,0,0,0,0,Choice in education,Initiative,I,(People of the State of Washington),1,0
1,0,1995-96,HI 177,177,,,,,1996-01-08,0,0,HI 177,"First reading, referred to Education.",0,H Education,0,0,1996-01-08,,0,,House,5592,,0,0,0,0,Education excellence,Initiative,I,(People of the State of Washington),1,0
1,0,1995-96,SI 177,177,,,,,1996-01-31,0,0,SI 177,"First reading, referred to Education.",0,S Education,0,0,1996-01-31,,0,,Senate,5592,,0,0,0,0,Education excellence,Initiative,I,(People of the State of Washington),0,0
1,0,1995-96,HB 1000,1000,,,,,1996-01-08,0,0,HB 1000,"By resolution, reintroduced and retained in present status.",0,H Natural Res,0,0,1995-01-09,,0,Restricting designation of endangered species and protected wildlife by agency rule.,House,146,,0,0,0,0,Endangered/protected species,Bill,B,(Fuhrman),0,0
0,0,1995-96,HB 1001,1001,,,,,1995-01-27,0,0,HB 1001,1st substitute bill substituted.,0,H subst for,0,0,1995-01-09,,0,Exempting institutions of higher education from certain expenditure requirements.,House,620,,0,0,0,0,Higher education expenditurs,Bill,B,(Carlson),1,0
1,0,1995-96,SHB 1001,1001,,,,,1995-04-12,0,0,SHB 1001,"Chapter 6, 1995 Laws.",0,C 6 L 95,0,0,1995-01-12,,0,Exempting institutions of higher education from certain expenditure requirements.,House,620,,0,0,0,0,Higher education expenditurs,Bill,B,(Carlson),1,1
